#           k/h    P           
   0.184934E-01   0.241173E+05
   0.188670E-01   0.240534E+05
   0.192481E-01   0.239784E+05
   0.196370E-01   0.238921E+05
   0.200337E-01   0.237944E+05
   0.204384E-01   0.236852E+05
   0.208513E-01   0.235645E+05
   0.212725E-01   0.234323E+05
   0.217022E-01   0.232886E+05
   0.221406E-01   0.231334E+05
   0.225879E-01   0.229667E+05
   0.230442E-01   0.227888E+05
   0.235097E-01   0.225996E+05
   0.239847E-01   0.223995E+05
   0.244692E-01   0.221886E+05
   0.249635E-01   0.219671E+05
   0.254678E-01   0.217355E+05
   0.259823E-01   0.214940E+05
   0.265072E-01   0.212430E+05
   0.270426E-01   0.209828E+05
   0.275889E-01   0.207141E+05
   0.281463E-01   0.204373E+05
   0.287149E-01   0.201531E+05
   0.292949E-01   0.198618E+05
   0.298867E-01   0.195643E+05
   0.304905E-01   0.192611E+05
   0.311064E-01   0.189531E+05
   0.317348E-01   0.186411E+05
   0.323759E-01   0.183256E+05
   0.330299E-01   0.180076E+05
   0.336972E-01   0.176879E+05
   0.343779E-01   0.173673E+05
   0.350724E-01   0.170468E+05
   0.357809E-01   0.167269E+05
   0.365038E-01   0.164087E+05
   0.372412E-01   0.160932E+05
   0.379935E-01   0.157813E+05
   0.387610E-01   0.154739E+05
   0.395440E-01   0.151719E+05
   0.403429E-01   0.148759E+05
   0.411579E-01   0.145863E+05
   0.419893E-01   0.143036E+05
   0.428375E-01   0.140281E+05
   0.437029E-01   0.137601E+05
   0.445858E-01   0.135004E+05
   0.454865E-01   0.132498E+05
   0.464053E-01   0.130093E+05
   0.473428E-01   0.127796E+05
   0.482992E-01   0.125615E+05
   0.492749E-01   0.123544E+05
   0.502703E-01   0.121575E+05
   0.512858E-01   0.119697E+05
   0.523219E-01   0.117902E+05
   0.533789E-01   0.116182E+05
   0.544572E-01   0.114528E+05
   0.555573E-01   0.112933E+05
   0.566796E-01   0.111388E+05
   0.578246E-01   0.109887E+05
   0.589927E-01   0.108417E+05
   0.601845E-01   0.106969E+05
   0.614003E-01   0.105534E+05
   0.626407E-01   0.104098E+05
   0.639061E-01   0.102646E+05
   0.651971E-01   0.101166E+05
   0.665142E-01   0.996427E+04
   0.678578E-01   0.980577E+04
   0.692287E-01   0.963939E+04
   0.706272E-01   0.946361E+04
   0.720539E-01   0.927733E+04
   0.735095E-01   0.907968E+04
   0.749945E-01   0.887017E+04
   0.765095E-01   0.864941E+04
   0.780551E-01   0.841835E+04
   0.796319E-01   0.817817E+04
   0.812406E-01   0.793059E+04
   0.828817E-01   0.767738E+04
   0.845561E-01   0.742065E+04
   0.862642E-01   0.716289E+04
   0.880068E-01   0.690644E+04
   0.897847E-01   0.665363E+04
   0.915985E-01   0.640665E+04
   0.934489E-01   0.616767E+04
   0.953367E-01   0.593898E+04
   0.972626E-01   0.572256E+04
   0.992274E-01   0.552017E+04
   0.101232E+00   0.533341E+04
   0.103277E+00   0.516356E+04
   0.105363E+00   0.501091E+04
   0.107492E+00   0.487534E+04
   0.109663E+00   0.475615E+04
   0.111879E+00   0.465132E+04
   0.114139E+00   0.455870E+04
   0.116445E+00   0.447533E+04
   0.118797E+00   0.439788E+04
   0.121197E+00   0.432300E+04
   0.123645E+00   0.424724E+04
   0.126143E+00   0.416742E+04
   0.128691E+00   0.408087E+04
   0.131291E+00   0.398543E+04
   0.133943E+00   0.387998E+04
   0.136649E+00   0.376408E+04
   0.139409E+00   0.363847E+04
   0.142226E+00   0.350454E+04
   0.145099E+00   0.336461E+04
   0.148030E+00   0.322137E+04
   0.151020E+00   0.307823E+04
   0.154071E+00   0.293872E+04
