#           k/h    P           
   0.420980E-02   0.622011E+04
   0.429484E-02   0.631716E+04
   0.438160E-02   0.641533E+04
   0.447012E-02   0.651461E+04
   0.456042E-02   0.661499E+04
   0.465255E-02   0.671645E+04
   0.474653E-02   0.681900E+04
   0.484242E-02   0.692260E+04
   0.494024E-02   0.702725E+04
   0.504004E-02   0.713292E+04
   0.514186E-02   0.723961E+04
   0.524573E-02   0.734729E+04
   0.535170E-02   0.745594E+04
   0.545981E-02   0.756553E+04
   0.557011E-02   0.767605E+04
   0.568263E-02   0.778746E+04
   0.579743E-02   0.789973E+04
   0.591455E-02   0.801285E+04
   0.603403E-02   0.812680E+04
   0.615592E-02   0.824153E+04
   0.628028E-02   0.835704E+04
   0.640715E-02   0.847327E+04
   0.653658E-02   0.859018E+04
   0.666863E-02   0.870773E+04
   0.680335E-02   0.882585E+04
   0.694078E-02   0.894449E+04
   0.708100E-02   0.906361E+04
   0.722404E-02   0.918316E+04
   0.736998E-02   0.930310E+04
   0.751886E-02   0.942339E+04
   0.767075E-02   0.954397E+04
   0.782571E-02   0.966480E+04
   0.798380E-02   0.978579E+04
   0.814509E-02   0.990689E+04
   0.830963E-02   0.100280E+05
   0.847750E-02   0.101491E+05
   0.864875E-02   0.102701E+05
   0.882347E-02   0.103908E+05
   0.900171E-02   0.105114E+05
   0.918356E-02   0.106316E+05
   0.936908E-02   0.107514E+05
   0.955835E-02   0.108707E+05
   0.975144E-02   0.109895E+05
   0.994843E-02   0.111076E+05
   0.101494E-01   0.112250E+05
   0.103544E-01   0.113415E+05
   0.105636E-01   0.114571E+05
   0.107770E-01   0.115716E+05
   0.109947E-01   0.116849E+05
   0.112168E-01   0.117969E+05
   0.114434E-01   0.119076E+05
   0.116746E-01   0.120167E+05
   0.119104E-01   0.121242E+05
   0.121510E-01   0.122300E+05
   0.123965E-01   0.123339E+05
   0.126469E-01   0.124358E+05
   0.129024E-01   0.125356E+05
   0.131631E-01   0.126331E+05
   0.134290E-01   0.127282E+05
   0.137003E-01   0.128208E+05
   0.139770E-01   0.129107E+05
   0.142594E-01   0.129978E+05
   0.145474E-01   0.130820E+05
   0.148413E-01   0.131630E+05
   0.151411E-01   0.132409E+05
   0.154470E-01   0.133153E+05
   0.157590E-01   0.133861E+05
   0.160774E-01   0.134533E+05
   0.164022E-01   0.135166E+05
   0.167335E-01   0.135759E+05
   0.170716E-01   0.136310E+05
   0.174164E-01   0.136819E+05
   0.177683E-01   0.137283E+05
   0.181272E-01   0.137702E+05
   0.184934E-01   0.138073E+05
   0.188670E-01   0.138395E+05
   0.192481E-01   0.138667E+05
   0.196370E-01   0.138888E+05
   0.200337E-01   0.139056E+05
   0.204384E-01   0.139170E+05
   0.208513E-01   0.139229E+05
   0.212725E-01   0.139233E+05
   0.217022E-01   0.139179E+05
   0.221406E-01   0.139067E+05
   0.225879E-01   0.138897E+05
   0.230442E-01   0.138667E+05
   0.235097E-01   0.138378E+05
   0.239847E-01   0.138029E+05
   0.244692E-01   0.137619E+05
   0.249635E-01   0.137148E+05
   0.254678E-01   0.136617E+05
   0.259823E-01   0.136026E+05
   0.265072E-01   0.135375E+05
   0.270426E-01   0.134664E+05
   0.275889E-01   0.133895E+05
   0.281463E-01   0.133069E+05
   0.287149E-01   0.132187E+05
   0.292949E-01   0.131249E+05
   0.298867E-01   0.130259E+05
   0.304905E-01   0.129218E+05
   0.311064E-01   0.128127E+05
   0.317348E-01   0.126990E+05
   0.323759E-01   0.125809E+05
   0.330299E-01   0.124586E+05
   0.336972E-01   0.123324E+05
   0.343779E-01   0.122027E+05
   0.350724E-01   0.120698E+05
   0.357809E-01   0.119341E+05
   0.365038E-01   0.117959E+05
   0.372412E-01   0.116557E+05
   0.379935E-01   0.115138E+05
   0.387610E-01   0.113706E+05
   0.395440E-01   0.112265E+05
   0.403429E-01   0.110817E+05
   0.411579E-01   0.109367E+05
   0.419893E-01   0.107918E+05
   0.428375E-01   0.106473E+05
   0.437029E-01   0.105039E+05
   0.445858E-01   0.103618E+05
   0.454865E-01   0.102215E+05
   0.464053E-01   0.100833E+05
   0.473428E-01   0.994769E+04
   0.482992E-01   0.981480E+04
   0.492749E-01   0.968496E+04
   0.502703E-01   0.955845E+04
   0.512858E-01   0.943537E+04
   0.523219E-01   0.931556E+04
   0.533789E-01   0.919885E+04
   0.544572E-01   0.908507E+04
   0.555573E-01   0.897402E+04
   0.566796E-01   0.886535E+04
   0.578246E-01   0.875865E+04
   0.589927E-01   0.865355E+04
   0.601845E-01   0.854966E+04
   0.614003E-01   0.844650E+04
   0.626407E-01   0.834360E+04
   0.639061E-01   0.824049E+04
   0.651971E-01   0.813666E+04
   0.665142E-01   0.803151E+04
   0.678578E-01   0.792443E+04
   0.692287E-01   0.781486E+04
   0.706272E-01   0.770222E+04
