#    L    TT             EE             TE             PP             TP          
    75   0.206077E+04   0.542784E+00  -0.131673E+02   0.229454E+07   0.254872E+05
    76   0.208702E+04   0.559111E+00  -0.138019E+02   0.228379E+07   0.251444E+05
    77   0.211349E+04   0.575419E+00  -0.144411E+02   0.227295E+07   0.248080E+05
    78   0.214019E+04   0.591686E+00  -0.150849E+02   0.226202E+07   0.244781E+05
    79   0.216718E+04   0.607890E+00  -0.157336E+02   0.225103E+07   0.241549E+05
    80   0.219453E+04   0.624010E+00  -0.163877E+02   0.223998E+07   0.238386E+05
    81   0.222227E+04   0.640023E+00  -0.170473E+02   0.222887E+07   0.235291E+05
    82   0.225040E+04   0.655908E+00  -0.177112E+02   0.221773E+07   0.232262E+05
    83   0.227888E+04   0.671646E+00  -0.183784E+02   0.220654E+07   0.229290E+05
    84   0.230767E+04   0.687213E+00  -0.190477E+02   0.219533E+07   0.226372E+05
    85   0.233674E+04   0.702589E+00  -0.197179E+02   0.218409E+07   0.223500E+05
    86   0.236608E+04   0.717753E+00  -0.203879E+02   0.217284E+07   0.220671E+05
    87   0.239564E+04   0.732682E+00  -0.210566E+02   0.216158E+07   0.217882E+05
    88   0.242541E+04   0.747352E+00  -0.217232E+02   0.215031E+07   0.215134E+05
    89   0.245540E+04   0.761737E+00  -0.223871E+02   0.213904E+07   0.212426E+05
    90   0.248562E+04   0.775811E+00  -0.230474E+02   0.212777E+07   0.209758E+05
    91   0.251607E+04   0.789550E+00  -0.237035E+02   0.211651E+07   0.207129E+05
    92   0.254674E+04   0.802937E+00  -0.243547E+02   0.210526E+07   0.204540E+05
    93   0.257765E+04   0.815956E+00  -0.250003E+02   0.209401E+07   0.201990E+05
    94   0.260878E+04   0.828596E+00  -0.256397E+02   0.208278E+07   0.199478E+05
    95   0.264014E+04   0.840838E+00  -0.262721E+02   0.207157E+07   0.197004E+05
    96   0.267170E+04   0.852670E+00  -0.268967E+02   0.206037E+07   0.194567E+05
    97   0.270347E+04   0.864076E+00  -0.275128E+02   0.204919E+07   0.192167E+05
    98   0.273544E+04   0.875039E+00  -0.281197E+02   0.203804E+07   0.189803E+05
    99   0.276758E+04   0.885546E+00  -0.287166E+02   0.202691E+07   0.187475E+05
   100   0.279989E+04   0.895583E+00  -0.293025E+02   0.201580E+07   0.185182E+05
   101   0.283237E+04   0.905136E+00  -0.298768E+02   0.200473E+07   0.182923E+05
   102   0.286500E+04   0.914182E+00  -0.304387E+02   0.199368E+07   0.180699E+05
   103   0.289776E+04   0.922720E+00  -0.309872E+02   0.198267E+07   0.178509E+05
   104   0.293064E+04   0.930721E+00  -0.315216E+02   0.197169E+07   0.176351E+05
   105   0.296363E+04   0.938177E+00  -0.320410E+02   0.196075E+07   0.174227E+05
