#           k/h    P           
   0.100000E-03   0.457685E+03
   0.102020E-03   0.466917E+03
   0.104081E-03   0.476335E+03
   0.106184E-03   0.485942E+03
   0.108329E-03   0.495742E+03
   0.110517E-03   0.505739E+03
   0.112750E-03   0.515938E+03
   0.115027E-03   0.526341E+03
   0.117351E-03   0.536952E+03
   0.119722E-03   0.547777E+03
   0.122140E-03   0.558820E+03
   0.124608E-03   0.570084E+03
   0.127125E-03   0.581574E+03
   0.129693E-03   0.593294E+03
   0.132313E-03   0.605250E+03
   0.134986E-03   0.617445E+03
   0.137713E-03   0.629885E+03
   0.140495E-03   0.642574E+03
   0.143333E-03   0.655517E+03
   0.146228E-03   0.668719E+03
   0.149182E-03   0.682186E+03
   0.152196E-03   0.695922E+03
   0.155271E-03   0.709933E+03
   0.158407E-03   0.724223E+03
   0.161607E-03   0.738800E+03
   0.164872E-03   0.753668E+03
   0.168203E-03   0.768832E+03
   0.171601E-03   0.784300E+03
   0.175067E-03   0.800076E+03
   0.178604E-03   0.816166E+03
   0.182212E-03   0.832578E+03
   0.185893E-03   0.849316E+03
   0.189648E-03   0.866387E+03
   0.193479E-03   0.883799E+03
   0.197388E-03   0.901556E+03
   0.201375E-03   0.919666E+03
   0.205443E-03   0.938137E+03
   0.209594E-03   0.956974E+03
   0.213828E-03   0.976184E+03
   0.218147E-03   0.995775E+03
   0.222554E-03   0.101575E+04
   0.227050E-03   0.103613E+04
   0.231637E-03   0.105691E+04
   0.236316E-03   0.107810E+04
   0.241090E-03   0.109970E+04
   0.245960E-03   0.112174E+04
   0.250929E-03   0.114420E+04
   0.255998E-03   0.116712E+04
   0.261170E-03   0.119048E+04
   0.266446E-03   0.121430E+04
   0.271828E-03   0.123859E+04
   0.277319E-03   0.126335E+04
   0.282922E-03   0.128860E+04
   0.288637E-03   0.131435E+04
   0.294468E-03   0.134060E+04
   0.300417E-03   0.136736E+04
   0.306485E-03   0.139464E+04
   0.312677E-03   0.142246E+04
   0.318993E-03   0.145081E+04
   0.325437E-03   0.147972E+04
   0.332012E-03   0.150919E+04
   0.338719E-03   0.153923E+04
   0.345561E-03   0.156985E+04
   0.352542E-03   0.160107E+04
   0.359664E-03   0.163289E+04
   0.366930E-03   0.166532E+04
   0.374342E-03   0.169837E+04
   0.381904E-03   0.173206E+04
   0.389619E-03   0.176640E+04
   0.397490E-03   0.180140E+04
   0.405520E-03   0.183706E+04
   0.413712E-03   0.187341E+04
   0.422070E-03   0.191045E+04
   0.430596E-03   0.194819E+04
   0.439295E-03   0.198666E+04
   0.448169E-03   0.202585E+04
   0.457222E-03   0.206578E+04
   0.466459E-03   0.210647E+04
   0.475882E-03   0.214793E+04
   0.485496E-03   0.219017E+04
   0.495303E-03   0.223320E+04
   0.505309E-03   0.227704E+04
   0.515517E-03   0.232171E+04
   0.525931E-03   0.236720E+04
   0.536556E-03   0.241355E+04
   0.547395E-03   0.246076E+04
   0.558453E-03   0.250886E+04
   0.569734E-03   0.255784E+04
   0.581244E-03   0.260773E+04
   0.592986E-03   0.265855E+04
   0.604965E-03   0.271031E+04
   0.617186E-03   0.276302E+04
   0.629654E-03   0.281670E+04
   0.642374E-03   0.287137E+04
   0.655350E-03   0.292705E+04
   0.668589E-03   0.298375E+04
   0.682096E-03   0.304148E+04
   0.695875E-03   0.310028E+04
   0.709933E-03   0.316015E+04
   0.724274E-03   0.322111E+04
   0.738906E-03   0.328318E+04
   0.753832E-03   0.334639E+04
   0.769061E-03   0.341074E+04
   0.784597E-03   0.347627E+04
   0.800447E-03   0.354298E+04
   0.816617E-03   0.361091E+04
   0.833114E-03   0.368008E+04
   0.849944E-03   0.375049E+04
   0.867114E-03   0.382218E+04
   0.884631E-03   0.389518E+04
   0.902501E-03   0.396949E+04
   0.920733E-03   0.404515E+04
   0.939333E-03   0.412217E+04
   0.958309E-03   0.420059E+04
   0.977668E-03   0.428043E+04
   0.997418E-03   0.436171E+04
   0.101757E-02   0.444445E+04
   0.103812E-02   0.452869E+04
   0.105910E-02   0.461444E+04
   0.108049E-02   0.470174E+04
   0.110232E-02   0.479060E+04
   0.112459E-02   0.488106E+04
   0.114730E-02   0.497315E+04
   0.117048E-02   0.506688E+04
   0.119413E-02   0.516229E+04
   0.121825E-02   0.525940E+04
   0.124286E-02   0.535824E+04
   0.126797E-02   0.545884E+04
   0.129358E-02   0.556122E+04
   0.131971E-02   0.566541E+04
   0.134637E-02   0.577143E+04
   0.137357E-02   0.587932E+04
   0.140132E-02   0.598909E+04
   0.142963E-02   0.610078E+04
   0.145851E-02   0.621441E+04
   0.148797E-02   0.633001E+04
   0.151803E-02   0.644760E+04
   0.154870E-02   0.656720E+04
   0.157998E-02   0.668886E+04
   0.161190E-02   0.681258E+04
   0.164446E-02   0.693839E+04
   0.167768E-02   0.706632E+04
   0.171158E-02   0.719640E+04
   0.174615E-02   0.732865E+04
   0.178143E-02   0.746308E+04
   0.181741E-02   0.759974E+04
   0.185413E-02   0.773864E+04
   0.189158E-02   0.787981E+04
   0.192980E-02   0.802326E+04
   0.196878E-02   0.816902E+04
   0.200855E-02   0.831712E+04
   0.204913E-02   0.846758E+04
   0.209052E-02   0.862042E+04
   0.213276E-02   0.877565E+04
   0.217584E-02   0.893330E+04
   0.221979E-02   0.909339E+04
   0.226464E-02   0.925594E+04
   0.231039E-02   0.942095E+04
   0.235706E-02   0.958846E+04
   0.240467E-02   0.975847E+04
   0.245325E-02   0.993100E+04
   0.250281E-02   0.101061E+05
