#           k/h    P           
   0.420980E-02   0.120884E+05
   0.429484E-02   0.122652E+05
   0.438160E-02   0.124433E+05
   0.447012E-02   0.126227E+05
   0.456042E-02   0.128034E+05
   0.465255E-02   0.129852E+05
   0.474653E-02   0.131682E+05
   0.484242E-02   0.133522E+05
   0.494024E-02   0.135373E+05
   0.504004E-02   0.137234E+05
   0.514186E-02   0.139103E+05
   0.524573E-02   0.140981E+05
   0.535170E-02   0.142866E+05
   0.545981E-02   0.144758E+05
   0.557011E-02   0.146657E+05
   0.568263E-02   0.148561E+05
   0.579743E-02   0.150470E+05
   0.591455E-02   0.152383E+05
   0.603403E-02   0.154300E+05
   0.615592E-02   0.156219E+05
   0.628028E-02   0.158139E+05
   0.640715E-02   0.160058E+05
   0.653658E-02   0.161977E+05
   0.666863E-02   0.163893E+05
   0.680335E-02   0.165805E+05
   0.694078E-02   0.167712E+05
   0.708100E-02   0.169614E+05
   0.722404E-02   0.171508E+05
   0.736998E-02   0.173394E+05
   0.751886E-02   0.175271E+05
   0.767075E-02   0.177137E+05
   0.782571E-02   0.178991E+05
   0.798380E-02   0.180831E+05
   0.814509E-02   0.182657E+05
   0.830963E-02   0.184466E+05
   0.847750E-02   0.186257E+05
   0.864875E-02   0.188029E+05
   0.882347E-02   0.189780E+05
   0.900171E-02   0.191507E+05
   0.918356E-02   0.193210E+05
   0.936908E-02   0.194887E+05
   0.955835E-02   0.196535E+05
   0.975144E-02   0.198152E+05
   0.994843E-02   0.199737E+05
   0.101494E-01   0.201288E+05
   0.103544E-01   0.202803E+05
   0.105636E-01   0.204280E+05
   0.107770E-01   0.205716E+05
   0.109947E-01   0.207109E+05
   0.112168E-01   0.208458E+05
   0.114434E-01   0.209761E+05
   0.116746E-01   0.211014E+05
   0.119104E-01   0.212215E+05
   0.121510E-01   0.213364E+05
   0.123965E-01   0.214456E+05
   0.126469E-01   0.215490E+05
   0.129024E-01   0.216463E+05
   0.131631E-01   0.217374E+05
   0.134290E-01   0.218219E+05
   0.137003E-01   0.218996E+05
   0.139770E-01   0.219703E+05
   0.142594E-01   0.220337E+05
   0.145474E-01   0.220896E+05
   0.148413E-01   0.221378E+05
   0.151411E-01   0.221780E+05
   0.154470E-01   0.222100E+05
   0.157590E-01   0.222336E+05
   0.160774E-01   0.222485E+05
   0.164022E-01   0.222546E+05
   0.167335E-01   0.222516E+05
   0.170716E-01   0.222394E+05
   0.174164E-01   0.222176E+05
   0.177683E-01   0.221863E+05
   0.181272E-01   0.221451E+05
   0.184934E-01   0.220940E+05
   0.188670E-01   0.220328E+05
   0.192481E-01   0.219613E+05
   0.196370E-01   0.218796E+05
   0.200337E-01   0.217874E+05
   0.204384E-01   0.216848E+05
   0.208513E-01   0.215716E+05
   0.212725E-01   0.214480E+05
   0.217022E-01   0.213138E+05
   0.221406E-01   0.211691E+05
   0.225879E-01   0.210140E+05
   0.230442E-01   0.208486E+05
   0.235097E-01   0.206731E+05
   0.239847E-01   0.204875E+05
   0.244692E-01   0.202921E+05
   0.249635E-01   0.200871E+05
   0.254678E-01   0.198729E+05
   0.259823E-01   0.196497E+05
   0.265072E-01   0.194178E+05
   0.270426E-01   0.191777E+05
   0.275889E-01   0.189298E+05
   0.281463E-01   0.186746E+05
   0.287149E-01   0.184126E+05
   0.292949E-01   0.181443E+05
   0.298867E-01   0.178703E+05
   0.304905E-01   0.175913E+05
   0.311064E-01   0.173079E+05
   0.317348E-01   0.170209E+05
   0.323759E-01   0.167309E+05
   0.330299E-01   0.164385E+05
   0.336972E-01   0.161447E+05
   0.343779E-01   0.158502E+05
   0.350724E-01   0.155558E+05
   0.357809E-01   0.152621E+05
   0.365038E-01   0.149699E+05
   0.372412E-01   0.146803E+05
   0.379935E-01   0.143941E+05
   0.387610E-01   0.141120E+05
   0.395440E-01   0.138349E+05
   0.403429E-01   0.135633E+05
   0.411579E-01   0.132977E+05
   0.419893E-01   0.130384E+05
   0.428375E-01   0.127857E+05
   0.437029E-01   0.125400E+05
   0.445858E-01   0.123019E+05
   0.454865E-01   0.120721E+05
   0.464053E-01   0.118516E+05
   0.473428E-01   0.116409E+05
   0.482992E-01   0.114408E+05
   0.492749E-01   0.112509E+05
   0.502703E-01   0.110702E+05
   0.512858E-01   0.108979E+05
   0.523219E-01   0.107332E+05
   0.533789E-01   0.105753E+05
   0.544572E-01   0.104234E+05
   0.555573E-01   0.102770E+05
   0.566796E-01   0.101352E+05
   0.578246E-01   0.999735E+04
   0.589927E-01   0.986245E+04
   0.601845E-01   0.972959E+04
   0.614003E-01   0.959788E+04
   0.626407E-01   0.946614E+04
   0.639061E-01   0.933307E+04
   0.651971E-01   0.919741E+04
   0.665142E-01   0.905784E+04
   0.678578E-01   0.891270E+04
   0.692287E-01   0.876042E+04
   0.706272E-01   0.859962E+04
   0.720539E-01   0.842931E+04
   0.735095E-01   0.824871E+04
   0.749945E-01   0.805739E+04
   0.765095E-01   0.785589E+04
   0.780551E-01   0.764509E+04
   0.796319E-01   0.742607E+04
   0.812406E-01   0.720040E+04
   0.828817E-01   0.696968E+04
   0.845561E-01   0.673582E+04
   0.862642E-01   0.650109E+04
