#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.160833E+04   0.242158E+00   0.000000E+00  -0.268633E+01   0.550524E-07   0.201942E-02   0.575955E-06
    56   0.162755E+04   0.254986E+00   0.000000E+00  -0.308282E+01   0.548635E-07   0.198937E-02   0.519690E-06
    57   0.164721E+04   0.268134E+00   0.000000E+00  -0.349920E+01   0.546686E-07   0.195996E-02   0.418078E-06
    58   0.166730E+04   0.281590E+00   0.000000E+00  -0.393288E+01   0.544679E-07   0.193117E-02   0.299727E-06
    59   0.168774E+04   0.295342E+00   0.000000E+00  -0.438098E+01   0.542616E-07   0.190298E-02   0.193191E-06
    60   0.170851E+04   0.309373E+00   0.000000E+00  -0.484021E+01   0.540501E-07   0.187539E-02   0.126978E-06
    61   0.172965E+04   0.323663E+00   0.000000E+00  -0.530806E+01   0.538335E-07   0.184837E-02   0.120713E-06
    62   0.175113E+04   0.338199E+00   0.000000E+00  -0.578552E+01   0.536124E-07   0.182192E-02   0.158679E-06
    63   0.177296E+04   0.352968E+00   0.000000E+00  -0.627446E+01   0.533871E-07   0.179600E-02   0.216359E-06
    64   0.179512E+04   0.367958E+00   0.000000E+00  -0.677675E+01   0.531582E-07   0.177061E-02   0.269275E-06
    65   0.181762E+04   0.383158E+00   0.000000E+00  -0.729430E+01   0.529260E-07   0.174571E-02   0.292986E-06
    66   0.184048E+04   0.398549E+00   0.000000E+00  -0.782859E+01   0.526909E-07   0.172130E-02   0.269182E-06
    67   0.186369E+04   0.414115E+00   0.000000E+00  -0.837848E+01   0.524533E-07   0.169733E-02   0.203971E-06
    68   0.188722E+04   0.429836E+00   0.000000E+00  -0.894213E+01   0.522133E-07   0.167377E-02   0.109547E-06
    69   0.191104E+04   0.445693E+00   0.000000E+00  -0.951775E+01   0.519711E-07   0.165057E-02  -0.191537E-08
    70   0.193513E+04   0.461669E+00   0.000000E+00  -0.101037E+02   0.517270E-07   0.162770E-02  -0.118257E-06
    71   0.195948E+04   0.477751E+00   0.000000E+00  -0.106989E+02   0.514811E-07   0.160514E-02  -0.228624E-06
    72   0.198417E+04   0.493921E+00   0.000000E+00  -0.113031E+02   0.512336E-07   0.158288E-02  -0.327334E-06
    73   0.200930E+04   0.510166E+00   0.000000E+00  -0.119167E+02   0.509844E-07   0.156096E-02  -0.410002E-06
    74   0.203484E+04   0.526461E+00   0.000000E+00  -0.125385E+02   0.507335E-07   0.153939E-02  -0.472245E-06
    75   0.206077E+04   0.542784E+00   0.000000E+00  -0.131673E+02   0.504811E-07   0.151819E-02  -0.509685E-06
    76   0.208702E+04   0.559111E+00   0.000000E+00  -0.138019E+02   0.502271E-07   0.149738E-02  -0.520380E-06
    77   0.211349E+04   0.575419E+00   0.000000E+00  -0.144411E+02   0.499718E-07   0.147697E-02  -0.512122E-06
    78   0.214019E+04   0.591686E+00   0.000000E+00  -0.150849E+02   0.497153E-07   0.145697E-02  -0.495124E-06
    79   0.216718E+04   0.607890E+00   0.000000E+00  -0.157336E+02   0.494578E-07   0.143739E-02  -0.479591E-06
    80   0.219453E+04   0.624010E+00   0.000000E+00  -0.163877E+02   0.491996E-07   0.141823E-02  -0.475716E-06
    81   0.222227E+04   0.640023E+00   0.000000E+00  -0.170473E+02   0.489408E-07   0.139950E-02  -0.490972E-06
    82   0.225040E+04   0.655908E+00   0.000000E+00  -0.177112E+02   0.486815E-07   0.138117E-02  -0.521978E-06
    83   0.227888E+04   0.671646E+00   0.000000E+00  -0.183784E+02   0.484220E-07   0.136321E-02  -0.562645E-06
    84   0.230767E+04   0.687213E+00   0.000000E+00  -0.190477E+02   0.481622E-07   0.134557E-02  -0.606890E-06
    85   0.233674E+04   0.702589E+00   0.000000E+00  -0.197179E+02   0.479025E-07   0.132822E-02  -0.648635E-06
    86   0.236608E+04   0.717753E+00   0.000000E+00  -0.203879E+02   0.476429E-07   0.131114E-02  -0.683060E-06
    87   0.239564E+04   0.732682E+00   0.000000E+00  -0.210566E+02   0.473834E-07   0.129432E-02  -0.710353E-06
    88   0.242541E+04   0.747352E+00   0.000000E+00  -0.217232E+02   0.471242E-07   0.127774E-02  -0.731954E-06
    89   0.245540E+04   0.761737E+00   0.000000E+00  -0.223871E+02   0.468654E-07   0.126142E-02  -0.749301E-06
    90   0.248562E+04   0.775811E+00   0.000000E+00  -0.230474E+02   0.466070E-07   0.124535E-02  -0.763831E-06
    91   0.251607E+04   0.789550E+00   0.000000E+00  -0.237035E+02   0.463491E-07   0.122952E-02  -0.776748E-06
    92   0.254674E+04   0.802937E+00   0.000000E+00  -0.243547E+02   0.460918E-07   0.121394E-02  -0.788318E-06
    93   0.257765E+04   0.815956E+00   0.000000E+00  -0.250003E+02   0.458350E-07   0.119859E-02  -0.798574E-06
    94   0.260878E+04   0.828596E+00   0.000000E+00  -0.256397E+02   0.455789E-07   0.118349E-02  -0.807551E-06
    95   0.264014E+04   0.840838E+00   0.000000E+00  -0.262721E+02   0.453234E-07   0.116861E-02  -0.815282E-06
    96   0.267170E+04   0.852670E+00   0.000000E+00  -0.268967E+02   0.450686E-07   0.115397E-02  -0.821800E-06
    97   0.270347E+04   0.864076E+00   0.000000E+00  -0.275128E+02   0.448146E-07   0.113955E-02  -0.827139E-06
