#           k/h    P           
   0.100000E-03   0.493129E+03
   0.102020E-03   0.502676E+03
   0.104081E-03   0.512407E+03
   0.106184E-03   0.522327E+03
   0.108329E-03   0.532437E+03
   0.110517E-03   0.542743E+03
   0.112750E-03   0.553248E+03
   0.115027E-03   0.563955E+03
   0.117351E-03   0.574869E+03
   0.119722E-03   0.585993E+03
   0.122140E-03   0.597332E+03
   0.124608E-03   0.608889E+03
   0.127125E-03   0.620669E+03
   0.129693E-03   0.632676E+03
   0.132313E-03   0.644914E+03
   0.134986E-03   0.657388E+03
   0.137713E-03   0.670102E+03
   0.140495E-03   0.683060E+03
   0.143333E-03   0.696268E+03
   0.146228E-03   0.709730E+03
   0.149182E-03   0.723450E+03
   0.152196E-03   0.737434E+03
   0.155271E-03   0.751687E+03
   0.158407E-03   0.766214E+03
   0.161607E-03   0.781020E+03
   0.164872E-03   0.796109E+03
   0.168203E-03   0.811489E+03
   0.171601E-03   0.827163E+03
   0.175067E-03   0.843137E+03
   0.178604E-03   0.859418E+03
   0.182212E-03   0.876010E+03
   0.185893E-03   0.892920E+03
   0.189648E-03   0.910154E+03
   0.193479E-03   0.927717E+03
   0.197388E-03   0.945616E+03
   0.201375E-03   0.963856E+03
   0.205443E-03   0.982445E+03
   0.209594E-03   0.100139E+04
   0.213828E-03   0.102069E+04
   0.218147E-03   0.104037E+04
   0.222554E-03   0.106041E+04
   0.227050E-03   0.108084E+04
   0.231637E-03   0.110166E+04
   0.236316E-03   0.112287E+04
   0.241090E-03   0.114448E+04
   0.245960E-03   0.116651E+04
   0.250929E-03   0.118895E+04
   0.255998E-03   0.121182E+04
   0.261170E-03   0.123512E+04
   0.266446E-03   0.125886E+04
   0.271828E-03   0.128305E+04
   0.277319E-03   0.130770E+04
   0.282922E-03   0.133281E+04
   0.288637E-03   0.135839E+04
   0.294468E-03   0.138445E+04
   0.300417E-03   0.141101E+04
   0.306485E-03   0.143806E+04
   0.312677E-03   0.146562E+04
   0.318993E-03   0.149369E+04
   0.325437E-03   0.152229E+04
   0.332012E-03   0.155143E+04
   0.338719E-03   0.158111E+04
   0.345561E-03   0.161134E+04
   0.352542E-03   0.164213E+04
   0.359664E-03   0.167349E+04
   0.366930E-03   0.170544E+04
   0.374342E-03   0.173797E+04
   0.381904E-03   0.177111E+04
   0.389619E-03   0.180486E+04
   0.397490E-03   0.183923E+04
   0.405520E-03   0.187423E+04
   0.413712E-03   0.190988E+04
   0.422070E-03   0.194617E+04
   0.430596E-03   0.198313E+04
   0.439295E-03   0.202077E+04
   0.448169E-03   0.205909E+04
   0.457222E-03   0.209811E+04
   0.466459E-03   0.213784E+04
   0.475882E-03   0.217828E+04
