#    L    TT             EE             TE             PP             TP          
     2   0.634713E+03   0.280233E-01   0.293141E+01   0.120608E+07  -0.398208E+04
     3   0.629832E+03   0.531044E-01   0.344233E+01   0.183570E+07  -0.166416E+04
     4   0.625253E+03   0.710647E-01   0.353553E+01   0.238658E+07   0.249023E+03
     5   0.621973E+03   0.764487E-01   0.336957E+01   0.286910E+07   0.176211E+04
     6   0.620196E+03   0.699010E-01   0.306769E+01   0.329288E+07   0.295615E+04
     7   0.620371E+03   0.558417E-01   0.271001E+01   0.366743E+07   0.392067E+04
     8   0.622256E+03   0.396465E-01   0.234715E+01   0.399997E+07   0.466566E+04
     9   0.625647E+03   0.255390E-01   0.200684E+01   0.429680E+07   0.520148E+04
    10   0.630417E+03   0.156762E-01   0.170560E+01   0.456232E+07   0.558133E+04
    11   0.636421E+03   0.102065E-01   0.145126E+01   0.480174E+07   0.588523E+04
    12   0.644250E+03   0.800553E-02   0.125185E+01   0.501610E+07   0.614649E+04
    13   0.652593E+03   0.754366E-02   0.110549E+01   0.521066E+07   0.640945E+04
    14   0.661329E+03   0.754728E-02   0.100977E+01   0.538560E+07   0.662294E+04
    15   0.669783E+03   0.732509E-02   0.959655E+00   0.554473E+07   0.679982E+04
    16   0.679719E+03   0.673108E-02   0.949864E+00   0.568864E+07   0.692241E+04
    17   0.690903E+03   0.599653E-02   0.970144E+00   0.581889E+07   0.701807E+04
    18   0.702171E+03   0.539756E-02   0.101145E+01   0.593736E+07   0.712029E+04
    19   0.714442E+03   0.510887E-02   0.106839E+01   0.604477E+07   0.722295E+04
    20   0.726267E+03   0.521239E-02   0.112764E+01   0.614167E+07   0.731229E+04
    21   0.738329E+03   0.560074E-02   0.118722E+01   0.622925E+07   0.738344E+04
    22   0.750615E+03   0.614417E-02   0.124289E+01   0.630865E+07   0.743557E+04
    23   0.762746E+03   0.674045E-02   0.129362E+01   0.638043E+07   0.747517E+04
    24   0.775076E+03   0.732497E-02   0.133915E+01   0.644500E+07   0.750792E+04
    25   0.787823E+03   0.792521E-02   0.137490E+01   0.650300E+07   0.752919E+04
    26   0.800562E+03   0.860097E-02   0.140734E+01   0.655507E+07   0.753424E+04
