#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   459   0.263032E+04  -0.132242E+02   0.516511E-04  -0.132242E+02   0.762902E+01   0.230420E-06   0.516511E-04   0.230420E-06   0.944466E-08
   460   0.262720E+04  -0.116983E+02   0.513863E-04  -0.116983E+02   0.773609E+01   0.208353E-06   0.513863E-04   0.208353E-06   0.941419E-08
   461   0.262373E+04  -0.101838E+02   0.511291E-04  -0.101838E+02   0.785102E+01   0.186131E-06   0.511291E-04   0.186131E-06   0.938386E-08
   462   0.261998E+04  -0.868353E+01   0.508794E-04  -0.868353E+01   0.797384E+01   0.163763E-06   0.508794E-04   0.163763E-06   0.935367E-08
   463   0.261590E+04  -0.719685E+01   0.506370E-04  -0.719685E+01   0.810443E+01   0.141260E-06   0.506370E-04   0.141260E-06   0.932361E-08
   464   0.261155E+04  -0.572523E+01   0.504018E-04  -0.572523E+01   0.824265E+01   0.118633E-06   0.504018E-04   0.118633E-06   0.929370E-08
   465   0.260690E+04  -0.426938E+01   0.501735E-04  -0.426938E+01   0.838847E+01   0.958931E-07   0.501735E-04   0.958931E-07   0.926392E-08
   466   0.260198E+04  -0.283080E+01   0.499521E-04  -0.283080E+01   0.854175E+01   0.730502E-07   0.499521E-04   0.730502E-07   0.923427E-08
   467   0.259679E+04  -0.140947E+01   0.497372E-04  -0.140947E+01   0.870246E+01   0.501154E-07   0.497372E-04   0.501154E-07   0.920476E-08
   468   0.259132E+04  -0.687605E-02   0.495287E-04  -0.687605E-02   0.887047E+01   0.270991E-07   0.495287E-04   0.270991E-07   0.917538E-08
   469   0.258559E+04   0.137625E+01   0.493266E-04   0.137625E+01   0.904566E+01   0.401216E-08   0.493266E-04   0.401216E-08   0.914614E-08
   470   0.257960E+04   0.273918E+01   0.491304E-04   0.273918E+01   0.922790E+01  -0.191348E-07   0.491304E-04  -0.191348E-07   0.911702E-08
   471   0.257334E+04   0.408191E+01   0.489402E-04   0.408191E+01   0.941715E+01  -0.423312E-07   0.489402E-04  -0.423312E-07   0.908804E-08
   472   0.256682E+04   0.540223E+01   0.487557E-04   0.540223E+01   0.961336E+01  -0.655662E-07   0.487557E-04  -0.655662E-07   0.905920E-08
   473   0.256005E+04   0.670088E+01   0.485768E-04   0.670088E+01   0.981633E+01  -0.888293E-07   0.485768E-04  -0.888293E-07   0.903048E-08
   474   0.255303E+04   0.797491E+01   0.484032E-04   0.797491E+01   0.100259E+02  -0.112110E-06   0.484032E-04  -0.112110E-06   0.900189E-08
   475   0.254577E+04   0.922505E+01   0.482348E-04   0.922505E+01   0.102422E+02  -0.135397E-06   0.482348E-04  -0.135397E-06   0.897343E-08
   476   0.253828E+04   0.104498E+02   0.480714E-04   0.104498E+02   0.104650E+02  -0.158680E-06   0.480714E-04  -0.158680E-06   0.894511E-08
   477   0.253056E+04   0.116478E+02   0.479129E-04   0.116478E+02   0.106942E+02  -0.181948E-06   0.479129E-04  -0.181948E-06   0.891690E-08
   478   0.252263E+04   0.128182E+02   0.477590E-04   0.128182E+02   0.109297E+02  -0.205192E-06   0.477590E-04  -0.205192E-06   0.888883E-08
   479   0.251451E+04   0.139592E+02   0.476096E-04   0.139592E+02   0.111715E+02  -0.228399E-06   0.476096E-04  -0.228399E-06   0.886088E-08
   480   0.250618E+04   0.150707E+02   0.474645E-04   0.150707E+02   0.114195E+02  -0.251559E-06   0.474645E-04  -0.251559E-06   0.883306E-08
   481   0.249766E+04   0.161513E+02   0.473235E-04   0.161513E+02   0.116735E+02  -0.274662E-06   0.473235E-04  -0.274662E-06   0.880537E-08
   482   0.248895E+04   0.171999E+02   0.471865E-04   0.171999E+02   0.119334E+02  -0.297698E-06   0.471865E-04  -0.297698E-06   0.877779E-08
   483   0.248006E+04   0.182154E+02   0.470533E-04   0.182154E+02   0.121992E+02  -0.320654E-06   0.470533E-04  -0.320654E-06   0.875035E-08
   484   0.247099E+04   0.191967E+02   0.469236E-04   0.191967E+02   0.124708E+02  -0.343521E-06   0.469236E-04  -0.343521E-06   0.872302E-08
   485   0.246174E+04   0.201427E+02   0.467974E-04   0.201427E+02   0.127480E+02  -0.366289E-06   0.467974E-04  -0.366289E-06   0.869582E-08
   486   0.245232E+04   0.210523E+02   0.466744E-04   0.210523E+02   0.130308E+02  -0.388945E-06   0.466744E-04  -0.388945E-06   0.866874E-08
   487   0.244274E+04   0.219244E+02   0.465545E-04   0.219244E+02   0.133190E+02  -0.411480E-06   0.465545E-04  -0.411480E-06   0.864179E-08
   488   0.243300E+04   0.227578E+02   0.464375E-04   0.227578E+02   0.136127E+02  -0.433883E-06   0.464375E-04  -0.433883E-06   0.861495E-08
   489   0.242312E+04   0.235513E+02   0.463232E-04   0.235513E+02   0.139115E+02  -0.456144E-06   0.463232E-04  -0.456144E-06   0.858823E-08
   490   0.241309E+04   0.243036E+02   0.462114E-04   0.243036E+02   0.142155E+02  -0.478251E-06   0.462114E-04  -0.478251E-06   0.856163E-08
   491   0.240293E+04   0.250134E+02   0.461020E-04   0.250134E+02   0.145247E+02  -0.500194E-06   0.461020E-04  -0.500194E-06   0.853515E-08
   492   0.239266E+04   0.256797E+02   0.459948E-04   0.256797E+02   0.148387E+02  -0.521963E-06   0.459948E-04  -0.521963E-06   0.850879E-08
   493   0.238228E+04   0.263009E+02   0.458895E-04   0.263009E+02   0.151575E+02  -0.543546E-06   0.458895E-04  -0.543546E-06   0.848255E-08
   494   0.237179E+04   0.268762E+02   0.457861E-04   0.268762E+02   0.154811E+02  -0.564933E-06   0.457861E-04  -0.564933E-06   0.845642E-08
   495   0.236122E+04   0.274039E+02   0.456844E-04   0.274039E+02   0.158094E+02  -0.586113E-06   0.456844E-04  -0.586113E-06   0.843041E-08
   496   0.235055E+04   0.278830E+02   0.455841E-04   0.278830E+02   0.161421E+02  -0.607076E-06   0.455841E-04  -0.607076E-06   0.840451E-08
   497   0.233981E+04   0.283122E+02   0.454851E-04   0.283122E+02   0.164793E+02  -0.627811E-06   0.454851E-04  -0.627811E-06   0.837873E-08
   498   0.232898E+04   0.286901E+02   0.453872E-04   0.286901E+02   0.168208E+02  -0.648307E-06   0.453872E-04  -0.648307E-06   0.835307E-08
   499   0.231809E+04   0.290155E+02   0.452903E-04   0.290155E+02   0.171664E+02  -0.668554E-06   0.452903E-04  -0.668554E-06   0.832751E-08
   500   0.230714E+04   0.292872E+02   0.451942E-04   0.292872E+02   0.175162E+02  -0.688541E-06   0.451942E-04  -0.688541E-06   0.830207E-08
   501   0.229613E+04   0.295042E+02   0.450986E-04   0.295042E+02   0.178698E+02  -0.708259E-06   0.450986E-04  -0.708259E-06   0.827674E-08
   502   0.228506E+04   0.296666E+02   0.450037E-04   0.296666E+02   0.182273E+02  -0.727707E-06   0.450037E-04  -0.727707E-06   0.825152E-08
   503   0.227395E+04   0.297754E+02   0.449093E-04   0.297754E+02   0.185884E+02  -0.746887E-06   0.449093E-04  -0.746887E-06   0.822642E-08
   504   0.226279E+04   0.298309E+02   0.448155E-04   0.298309E+02   0.189529E+02  -0.765800E-06   0.448155E-04  -0.765800E-06   0.820142E-08
   505   0.225160E+04   0.298338E+02   0.447223E-04   0.298338E+02   0.193206E+02  -0.784446E-06   0.447223E-04  -0.784446E-06   0.817654E-08
   506   0.224038E+04   0.297848E+02   0.446297E-04   0.297848E+02   0.196914E+02  -0.802826E-06   0.446297E-04  -0.802826E-06   0.815176E-08
   507   0.222913E+04   0.296845E+02   0.445377E-04   0.296845E+02   0.200651E+02  -0.820942E-06   0.445377E-04  -0.820942E-06   0.812709E-08
   508   0.221787E+04   0.295334E+02   0.444463E-04   0.295334E+02   0.204414E+02  -0.838795E-06   0.444463E-04  -0.838795E-06   0.810253E-08
   509   0.220658E+04   0.293323E+02   0.443554E-04   0.293323E+02   0.208202E+02  -0.856386E-06   0.443554E-04  -0.856386E-06   0.807808E-08
   510   0.219530E+04   0.290816E+02   0.442652E-04   0.290816E+02   0.212013E+02  -0.873716E-06   0.442652E-04  -0.873716E-06   0.805374E-08
   511   0.218400E+04   0.287820E+02   0.441755E-04   0.287820E+02   0.215844E+02  -0.890786E-06   0.441755E-04  -0.890786E-06   0.802950E-08
   512   0.217272E+04   0.284342E+02   0.440865E-04   0.284342E+02   0.219695E+02  -0.907596E-06   0.440865E-04  -0.907596E-06   0.800537E-08
   513   0.216143E+04   0.280387E+02   0.439980E-04   0.280387E+02   0.223562E+02  -0.924149E-06   0.439980E-04  -0.924149E-06   0.798135E-08
   514   0.215016E+04   0.275962E+02   0.439101E-04   0.275962E+02   0.227444E+02  -0.940445E-06   0.439101E-04  -0.940445E-06   0.795743E-08
   515   0.213890E+04   0.271072E+02   0.438228E-04   0.271072E+02   0.231338E+02  -0.956485E-06   0.438228E-04  -0.956485E-06   0.793361E-08
   516   0.212767E+04   0.265722E+02   0.437361E-04   0.265722E+02   0.235243E+02  -0.972271E-06   0.437361E-04  -0.972271E-06   0.790990E-08
   517   0.211646E+04   0.259920E+02   0.436499E-04   0.259920E+02   0.239157E+02  -0.987803E-06   0.436499E-04  -0.987803E-06   0.788630E-08
   518   0.210528E+04   0.253670E+02   0.435644E-04   0.253670E+02   0.243077E+02  -0.100308E-05   0.435644E-04  -0.100308E-05   0.786280E-08
   519   0.209414E+04   0.246979E+02   0.434794E-04   0.246979E+02   0.247001E+02  -0.101811E-05   0.434794E-04  -0.101811E-05   0.783940E-08
   520   0.208304E+04   0.239851E+02   0.433951E-04   0.239851E+02   0.250927E+02  -0.103289E-05   0.433951E-04  -0.103289E-05   0.781611E-08
   521   0.207198E+04   0.232293E+02   0.433113E-04   0.232293E+02   0.254854E+02  -0.104741E-05   0.433113E-04  -0.104741E-05   0.779291E-08
   522   0.206097E+04   0.224310E+02   0.432281E-04   0.224310E+02   0.258778E+02  -0.106169E-05   0.432281E-04  -0.106169E-05   0.776982E-08
   523   0.205001E+04   0.215908E+02   0.431455E-04   0.215908E+02   0.262698E+02  -0.107573E-05   0.431455E-04  -0.107573E-05   0.774683E-08
   524   0.203911E+04   0.207092E+02   0.430635E-04   0.207092E+02   0.266611E+02  -0.108951E-05   0.430635E-04  -0.108951E-05   0.772394E-08
   525   0.202829E+04   0.197868E+02   0.429821E-04   0.197868E+02   0.270515E+02  -0.110305E-05   0.429821E-04  -0.110305E-05   0.770115E-08
   526   0.201755E+04   0.188242E+02   0.429013E-04   0.188242E+02   0.274408E+02  -0.111635E-05   0.429013E-04  -0.111635E-05   0.767846E-08
   527   0.200689E+04   0.178220E+02   0.428210E-04   0.178220E+02   0.278288E+02  -0.112941E-05   0.428210E-04  -0.112941E-05   0.765587E-08
   528   0.199633E+04   0.167806E+02   0.427414E-04   0.167806E+02   0.282151E+02  -0.114222E-05   0.427414E-04  -0.114222E-05   0.763337E-08
   529   0.198587E+04   0.157008E+02   0.426623E-04   0.157008E+02   0.285996E+02  -0.115479E-05   0.426623E-04  -0.115479E-05   0.761098E-08
   530   0.197553E+04   0.145828E+02   0.425838E-04   0.145828E+02   0.289820E+02  -0.116712E-05   0.425838E-04  -0.116712E-05   0.758868E-08
   531   0.196529E+04   0.134273E+02   0.425060E-04   0.134273E+02   0.293622E+02  -0.117921E-05   0.425060E-04  -0.117921E-05   0.756648E-08
   532   0.195519E+04   0.122347E+02   0.424287E-04   0.122347E+02   0.297397E+02  -0.119107E-05   0.424287E-04  -0.119107E-05   0.754438E-08
   533   0.194522E+04   0.110057E+02   0.423520E-04   0.110057E+02   0.301145E+02  -0.120269E-05   0.423520E-04  -0.120269E-05   0.752237E-08
   534   0.193538E+04   0.974053E+01   0.422759E-04   0.974053E+01   0.304862E+02  -0.121407E-05   0.422759E-04  -0.121407E-05   0.750046E-08
   535   0.192569E+04   0.843991E+01   0.422003E-04   0.843991E+01   0.308547E+02  -0.122522E-05   0.422003E-04  -0.122522E-05   0.747864E-08
   536   0.191616E+04   0.710416E+01   0.421254E-04   0.710416E+01   0.312196E+02  -0.123614E-05   0.421254E-04  -0.123614E-05   0.745692E-08
   537   0.190679E+04   0.573399E+01   0.420511E-04   0.573399E+01   0.315807E+02  -0.124682E-05   0.420511E-04  -0.124682E-05   0.743530E-08
   538   0.189759E+04   0.432988E+01   0.419773E-04   0.432988E+01   0.319378E+02  -0.125727E-05   0.419773E-04  -0.125727E-05   0.741376E-08
   539   0.188857E+04   0.289232E+01   0.419042E-04   0.289232E+01   0.322905E+02  -0.126749E-05   0.419042E-04  -0.126749E-05   0.739232E-08
   540   0.187973E+04   0.142195E+01   0.418316E-04   0.142195E+01   0.326387E+02  -0.127749E-05   0.418316E-04  -0.127749E-05   0.737097E-08
   541   0.187110E+04  -0.806856E-01   0.417596E-04  -0.806856E-01   0.329821E+02  -0.128725E-05   0.417596E-04  -0.128725E-05   0.734972E-08
   542   0.186268E+04  -0.161509E+01   0.416882E-04  -0.161509E+01   0.333203E+02  -0.129679E-05   0.416882E-04  -0.129679E-05   0.732855E-08
   543   0.185447E+04  -0.318065E+01   0.416174E-04  -0.318065E+01   0.336532E+02  -0.130610E-05   0.416174E-04  -0.130610E-05   0.730748E-08
   544   0.184648E+04  -0.477680E+01   0.415472E-04  -0.477680E+01   0.339805E+02  -0.131519E-05   0.415472E-04  -0.131519E-05   0.728650E-08
   545   0.183873E+04  -0.640292E+01   0.414776E-04  -0.640292E+01   0.343018E+02  -0.132405E-05   0.414776E-04  -0.132405E-05   0.726561E-08
   546   0.183122E+04  -0.805841E+01   0.414086E-04  -0.805841E+01   0.346170E+02  -0.133269E-05   0.414086E-04  -0.133269E-05   0.724480E-08
   547   0.182396E+04  -0.974265E+01   0.413401E-04  -0.974265E+01   0.349257E+02  -0.134111E-05   0.413401E-04  -0.134111E-05   0.722409E-08
   548   0.181696E+04  -0.114550E+02   0.412723E-04  -0.114550E+02   0.352276E+02  -0.134931E-05   0.412723E-04  -0.134931E-05   0.720347E-08
   549   0.181023E+04  -0.131950E+02   0.412050E-04  -0.131950E+02   0.355225E+02  -0.135729E-05   0.412050E-04  -0.135729E-05   0.718293E-08
   550   0.180378E+04  -0.149618E+02   0.411384E-04  -0.149618E+02   0.358101E+02  -0.136505E-05   0.411384E-04  -0.136505E-05   0.716248E-08
   551   0.179762E+04  -0.167549E+02   0.410723E-04  -0.167549E+02   0.360901E+02  -0.137259E-05   0.410723E-04  -0.137259E-05   0.714212E-08
   552   0.179174E+04  -0.185734E+02   0.410068E-04  -0.185734E+02   0.363625E+02  -0.137992E-05   0.410068E-04  -0.137992E-05   0.712185E-08
   553   0.178614E+04  -0.204161E+02   0.409418E-04  -0.204161E+02   0.366273E+02  -0.138703E-05   0.409418E-04  -0.138703E-05   0.710166E-08
   554   0.178083E+04  -0.222822E+02   0.408774E-04  -0.222822E+02   0.368845E+02  -0.139391E-05   0.408774E-04  -0.139391E-05   0.708156E-08
   555   0.177580E+04  -0.241704E+02   0.408135E-04  -0.241704E+02   0.371341E+02  -0.140058E-05   0.408135E-04  -0.140058E-05   0.706154E-08
   556   0.177103E+04  -0.260799E+02   0.407500E-04  -0.260799E+02   0.373761E+02  -0.140704E-05   0.407500E-04  -0.140704E-05   0.704161E-08
   557   0.176656E+04  -0.280096E+02   0.406870E-04  -0.280096E+02   0.376105E+02  -0.141327E-05   0.406870E-04  -0.141327E-05   0.702176E-08
   558   0.176234E+04  -0.299584E+02   0.406245E-04  -0.299584E+02   0.378373E+02  -0.141928E-05   0.406245E-04  -0.141928E-05   0.700200E-08
   559   0.175839E+04  -0.319251E+02   0.405623E-04  -0.319251E+02   0.380565E+02  -0.142507E-05   0.405623E-04  -0.142507E-05   0.698232E-08
   560   0.175471E+04  -0.339087E+02   0.405005E-04  -0.339087E+02   0.382681E+02  -0.143065E-05   0.405005E-04  -0.143065E-05   0.696272E-08
   561   0.175129E+04  -0.359081E+02   0.404391E-04  -0.359081E+02   0.384720E+02  -0.143600E-05   0.404391E-04  -0.143600E-05   0.694321E-08
   562   0.174812E+04  -0.379220E+02   0.403781E-04  -0.379220E+02   0.386683E+02  -0.144113E-05   0.403781E-04  -0.144113E-05   0.692378E-08
   563   0.174521E+04  -0.399494E+02   0.403174E-04  -0.399494E+02   0.388569E+02  -0.144604E-05   0.403174E-04  -0.144604E-05   0.690443E-08
   564   0.174256E+04  -0.419892E+02   0.402569E-04  -0.419892E+02   0.390378E+02  -0.145072E-05   0.402569E-04  -0.145072E-05   0.688517E-08
   565   0.174015E+04  -0.440401E+02   0.401968E-04  -0.440401E+02   0.392110E+02  -0.145519E-05   0.401968E-04  -0.145519E-05   0.686598E-08
   566   0.173798E+04  -0.461009E+02   0.401369E-04  -0.461009E+02   0.393765E+02  -0.145943E-05   0.401369E-04  -0.145943E-05   0.684688E-08
   567   0.173607E+04  -0.481705E+02   0.400772E-04  -0.481705E+02   0.395341E+02  -0.146346E-05   0.400772E-04  -0.146346E-05   0.682785E-08
   568   0.173440E+04  -0.502477E+02   0.400178E-04  -0.502477E+02   0.396840E+02  -0.146725E-05   0.400178E-04  -0.146725E-05   0.680891E-08
   569   0.173296E+04  -0.523312E+02   0.399585E-04  -0.523312E+02   0.398261E+02  -0.147083E-05   0.399585E-04  -0.147083E-05   0.679005E-08
   570   0.173175E+04  -0.544198E+02   0.398994E-04  -0.544198E+02   0.399603E+02  -0.147418E-05   0.398994E-04  -0.147418E-05   0.677126E-08
   571   0.173078E+04  -0.565124E+02   0.398405E-04  -0.565124E+02   0.400866E+02  -0.147731E-05   0.398405E-04  -0.147731E-05   0.675255E-08
   572   0.173005E+04  -0.586074E+02   0.397817E-04  -0.586074E+02   0.402049E+02  -0.148021E-05   0.397817E-04  -0.148021E-05   0.673393E-08
   573   0.172954E+04  -0.607039E+02   0.397229E-04  -0.607039E+02   0.403152E+02  -0.148289E-05   0.397229E-04  -0.148289E-05   0.671538E-08
   574   0.172926E+04  -0.628002E+02   0.396643E-04  -0.628002E+02   0.404176E+02  -0.148534E-05   0.396643E-04  -0.148534E-05   0.669690E-08
   575   0.172923E+04  -0.648951E+02   0.396057E-04  -0.648951E+02   0.405119E+02  -0.148757E-05   0.396057E-04  -0.148757E-05   0.667851E-08
   576   0.172941E+04  -0.669872E+02   0.395471E-04  -0.669872E+02   0.405980E+02  -0.148958E-05   0.395471E-04  -0.148958E-05   0.666019E-08
   577   0.172983E+04  -0.690753E+02   0.394885E-04  -0.690753E+02   0.406760E+02  -0.149136E-05   0.394885E-04  -0.149136E-05   0.664194E-08
   578   0.173047E+04  -0.711581E+02   0.394300E-04  -0.711581E+02   0.407458E+02  -0.149291E-05   0.394300E-04  -0.149291E-05   0.662378E-08
   579   0.173133E+04  -0.732340E+02   0.393714E-04  -0.732340E+02   0.408073E+02  -0.149423E-05   0.393714E-04  -0.149423E-05   0.660568E-08
   580   0.173243E+04  -0.753017E+02   0.393127E-04  -0.753017E+02   0.408605E+02  -0.149533E-05   0.393127E-04  -0.149533E-05   0.658767E-08
   581   0.173375E+04  -0.773600E+02   0.392540E-04  -0.773600E+02   0.409054E+02  -0.149620E-05   0.392540E-04  -0.149620E-05   0.656972E-08
   582   0.173530E+04  -0.794075E+02   0.391951E-04  -0.794075E+02   0.409417E+02  -0.149685E-05   0.391951E-04  -0.149685E-05   0.655185E-08
   583   0.173706E+04  -0.814428E+02   0.391361E-04  -0.814428E+02   0.409696E+02  -0.149726E-05   0.391361E-04  -0.149726E-05   0.653406E-08
   584   0.173905E+04  -0.834645E+02   0.390770E-04  -0.834645E+02   0.409890E+02  -0.149745E-05   0.390770E-04  -0.149745E-05   0.651633E-08
   585   0.174126E+04  -0.854712E+02   0.390177E-04  -0.854712E+02   0.409997E+02  -0.149741E-05   0.390177E-04  -0.149741E-05   0.649868E-08
   586   0.174369E+04  -0.874615E+02   0.389583E-04  -0.874615E+02   0.410018E+02  -0.149714E-05   0.389583E-04  -0.149714E-05   0.648111E-08
   587   0.174633E+04  -0.894339E+02   0.388986E-04  -0.894339E+02   0.409951E+02  -0.149664E-05   0.388986E-04  -0.149664E-05   0.646360E-08
   588   0.174919E+04  -0.913868E+02   0.388386E-04  -0.913868E+02   0.409796E+02  -0.149591E-05   0.388386E-04  -0.149591E-05   0.644616E-08
   589   0.175226E+04  -0.933189E+02   0.387785E-04  -0.933189E+02   0.409552E+02  -0.149496E-05   0.387785E-04  -0.149496E-05   0.642880E-08
   590   0.175556E+04  -0.952286E+02   0.387180E-04  -0.952286E+02   0.409219E+02  -0.149377E-05   0.387180E-04  -0.149377E-05   0.641151E-08
   591   0.175906E+04  -0.971143E+02   0.386572E-04  -0.971143E+02   0.408795E+02  -0.149235E-05   0.386572E-04  -0.149235E-05   0.639428E-08
   592   0.176278E+04  -0.989747E+02   0.385961E-04  -0.989747E+02   0.408281E+02  -0.149070E-05   0.385961E-04  -0.149070E-05   0.637713E-08
   593   0.176671E+04  -0.100808E+03   0.385347E-04  -0.100808E+03   0.407675E+02  -0.148882E-05   0.385347E-04  -0.148882E-05   0.636005E-08
   594   0.177084E+04  -0.102613E+03   0.384728E-04  -0.102613E+03   0.406976E+02  -0.148671E-05   0.384728E-04  -0.148671E-05   0.634303E-08
   595   0.177519E+04  -0.104388E+03   0.384106E-04  -0.104388E+03   0.406184E+02  -0.148437E-05   0.384106E-04  -0.148437E-05   0.632608E-08
   596   0.177975E+04  -0.106131E+03   0.383480E-04  -0.106131E+03   0.405298E+02  -0.148180E-05   0.383480E-04  -0.148180E-05   0.630920E-08
   597   0.178451E+04  -0.107840E+03   0.382850E-04  -0.107840E+03   0.404318E+02  -0.147899E-05   0.382850E-04  -0.147899E-05   0.629239E-08
   598   0.178948E+04  -0.109515E+03   0.382214E-04  -0.109515E+03   0.403241E+02  -0.147595E-05   0.382214E-04  -0.147595E-05   0.627565E-08
   599   0.179465E+04  -0.111153E+03   0.381574E-04  -0.111153E+03   0.402068E+02  -0.147268E-05   0.381574E-04  -0.147268E-05   0.625897E-08
   600   0.180003E+04  -0.112753E+03   0.380929E-04  -0.112753E+03   0.400798E+02  -0.146917E-05   0.380929E-04  -0.146917E-05   0.624236E-08
   601   0.180561E+04  -0.114313E+03   0.380279E-04  -0.114313E+03   0.399430E+02  -0.146543E-05   0.380279E-04  -0.146543E-05   0.622581E-08
   602   0.181138E+04  -0.115833E+03   0.379623E-04  -0.115833E+03   0.397966E+02  -0.146146E-05   0.379623E-04  -0.146146E-05   0.620933E-08
   603   0.181735E+04  -0.117313E+03   0.378962E-04  -0.117313E+03   0.396408E+02  -0.145726E-05   0.378962E-04  -0.145726E-05   0.619292E-08
   604   0.182349E+04  -0.118753E+03   0.378296E-04  -0.118753E+03   0.394758E+02  -0.145284E-05   0.378296E-04  -0.145284E-05   0.617657E-08
   605   0.182981E+04  -0.120153E+03   0.377625E-04  -0.120153E+03   0.393019E+02  -0.144819E-05   0.377625E-04  -0.144819E-05   0.616028E-08
   606   0.183631E+04  -0.121513E+03   0.376948E-04  -0.121513E+03   0.391192E+02  -0.144333E-05   0.376948E-04  -0.144333E-05   0.614406E-08
   607   0.184297E+04  -0.122834E+03   0.376265E-04  -0.122834E+03   0.389280E+02  -0.143824E-05   0.376265E-04  -0.143824E-05   0.612790E-08
   608   0.184979E+04  -0.124114E+03   0.375578E-04  -0.124114E+03   0.387285E+02  -0.143294E-05   0.375578E-04  -0.143294E-05   0.611181E-08
   609   0.185677E+04  -0.125355E+03   0.374885E-04  -0.125355E+03   0.385209E+02  -0.142743E-05   0.374885E-04  -0.142743E-05   0.609577E-08
   610   0.186388E+04  -0.126555E+03   0.374187E-04  -0.126555E+03   0.383053E+02  -0.142170E-05   0.374187E-04  -0.142170E-05   0.607981E-08
   611   0.187115E+04  -0.127715E+03   0.373483E-04  -0.127715E+03   0.380819E+02  -0.141577E-05   0.373483E-04  -0.141577E-05   0.606390E-08
   612   0.187854E+04  -0.128835E+03   0.372774E-04  -0.128835E+03   0.378510E+02  -0.140964E-05   0.372774E-04  -0.140964E-05   0.604806E-08
   613   0.188605E+04  -0.129914E+03   0.372060E-04  -0.129914E+03   0.376128E+02  -0.140330E-05   0.372060E-04  -0.140330E-05   0.603227E-08
   614   0.189370E+04  -0.130954E+03   0.371340E-04  -0.130954E+03   0.373675E+02  -0.139676E-05   0.371340E-04  -0.139676E-05   0.601655E-08
   615   0.190146E+04  -0.131952E+03   0.370614E-04  -0.131952E+03   0.371153E+02  -0.139003E-05   0.370614E-04  -0.139003E-05   0.600090E-08
   616   0.190933E+04  -0.132909E+03   0.369884E-04  -0.132909E+03   0.368563E+02  -0.138310E-05   0.369884E-04  -0.138310E-05   0.598530E-08
   617   0.191730E+04  -0.133826E+03   0.369147E-04  -0.133826E+03   0.365910E+02  -0.137598E-05   0.369147E-04  -0.137598E-05   0.596976E-08
   618   0.192538E+04  -0.134700E+03   0.368406E-04  -0.134700E+03   0.363195E+02  -0.136867E-05   0.368406E-04  -0.136867E-05   0.595428E-08
   619   0.193354E+04  -0.135534E+03   0.367659E-04  -0.135534E+03   0.360419E+02  -0.136118E-05   0.367659E-04  -0.136118E-05   0.593886E-08
   620   0.194178E+04  -0.136325E+03   0.366906E-04  -0.136325E+03   0.357585E+02  -0.135350E-05   0.366906E-04  -0.135350E-05   0.592351E-08
   621   0.195011E+04  -0.137074E+03   0.366148E-04  -0.137074E+03   0.354696E+02  -0.134564E-05   0.366148E-04  -0.134564E-05   0.590821E-08
   622   0.195851E+04  -0.137780E+03   0.365384E-04  -0.137780E+03   0.351752E+02  -0.133760E-05   0.365384E-04  -0.133760E-05   0.589297E-08
   623   0.196698E+04  -0.138444E+03   0.364615E-04  -0.138444E+03   0.348758E+02  -0.132938E-05   0.364615E-04  -0.132938E-05   0.587779E-08
   624   0.197550E+04  -0.139064E+03   0.363840E-04  -0.139064E+03   0.345713E+02  -0.132100E-05   0.363840E-04  -0.132100E-05   0.586266E-08
   625   0.198407E+04  -0.139642E+03   0.363060E-04  -0.139642E+03   0.342621E+02  -0.131244E-05   0.363060E-04  -0.131244E-05   0.584760E-08
   626   0.199270E+04  -0.140176E+03   0.362275E-04  -0.140176E+03   0.339483E+02  -0.130371E-05   0.362275E-04  -0.130371E-05   0.583259E-08
   627   0.200135E+04  -0.140666E+03   0.361483E-04  -0.140666E+03   0.336301E+02  -0.129482E-05   0.361483E-04  -0.129482E-05   0.581764E-08
   628   0.201004E+04  -0.141111E+03   0.360686E-04  -0.141111E+03   0.333077E+02  -0.128577E-05   0.360686E-04  -0.128577E-05   0.580274E-08
   629   0.201875E+04  -0.141513E+03   0.359884E-04  -0.141513E+03   0.329814E+02  -0.127655E-05   0.359884E-04  -0.127655E-05   0.578791E-08
   630   0.202748E+04  -0.141869E+03   0.359076E-04  -0.141869E+03   0.326515E+02  -0.126718E-05   0.359076E-04  -0.126718E-05   0.577313E-08
   631   0.203622E+04  -0.142180E+03   0.358262E-04  -0.142180E+03   0.323179E+02  -0.125765E-05   0.358262E-04  -0.125765E-05   0.575840E-08
   632   0.204495E+04  -0.142445E+03   0.357443E-04  -0.142445E+03   0.319811E+02  -0.124797E-05   0.357443E-04  -0.124797E-05   0.574373E-08
   633   0.205369E+04  -0.142664E+03   0.356618E-04  -0.142664E+03   0.316412E+02  -0.123815E-05   0.356618E-04  -0.123815E-05   0.572912E-08
   634   0.206241E+04  -0.142837E+03   0.355787E-04  -0.142837E+03   0.312984E+02  -0.122817E-05   0.355787E-04  -0.122817E-05   0.571456E-08
   635   0.207111E+04  -0.142962E+03   0.354951E-04  -0.142962E+03   0.309530E+02  -0.121805E-05   0.354951E-04  -0.121805E-05   0.570006E-08
   636   0.207978E+04  -0.143040E+03   0.354109E-04  -0.143040E+03   0.306051E+02  -0.120779E-05   0.354109E-04  -0.120779E-05   0.568561E-08
