#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.140311E+04   0.809400E+00   0.242713E-02   0.809400E+00   0.115114E+00   0.162236E-05   0.242713E-02   0.162236E-05   0.566900E-07
    44   0.141801E+04   0.610858E+00   0.238843E-02   0.610858E+00   0.123715E+00   0.162929E-05   0.238843E-02   0.162929E-05   0.566106E-07
    45   0.143340E+04   0.393304E+00   0.235085E-02   0.393304E+00   0.132690E+00   0.155943E-05   0.235085E-02   0.155943E-05   0.565184E-07
    46   0.144924E+04   0.155251E+00   0.231449E-02   0.155251E+00   0.142045E+00   0.139490E-05   0.231449E-02   0.139490E-05   0.564144E-07
    47   0.146550E+04  -0.102068E+00   0.227922E-02  -0.102068E+00   0.151776E+00   0.116674E-05   0.227922E-02   0.116674E-05   0.562992E-07
    48   0.148214E+04  -0.376758E+00   0.224487E-02  -0.376758E+00   0.161870E+00   0.918203E-06   0.224487E-02   0.918203E-06   0.561735E-07
    49   0.149912E+04  -0.666850E+00   0.221125E-02  -0.666850E+00   0.172311E+00   0.692548E-06   0.221125E-02   0.692548E-06   0.560381E-07
    50   0.151648E+04  -0.970236E+00   0.217816E-02  -0.970236E+00   0.183097E+00   0.533036E-06   0.217816E-02   0.533036E-06   0.558935E-07
    51   0.153425E+04  -0.128531E+01   0.214547E-02  -0.128531E+01   0.194225E+00   0.469598E-06   0.214547E-02   0.469598E-06   0.557405E-07
    52   0.155239E+04  -0.161270E+01   0.211319E-02  -0.161270E+01   0.205696E+00   0.478865E-06   0.211319E-02   0.478865E-06   0.555794E-07
    53   0.157079E+04  -0.195377E+01   0.208138E-02  -0.195377E+01   0.217510E+00   0.524143E-06   0.208138E-02   0.524143E-06   0.554107E-07
    54   0.158944E+04  -0.231078E+01   0.205011E-02  -0.231078E+01   0.229664E+00   0.568738E-06   0.205011E-02   0.568738E-06   0.552349E-07
    55   0.160833E+04  -0.268633E+01   0.201942E-02  -0.268633E+01   0.242158E+00   0.575955E-06   0.201942E-02   0.575955E-06   0.550524E-07
    56   0.162755E+04  -0.308282E+01   0.198937E-02  -0.308282E+01   0.254986E+00   0.519978E-06   0.198937E-02   0.519978E-06   0.548635E-07
    57   0.164721E+04  -0.349920E+01   0.195996E-02  -0.349920E+01   0.268134E+00   0.418510E-06   0.195996E-02   0.418510E-06   0.546686E-07
    58   0.166730E+04  -0.393288E+01   0.193117E-02  -0.393288E+01   0.281590E+00   0.300133E-06   0.193117E-02   0.300133E-06   0.544679E-07
    59   0.168774E+04  -0.438098E+01   0.190298E-02  -0.438098E+01   0.295342E+00   0.193428E-06   0.190298E-02   0.193428E-06   0.542616E-07
    60   0.170851E+04  -0.484021E+01   0.187539E-02  -0.484021E+01   0.309373E+00   0.126978E-06   0.187539E-02   0.126978E-06   0.540501E-07
    61   0.172965E+04  -0.530806E+01   0.184837E-02  -0.530806E+01   0.323663E+00   0.120515E-06   0.184837E-02   0.120515E-06   0.538335E-07
    62   0.175113E+04  -0.578552E+01   0.182192E-02  -0.578552E+01   0.338199E+00   0.158387E-06   0.182192E-02   0.158387E-06   0.536124E-07
    63   0.177296E+04  -0.627446E+01   0.179600E-02  -0.627446E+01   0.352968E+00   0.216090E-06   0.179600E-02   0.216090E-06   0.533871E-07
    64   0.179512E+04  -0.677675E+01   0.177061E-02  -0.677675E+01   0.367958E+00   0.269124E-06   0.177061E-02   0.269124E-06   0.531582E-07
    65   0.181762E+04  -0.729430E+01   0.174571E-02  -0.729430E+01   0.383158E+00   0.292986E-06   0.174571E-02   0.292986E-06   0.529260E-07
    66   0.184048E+04  -0.782859E+01   0.172130E-02  -0.782859E+01   0.398549E+00   0.269291E-06   0.172130E-02   0.269291E-06   0.526909E-07
    67   0.186369E+04  -0.837848E+01   0.169733E-02  -0.837848E+01   0.414115E+00   0.204121E-06   0.169733E-02   0.204121E-06   0.524533E-07
    68   0.188722E+04  -0.894213E+01   0.167377E-02  -0.894213E+01   0.429836E+00   0.109674E-06   0.167377E-02   0.109674E-06   0.522133E-07
    69   0.191104E+04  -0.951775E+01   0.165057E-02  -0.951775E+01   0.445693E+00  -0.185141E-08   0.165057E-02  -0.185141E-08   0.519711E-07
    70   0.193513E+04  -0.101037E+02   0.162770E-02  -0.101037E+02   0.461669E+00  -0.118257E-06   0.162770E-02  -0.118257E-06   0.517270E-07
    71   0.195948E+04  -0.106989E+02   0.160514E-02  -0.106989E+02   0.477751E+00  -0.228649E-06   0.160514E-02  -0.228649E-06   0.514812E-07
    72   0.198417E+04  -0.113031E+02   0.158288E-02  -0.113031E+02   0.493921E+00  -0.327356E-06   0.158288E-02  -0.327356E-06   0.512336E-07
    73   0.200930E+04  -0.119167E+02   0.156096E-02  -0.119167E+02   0.510166E+00  -0.410009E-06   0.156096E-02  -0.410009E-06   0.509844E-07
    74   0.203484E+04  -0.125385E+02   0.153939E-02  -0.125385E+02   0.526461E+00  -0.472241E-06   0.153939E-02  -0.472241E-06   0.507335E-07
    75   0.206077E+04  -0.131673E+02   0.151819E-02  -0.131673E+02   0.542784E+00  -0.509685E-06   0.151819E-02  -0.509685E-06   0.504811E-07
    76   0.208702E+04  -0.138019E+02   0.149738E-02  -0.138019E+02   0.559111E+00  -0.520400E-06   0.149738E-02  -0.520400E-06   0.502271E-07
    77   0.211349E+04  -0.144411E+02   0.147697E-02  -0.144411E+02   0.575419E+00  -0.512161E-06   0.147697E-02  -0.512161E-06   0.499718E-07
    78   0.214019E+04  -0.150849E+02   0.145697E-02  -0.150849E+02   0.591686E+00  -0.495166E-06   0.145697E-02  -0.495166E-06   0.497153E-07
    79   0.216718E+04  -0.157336E+02   0.143739E-02  -0.157336E+02   0.607890E+00  -0.479617E-06   0.143739E-02  -0.479617E-06   0.494578E-07
    80   0.219453E+04  -0.163877E+02   0.141823E-02  -0.163877E+02   0.624010E+00  -0.475716E-06   0.141823E-02  -0.475716E-06   0.491996E-07
    81   0.222227E+04  -0.170473E+02   0.139950E-02  -0.170473E+02   0.640023E+00  -0.490947E-06   0.139950E-02  -0.490947E-06   0.489408E-07
    82   0.225040E+04  -0.177112E+02   0.138117E-02  -0.177112E+02   0.655908E+00  -0.521941E-06   0.138117E-02  -0.521941E-06   0.486815E-07
    83   0.227888E+04  -0.183784E+02   0.136321E-02  -0.183784E+02   0.671646E+00  -0.562610E-06   0.136321E-02  -0.562610E-06   0.484219E-07
    84   0.230767E+04  -0.190477E+02   0.134557E-02  -0.190477E+02   0.687213E+00  -0.606870E-06   0.134557E-02  -0.606870E-06   0.481622E-07
    85   0.233674E+04  -0.197179E+02   0.132822E-02  -0.197179E+02   0.702589E+00  -0.648635E-06   0.132822E-02  -0.648635E-06   0.479025E-07
    86   0.236608E+04  -0.203879E+02   0.131114E-02  -0.203879E+02   0.717753E+00  -0.683074E-06   0.131114E-02  -0.683074E-06   0.476429E-07
    87   0.239564E+04  -0.210566E+02   0.129432E-02  -0.210566E+02   0.732682E+00  -0.710372E-06   0.129432E-02  -0.710372E-06   0.473834E-07
    88   0.242541E+04  -0.217232E+02   0.127774E-02  -0.217232E+02   0.747352E+00  -0.731970E-06   0.127774E-02  -0.731970E-06   0.471242E-07
    89   0.245540E+04  -0.223871E+02   0.126142E-02  -0.223871E+02   0.761737E+00  -0.749310E-06   0.126142E-02  -0.749310E-06   0.468654E-07
    90   0.248562E+04  -0.230474E+02   0.124535E-02  -0.230474E+02   0.775811E+00  -0.763831E-06   0.124535E-02  -0.763831E-06   0.466070E-07
    91   0.251607E+04  -0.237035E+02   0.122952E-02  -0.237035E+02   0.789550E+00  -0.776741E-06   0.122952E-02  -0.776741E-06   0.463491E-07
    92   0.254674E+04  -0.243547E+02   0.121393E-02  -0.243547E+02   0.802937E+00  -0.788306E-06   0.121393E-02  -0.788306E-06   0.460917E-07
    93   0.257765E+04  -0.250003E+02   0.119859E-02  -0.250003E+02   0.815956E+00  -0.798560E-06   0.119859E-02  -0.798560E-06   0.458349E-07
    94   0.260878E+04  -0.256397E+02   0.118348E-02  -0.256397E+02   0.828596E+00  -0.807536E-06   0.118348E-02  -0.807536E-06   0.455788E-07
    95   0.264014E+04  -0.262721E+02   0.116861E-02  -0.262721E+02   0.840838E+00  -0.815267E-06   0.116861E-02  -0.815267E-06   0.453233E-07
    96   0.267170E+04  -0.268967E+02   0.115396E-02  -0.268967E+02   0.852670E+00  -0.821786E-06   0.115396E-02  -0.821786E-06   0.450685E-07
    97   0.270347E+04  -0.275128E+02   0.113954E-02  -0.275128E+02   0.864076E+00  -0.827126E-06   0.113954E-02  -0.827126E-06   0.448144E-07
    98   0.273544E+04  -0.281197E+02   0.112535E-02  -0.281197E+02   0.875039E+00  -0.831321E-06   0.112535E-02  -0.831321E-06   0.445611E-07
    99   0.276758E+04  -0.287166E+02   0.111137E-02  -0.287166E+02   0.885546E+00  -0.834403E-06   0.111137E-02  -0.834403E-06   0.443087E-07
   100   0.279989E+04  -0.293025E+02   0.109761E-02  -0.293025E+02   0.895583E+00  -0.836405E-06   0.109761E-02  -0.836405E-06   0.440571E-07
   101   0.283237E+04  -0.298768E+02   0.108407E-02  -0.298768E+02   0.905136E+00  -0.837362E-06   0.108407E-02  -0.837362E-06   0.438065E-07
   102   0.286500E+04  -0.304387E+02   0.107073E-02  -0.304387E+02   0.914182E+00  -0.837305E-06   0.107073E-02  -0.837305E-06   0.435568E-07
   103   0.289776E+04  -0.309872E+02   0.105761E-02  -0.309872E+02   0.922720E+00  -0.836269E-06   0.105761E-02  -0.836269E-06   0.433080E-07
   104   0.293064E+04  -0.315216E+02   0.104468E-02  -0.315216E+02   0.930721E+00  -0.834285E-06   0.104468E-02  -0.834285E-06   0.430603E-07
   105   0.296363E+04  -0.320410E+02   0.103196E-02  -0.320410E+02   0.938177E+00  -0.831388E-06   0.103196E-02  -0.831388E-06   0.428137E-07
   106   0.299672E+04  -0.325445E+02   0.101943E-02  -0.325445E+02   0.945071E+00  -0.827610E-06   0.101943E-02  -0.827610E-06   0.425682E-07
   107   0.302987E+04  -0.330312E+02   0.100710E-02  -0.330312E+02   0.951397E+00  -0.822985E-06   0.100710E-02  -0.822985E-06   0.423238E-07
   108   0.306308E+04  -0.335004E+02   0.994952E-03  -0.335004E+02   0.957131E+00  -0.817545E-06   0.994952E-03  -0.817545E-06   0.420806E-07
   109   0.309635E+04  -0.339509E+02   0.982995E-03  -0.339509E+02   0.962267E+00  -0.811324E-06   0.982995E-03  -0.811324E-06   0.418387E-07
   110   0.312964E+04  -0.343822E+02   0.971222E-03  -0.343822E+02   0.966780E+00  -0.804354E-06   0.971222E-03  -0.804354E-06   0.415980E-07
   111   0.316294E+04  -0.347933E+02   0.959630E-03  -0.347933E+02   0.970666E+00  -0.796670E-06   0.959630E-03  -0.796670E-06   0.413586E-07
   112   0.319626E+04  -0.351835E+02   0.948215E-03  -0.351835E+02   0.973933E+00  -0.788301E-06   0.948215E-03  -0.788301E-06   0.411206E-07
   113   0.322956E+04  -0.355524E+02   0.936975E-03  -0.355524E+02   0.976573E+00  -0.779280E-06   0.936975E-03  -0.779280E-06   0.408838E-07
   114   0.326285E+04  -0.358992E+02   0.925906E-03  -0.358992E+02   0.978590E+00  -0.769637E-06   0.925906E-03  -0.769637E-06   0.406485E-07
   115   0.329611E+04  -0.362234E+02   0.915007E-03  -0.362234E+02   0.980001E+00  -0.759404E-06   0.915007E-03  -0.759404E-06   0.404144E-07
   116   0.332933E+04  -0.365245E+02   0.904274E-03  -0.365245E+02   0.980807E+00  -0.748612E-06   0.904274E-03  -0.748612E-06   0.401818E-07
   117   0.336251E+04  -0.368017E+02   0.893704E-03  -0.368017E+02   0.981004E+00  -0.737293E-06   0.893704E-03  -0.737293E-06   0.399505E-07
   118   0.339561E+04  -0.370545E+02   0.883295E-03  -0.370545E+02   0.980608E+00  -0.725476E-06   0.883295E-03  -0.725476E-06   0.397206E-07
   119   0.342864E+04  -0.372824E+02   0.873043E-03  -0.372824E+02   0.979621E+00  -0.713194E-06   0.873043E-03  -0.713194E-06   0.394920E-07
   120   0.346157E+04  -0.374847E+02   0.862946E-03  -0.374847E+02   0.978053E+00  -0.700478E-06   0.862946E-03  -0.700478E-06   0.392649E-07
   121   0.349441E+04  -0.376608E+02   0.853001E-03  -0.376608E+02   0.975906E+00  -0.687359E-06   0.853001E-03  -0.687359E-06   0.390392E-07
   122   0.352713E+04  -0.378103E+02   0.843206E-03  -0.378103E+02   0.973190E+00  -0.673868E-06   0.843206E-03  -0.673868E-06   0.388149E-07
   123   0.355971E+04  -0.379324E+02   0.833556E-03  -0.379324E+02   0.969913E+00  -0.660037E-06   0.833556E-03  -0.660037E-06   0.385920E-07
   124   0.359216E+04  -0.380266E+02   0.824050E-03  -0.380266E+02   0.966079E+00  -0.645896E-06   0.824050E-03  -0.645896E-06   0.383706E-07
   125   0.362445E+04  -0.380923E+02   0.814685E-03  -0.380923E+02   0.961704E+00  -0.631477E-06   0.814685E-03  -0.631477E-06   0.381506E-07
   126   0.365657E+04  -0.381291E+02   0.805458E-03  -0.381291E+02   0.956790E+00  -0.616811E-06   0.805458E-03  -0.616811E-06   0.379321E-07
   127   0.368850E+04  -0.381362E+02   0.796365E-03  -0.381362E+02   0.951355E+00  -0.601929E-06   0.796365E-03  -0.601929E-06   0.377150E-07
   128   0.372023E+04  -0.381132E+02   0.787405E-03  -0.381132E+02   0.945399E+00  -0.586862E-06   0.787405E-03  -0.586862E-06   0.374994E-07
   129   0.375176E+04  -0.380595E+02   0.778574E-03  -0.380595E+02   0.938941E+00  -0.571642E-06   0.778574E-03  -0.571642E-06   0.372853E-07
   130   0.378306E+04  -0.379745E+02   0.769869E-03  -0.379745E+02   0.931983E+00  -0.556300E-06   0.769869E-03  -0.556300E-06   0.370728E-07
   131   0.381412E+04  -0.378578E+02   0.761288E-03  -0.378578E+02   0.924544E+00  -0.540866E-06   0.761288E-03  -0.540866E-06   0.368617E-07
   132   0.384493E+04  -0.377091E+02   0.752829E-03  -0.377091E+02   0.916657E+00  -0.525363E-06   0.752829E-03  -0.525363E-06   0.366521E-07
   133   0.387548E+04  -0.375282E+02   0.744489E-03  -0.375282E+02   0.908343E+00  -0.509815E-06   0.744489E-03  -0.509815E-06   0.364440E-07
   134   0.390576E+04  -0.373150E+02   0.736267E-03  -0.373150E+02   0.899653E+00  -0.494246E-06   0.736267E-03  -0.494246E-06   0.362374E-07
   135   0.393575E+04  -0.370693E+02   0.728162E-03  -0.370693E+02   0.890600E+00  -0.478677E-06   0.728162E-03  -0.478677E-06   0.360323E-07
   136   0.396545E+04  -0.367909E+02   0.720170E-03  -0.367909E+02   0.881228E+00  -0.463132E-06   0.720170E-03  -0.463132E-06   0.358286E-07
   137   0.399484E+04  -0.364797E+02   0.712291E-03  -0.364797E+02   0.871565E+00  -0.447635E-06   0.712291E-03  -0.447635E-06   0.356265E-07
   138   0.402392E+04  -0.361355E+02   0.704521E-03  -0.361355E+02   0.861655E+00  -0.432206E-06   0.704521E-03  -0.432206E-06   0.354257E-07
   139   0.405267E+04  -0.357583E+02   0.696861E-03  -0.357583E+02   0.851524E+00  -0.416871E-06   0.696861E-03  -0.416871E-06   0.352265E-07
   140   0.408108E+04  -0.353479E+02   0.689306E-03  -0.353479E+02   0.841211E+00  -0.401652E-06   0.689306E-03  -0.401652E-06   0.350287E-07
   141   0.410914E+04  -0.349043E+02   0.681856E-03  -0.349043E+02   0.830764E+00  -0.386571E-06   0.681856E-03  -0.386571E-06   0.348324E-07
   142   0.413683E+04  -0.344272E+02   0.674509E-03  -0.344272E+02   0.820206E+00  -0.371652E-06   0.674509E-03  -0.371652E-06   0.346375E-07
