#    L    TT             EE             TE             PP             TP          
     2   0.126430E+04   0.574599E-01   0.315251E+01   0.926701E+06   0.364444E+05
     3   0.118222E+04   0.912584E-01   0.402523E+01   0.142670E+07   0.443980E+05
     4   0.109340E+04   0.985589E-01   0.418979E+01   0.187195E+07   0.482444E+05
     5   0.102089E+04   0.834718E-01   0.390616E+01   0.226617E+07   0.498664E+05
     6   0.966297E+03   0.586491E-01   0.340344E+01   0.261488E+07   0.502594E+05
     7   0.926884E+03   0.355948E-01   0.283178E+01   0.292460E+07   0.499705E+05
     8   0.898653E+03   0.200459E-01   0.228794E+01   0.320066E+07   0.492297E+05
     9   0.878996E+03   0.121709E-01   0.182832E+01   0.344777E+07   0.481658E+05
    10   0.866173E+03   0.924332E-02   0.147666E+01   0.366919E+07   0.469254E+05
    11   0.858384E+03   0.830100E-02   0.123842E+01   0.386896E+07   0.456751E+05
    12   0.855643E+03   0.758629E-02   0.110647E+01   0.404789E+07   0.444456E+05
    13   0.855403E+03   0.665437E-02   0.105870E+01   0.421014E+07   0.432962E+05
    14   0.857372E+03   0.575975E-02   0.107191E+01   0.435581E+07   0.421221E+05
    15   0.860453E+03   0.522129E-02   0.112203E+01   0.448795E+07   0.409676E+05
    16   0.866122E+03   0.513610E-02   0.118778E+01   0.460708E+07   0.398207E+05
    17   0.874087E+03   0.533790E-02   0.125366E+01   0.471450E+07   0.386971E+05
    18   0.883121E+03   0.563994E-02   0.131049E+01   0.481174E+07   0.376188E+05
    19   0.893885E+03   0.600184E-02   0.136254E+01   0.489941E+07   0.365709E+05
    20   0.904686E+03   0.642043E-02   0.140704E+01   0.497800E+07   0.355373E+05
    21   0.916226E+03   0.697526E-02   0.144662E+01   0.504849E+07   0.345327E+05
    22   0.928540E+03   0.776763E-02   0.148083E+01   0.511185E+07   0.335739E+05
    23   0.941156E+03   0.883064E-02   0.151522E+01   0.516854E+07   0.326549E+05
    24   0.954306E+03   0.101732E-01   0.155533E+01   0.521896E+07   0.317663E+05
    25   0.968102E+03   0.117448E-01   0.159632E+01   0.526363E+07   0.309082E+05
    26   0.982052E+03   0.135010E-01   0.164246E+01   0.530310E+07   0.300832E+05
    27   0.996566E+03   0.154573E-01   0.169184E+01   0.533781E+07   0.292939E+05
    28   0.101148E+04   0.176142E-01   0.173631E+01   0.536808E+07   0.285413E+05
    29   0.102673E+04   0.199528E-01   0.177805E+01   0.539400E+07   0.278212E+05
    30   0.104251E+04   0.224559E-01   0.180730E+01   0.541568E+07   0.271274E+05
    31   0.105818E+04   0.251252E-01   0.183022E+01   0.543360E+07   0.264534E+05
    32   0.107449E+04   0.279970E-01   0.183872E+01   0.544828E+07   0.257949E+05
    33   0.109093E+04   0.310592E-01   0.183619E+01   0.545991E+07   0.251579E+05
    34   0.110750E+04   0.343555E-01   0.182882E+01   0.546864E+07   0.245488E+05
    35   0.112479E+04   0.378641E-01   0.180535E+01   0.547467E+07   0.239661E+05
    36   0.114190E+04   0.415867E-01   0.177312E+01   0.547819E+07   0.234058E+05
    37   0.115932E+04   0.455749E-01   0.172738E+01   0.547938E+07   0.228617E+05
    38   0.117713E+04   0.498482E-01   0.167201E+01   0.547842E+07   0.223289E+05
    39   0.119523E+04   0.543943E-01   0.160807E+01   0.547540E+07   0.218104E+05
    40   0.121355E+04   0.591956E-01   0.153487E+01   0.547044E+07   0.213112E+05
    41   0.123200E+04   0.642405E-01   0.145192E+01   0.546365E+07   0.208347E+05
    42   0.125058E+04   0.695405E-01   0.135941E+01   0.545513E+07   0.203795E+05
    43   0.126931E+04   0.751129E-01   0.125731E+01   0.544501E+07   0.199425E+05
    44   0.128824E+04   0.809726E-01   0.114400E+01   0.543340E+07   0.195210E+05
    45   0.130743E+04   0.871318E-01   0.101753E+01   0.542043E+07   0.191121E+05
    46   0.132685E+04   0.935969E-01   0.876699E+00   0.540620E+07   0.187132E+05
    47   0.134649E+04   0.100363E+00   0.721448E+00   0.539079E+07   0.183238E+05
