#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.178465E+04   0.236290E+00   0.000000E+00  -0.331748E+01   0.525223E-07   0.190919E-02   0.355768E-06
    56   0.180908E+04   0.249116E+00   0.000000E+00  -0.373538E+01   0.523020E-07   0.188031E-02   0.317389E-06
    57   0.183394E+04   0.262312E+00   0.000000E+00  -0.416625E+01   0.520761E-07   0.185179E-02   0.348580E-06
    58   0.185922E+04   0.275854E+00   0.000000E+00  -0.461228E+01   0.518449E-07   0.182367E-02   0.415880E-06
    59   0.188486E+04   0.289720E+00   0.000000E+00  -0.507537E+01   0.516085E-07   0.179598E-02   0.485888E-06
    60   0.191084E+04   0.303880E+00   0.000000E+00  -0.555699E+01   0.513673E-07   0.176877E-02   0.525264E-06
    61   0.193721E+04   0.318309E+00   0.000000E+00  -0.605810E+01   0.511215E-07   0.174205E-02   0.508436E-06
    62   0.196394E+04   0.333001E+00   0.000000E+00  -0.657782E+01   0.508716E-07   0.171587E-02   0.440731E-06
    63   0.199104E+04   0.347952E+00   0.000000E+00  -0.711484E+01   0.506180E-07   0.169022E-02   0.335169E-06
    64   0.201849E+04   0.363162E+00   0.000000E+00  -0.766786E+01   0.503611E-07   0.166514E-02   0.204751E-06
    65   0.204631E+04   0.378630E+00   0.000000E+00  -0.823561E+01   0.501013E-07   0.164064E-02   0.624568E-07
    66   0.207451E+04   0.394347E+00   0.000000E+00  -0.881706E+01   0.498391E-07   0.161674E-02  -0.788607E-07
    67   0.210309E+04   0.410300E+00   0.000000E+00  -0.941118E+01   0.495747E-07   0.159339E-02  -0.206795E-06
    68   0.213202E+04   0.426469E+00   0.000000E+00  -0.100169E+02   0.493083E-07   0.157055E-02  -0.309062E-06
    69   0.216127E+04   0.442837E+00   0.000000E+00  -0.106333E+02   0.490402E-07   0.154819E-02  -0.373394E-06
    70   0.219084E+04   0.459390E+00   0.000000E+00  -0.112596E+02   0.487704E-07   0.152625E-02  -0.387533E-06
    71   0.222070E+04   0.476112E+00   0.000000E+00  -0.118952E+02   0.484993E-07   0.150469E-02  -0.344534E-06
    72   0.225094E+04   0.492988E+00   0.000000E+00  -0.125413E+02   0.482269E-07   0.148350E-02  -0.258630E-06
    73   0.228164E+04   0.509999E+00   0.000000E+00  -0.131988E+02   0.479532E-07   0.146266E-02  -0.149330E-06
    74   0.231277E+04   0.527123E+00   0.000000E+00  -0.138679E+02   0.476783E-07   0.144216E-02  -0.361190E-07
    75   0.234429E+04   0.544334E+00   0.000000E+00  -0.145482E+02   0.474021E-07   0.142199E-02   0.615385E-07
    76   0.237614E+04   0.561607E+00   0.000000E+00  -0.152394E+02   0.471249E-07   0.140213E-02   0.127623E-06
    77   0.240821E+04   0.578922E+00   0.000000E+00  -0.159398E+02   0.468466E-07   0.138258E-02   0.159823E-06
    78   0.244052E+04   0.596261E+00   0.000000E+00  -0.166490E+02   0.465676E-07   0.136333E-02   0.159247E-06
    79   0.247313E+04   0.613606E+00   0.000000E+00  -0.173668E+02   0.462881E-07   0.134437E-02   0.127006E-06
    80   0.250611E+04   0.630936E+00   0.000000E+00  -0.180930E+02   0.460081E-07   0.132569E-02   0.642036E-07
    81   0.253949E+04   0.648234E+00   0.000000E+00  -0.188272E+02   0.457280E-07   0.130730E-02  -0.266340E-07
    82   0.257328E+04   0.665482E+00   0.000000E+00  -0.195682E+02   0.454478E-07   0.128919E-02  -0.137302E-06
    83   0.260743E+04   0.682661E+00   0.000000E+00  -0.203149E+02   0.451677E-07   0.127138E-02  -0.258185E-06
    84   0.264193E+04   0.699751E+00   0.000000E+00  -0.210659E+02   0.448878E-07   0.125387E-02  -0.379672E-06
    85   0.267673E+04   0.716735E+00   0.000000E+00  -0.218201E+02   0.446082E-07   0.123667E-02  -0.492165E-06
    86   0.271183E+04   0.733593E+00   0.000000E+00  -0.225762E+02   0.443291E-07   0.121980E-02  -0.588030E-06
    87   0.274719E+04   0.750302E+00   0.000000E+00  -0.233332E+02   0.440505E-07   0.120324E-02  -0.667468E-06
    88   0.278278E+04   0.766840E+00   0.000000E+00  -0.240906E+02   0.437726E-07   0.118698E-02  -0.732641E-06
    89   0.281862E+04   0.783181E+00   0.000000E+00  -0.248476E+02   0.434954E-07   0.117102E-02  -0.785707E-06
    90   0.285471E+04   0.799298E+00   0.000000E+00  -0.256036E+02   0.432190E-07   0.115535E-02  -0.828822E-06
    91   0.289107E+04   0.815168E+00   0.000000E+00  -0.263581E+02   0.429435E-07   0.113997E-02  -0.863866E-06
    92   0.292767E+04   0.830772E+00   0.000000E+00  -0.271103E+02   0.426688E-07   0.112485E-02  -0.891615E-06
    93   0.296453E+04   0.846091E+00   0.000000E+00  -0.278596E+02   0.423951E-07   0.111001E-02  -0.912573E-06
    94   0.300163E+04   0.861111E+00   0.000000E+00  -0.286053E+02   0.421224E-07   0.109542E-02  -0.927240E-06
    95   0.303897E+04   0.875812E+00   0.000000E+00  -0.293467E+02   0.418507E-07   0.108110E-02  -0.936120E-06
    96   0.307654E+04   0.890178E+00   0.000000E+00  -0.300830E+02   0.415801E-07   0.106702E-02  -0.939711E-06
    97   0.311431E+04   0.904191E+00   0.000000E+00  -0.308134E+02   0.413105E-07   0.105319E-02  -0.938515E-06
    98   0.315230E+04   0.917832E+00   0.000000E+00  -0.315372E+02   0.410421E-07   0.103960E-02  -0.933032E-06
    99   0.319047E+04   0.931084E+00   0.000000E+00  -0.322536E+02   0.407749E-07   0.102624E-02  -0.923761E-06
   100   0.322881E+04   0.943932E+00   0.000000E+00  -0.329617E+02   0.405088E-07   0.101311E-02  -0.911201E-06
   101   0.326732E+04   0.956358E+00   0.000000E+00  -0.336608E+02   0.402441E-07   0.100020E-02  -0.895852E-06
   102   0.330599E+04   0.968338E+00   0.000000E+00  -0.343501E+02   0.399806E-07   0.987504E-03  -0.878211E-06
   103   0.334477E+04   0.979868E+00   0.000000E+00  -0.350287E+02   0.397184E-07   0.975019E-03  -0.858777E-06
   104   0.338368E+04   0.990915E+00   0.000000E+00  -0.356957E+02   0.394576E-07   0.962738E-03  -0.838048E-06
   105   0.342268E+04   0.100147E+01   0.000000E+00  -0.363504E+02   0.391982E-07   0.950656E-03  -0.816521E-06
   106   0.346177E+04   0.101151E+01   0.000000E+00  -0.369917E+02   0.389403E-07   0.938767E-03  -0.794694E-06
   107   0.350091E+04   0.102103E+01   0.000000E+00  -0.376189E+02   0.386838E-07   0.927064E-03  -0.773064E-06
   108   0.354009E+04   0.103001E+01   0.000000E+00  -0.382311E+02   0.384289E-07   0.915542E-03  -0.752127E-06
   109   0.357931E+04   0.103843E+01   0.000000E+00  -0.388273E+02   0.381755E-07   0.904197E-03  -0.732381E-06
   110   0.361853E+04   0.104627E+01   0.000000E+00  -0.394067E+02   0.379238E-07   0.893021E-03  -0.714321E-06
   111   0.365775E+04   0.105351E+01   0.000000E+00  -0.399686E+02   0.376737E-07   0.882009E-03  -0.698339E-06
   112   0.369695E+04   0.106017E+01   0.000000E+00  -0.405121E+02   0.374253E-07   0.871160E-03  -0.684410E-06
   113   0.373612E+04   0.106622E+01   0.000000E+00  -0.410367E+02   0.371785E-07   0.860471E-03  -0.672405E-06
   114   0.377527E+04   0.107165E+01   0.000000E+00  -0.415417E+02   0.369334E-07   0.849940E-03  -0.662194E-06
   115   0.381437E+04   0.107649E+01   0.000000E+00  -0.420264E+02   0.366900E-07   0.839565E-03  -0.653648E-06
   116   0.385342E+04   0.108071E+01   0.000000E+00  -0.424902E+02   0.364483E-07   0.829344E-03  -0.646637E-06
   117   0.389242E+04   0.108431E+01   0.000000E+00  -0.429324E+02   0.362082E-07   0.819276E-03  -0.641033E-06
   118   0.393134E+04   0.108730E+01   0.000000E+00  -0.433523E+02   0.359699E-07   0.809358E-03  -0.636706E-06
   119   0.397019E+04   0.108967E+01   0.000000E+00  -0.437494E+02   0.357333E-07   0.799587E-03  -0.633527E-06
   120   0.400895E+04   0.109141E+01   0.000000E+00  -0.441229E+02   0.354983E-07   0.789963E-03  -0.631368E-06
   121   0.404761E+04   0.109253E+01   0.000000E+00  -0.444722E+02   0.352651E-07   0.780484E-03  -0.630099E-06
   122   0.408615E+04   0.109302E+01   0.000000E+00  -0.447967E+02   0.350337E-07   0.771147E-03  -0.629592E-06
   123   0.412458E+04   0.109289E+01   0.000000E+00  -0.450958E+02   0.348039E-07   0.761950E-03  -0.629718E-06
   124   0.416288E+04   0.109213E+01   0.000000E+00  -0.453687E+02   0.345759E-07   0.752891E-03  -0.630349E-06
   125   0.420103E+04   0.109074E+01   0.000000E+00  -0.456149E+02   0.343496E-07   0.743969E-03  -0.631355E-06
   126   0.423904E+04   0.108873E+01   0.000000E+00  -0.458338E+02   0.341251E-07   0.735182E-03  -0.632608E-06
   127   0.427688E+04   0.108610E+01   0.000000E+00  -0.460246E+02   0.339024E-07   0.726527E-03  -0.633980E-06
   128   0.431454E+04   0.108283E+01   0.000000E+00  -0.461868E+02   0.336814E-07   0.718003E-03  -0.635342E-06
   129   0.435203E+04   0.107896E+01   0.000000E+00  -0.463199E+02   0.334622E-07   0.709608E-03  -0.636566E-06
   130   0.438931E+04   0.107445E+01   0.000000E+00  -0.464231E+02   0.332448E-07   0.701339E-03  -0.637523E-06
   131   0.442639E+04   0.106933E+01   0.000000E+00  -0.464958E+02   0.330292E-07   0.693196E-03  -0.638106E-06
   132   0.446325E+04   0.106362E+01   0.000000E+00  -0.465378E+02   0.328153E-07   0.685175E-03  -0.638289E-06
   133   0.449986E+04   0.105733E+01   0.000000E+00  -0.465486E+02   0.326033E-07   0.677275E-03  -0.638069E-06
   134   0.453622E+04   0.105048E+01   0.000000E+00  -0.465279E+02   0.323930E-07   0.669495E-03  -0.637441E-06
