#    L    TT             EE             BB             TE          
    91   0.251684E+04   0.790793E+00   0.148084E-02  -0.236951E+02
    92   0.254752E+04   0.804206E+00   0.151486E-02  -0.243457E+02
    93   0.257843E+04   0.817252E+00   0.154934E-02  -0.249907E+02
    94   0.260956E+04   0.829917E+00   0.158429E-02  -0.256294E+02
    95   0.264092E+04   0.842188E+00   0.161971E-02  -0.262612E+02
    96   0.267248E+04   0.854047E+00   0.165560E-02  -0.268851E+02
    97   0.270425E+04   0.865481E+00   0.169197E-02  -0.275005E+02
    98   0.273621E+04   0.876474E+00   0.172882E-02  -0.281067E+02
    99   0.276835E+04   0.887010E+00   0.176615E-02  -0.287028E+02
   100   0.280066E+04   0.897078E+00   0.180395E-02  -0.292880E+02
   101   0.283313E+04   0.906663E+00   0.184224E-02  -0.298614E+02
   102   0.286575E+04   0.915741E+00   0.188101E-02  -0.304226E+02
   103   0.289851E+04   0.924312E+00   0.192027E-02  -0.309703E+02
   104   0.293139E+04   0.932347E+00   0.196001E-02  -0.315038E+02
   105   0.296437E+04   0.939837E+00   0.200024E-02  -0.320224E+02
   106   0.299744E+04   0.946767E+00   0.204096E-02  -0.325250E+02
   107   0.303059E+04   0.953130E+00   0.208217E-02  -0.330108E+02
   108   0.306379E+04   0.958903E+00   0.212386E-02  -0.334791E+02
   109   0.309704E+04   0.964077E+00   0.216605E-02  -0.339287E+02
   110   0.313032E+04   0.968631E+00   0.220872E-02  -0.343590E+02
   111   0.316361E+04   0.972559E+00   0.225188E-02  -0.347692E+02
   112   0.319691E+04   0.975868E+00   0.229554E-02  -0.351585E+02
   113   0.323020E+04   0.978553E+00   0.233969E-02  -0.355264E+02
   114   0.326348E+04   0.980616E+00   0.238433E-02  -0.358722E+02
   115   0.329672E+04   0.982074E+00   0.242947E-02  -0.361954E+02
   116   0.332992E+04   0.982930E+00   0.247509E-02  -0.364955E+02
   117   0.336308E+04   0.983177E+00   0.252122E-02  -0.367717E+02
   118   0.339616E+04   0.982833E+00   0.256784E-02  -0.370235E+02
   119   0.342917E+04   0.981900E+00   0.261496E-02  -0.372504E+02
   120   0.346208E+04   0.980389E+00   0.266257E-02  -0.374517E+02
   121   0.349490E+04   0.978300E+00   0.271069E-02  -0.376268E+02
   122   0.352759E+04   0.975643E+00   0.275931E-02  -0.377752E+02
   123   0.356015E+04   0.972429E+00   0.280843E-02  -0.378963E+02
   124   0.359258E+04   0.968659E+00   0.285805E-02  -0.379895E+02
   125   0.362484E+04   0.964351E+00   0.290819E-02  -0.380542E+02
   126   0.365693E+04   0.959506E+00   0.295883E-02  -0.380899E+02
   127   0.368883E+04   0.954141E+00   0.300998E-02  -0.380961E+02
   128   0.372054E+04   0.948260E+00   0.306164E-02  -0.380721E+02
   129   0.375204E+04   0.941878E+00   0.311382E-02  -0.380174E+02
   130   0.378331E+04   0.934998E+00   0.316652E-02  -0.379315E+02
   131   0.381433E+04   0.927640E+00   0.321974E-02  -0.378138E+02
   132   0.384512E+04   0.919838E+00   0.327348E-02  -0.376641E+02
   133   0.387563E+04   0.911611E+00   0.332775E-02  -0.374824E+02
   134   0.390588E+04   0.903010E+00   0.338254E-02  -0.372682E+02
   135   0.393583E+04   0.894050E+00   0.343787E-02  -0.370217E+02
   136   0.396550E+04   0.884773E+00   0.349372E-02  -0.367425E+02
   137   0.399486E+04   0.875209E+00   0.355012E-02  -0.364304E+02
   138   0.402390E+04   0.865399E+00   0.360705E-02  -0.360854E+02
   139   0.405261E+04   0.855374E+00   0.366452E-02  -0.357074E+02
   140   0.408098E+04   0.845167E+00   0.372253E-02  -0.352963E+02
   141   0.410900E+04   0.834831E+00   0.378109E-02  -0.348520E+02
   142   0.413665E+04   0.824387E+00   0.384019E-02  -0.343743E+02
   143   0.416394E+04   0.813877E+00   0.389984E-02  -0.338632E+02
   144   0.419083E+04   0.803344E+00   0.396003E-02  -0.333186E+02
   145   0.421732E+04   0.792818E+00   0.402078E-02  -0.327403E+02
   146   0.424339E+04   0.782349E+00   0.408207E-02  -0.321283E+02
   147   0.426901E+04   0.771980E+00   0.414391E-02  -0.314826E+02
   148   0.429419E+04   0.761746E+00   0.420630E-02  -0.308029E+02
   149   0.431888E+04   0.751692E+00   0.426924E-02  -0.300893E+02
   150   0.434309E+04   0.741861E+00   0.433273E-02  -0.293415E+02
   151   0.436678E+04   0.732295E+00   0.439676E-02  -0.285597E+02
   152   0.438996E+04   0.723040E+00   0.446133E-02  -0.277442E+02
   153   0.441262E+04   0.714148E+00   0.452644E-02  -0.268951E+02
   154   0.443475E+04   0.705671E+00   0.459209E-02  -0.260130E+02
   155   0.445636E+04   0.697648E+00   0.465827E-02  -0.250981E+02
   156   0.447746E+04   0.690137E+00   0.472498E-02  -0.241509E+02
   157   0.449801E+04   0.683177E+00   0.479221E-02  -0.231716E+02
   158   0.451802E+04   0.676834E+00   0.485996E-02  -0.221606E+02
   159   0.453750E+04   0.671146E+00   0.492821E-02  -0.211184E+02
   160   0.455642E+04   0.666174E+00   0.499698E-02  -0.200452E+02
   161   0.457476E+04   0.661968E+00   0.506624E-02  -0.189416E+02
   162   0.459253E+04   0.658582E+00   0.513599E-02  -0.178079E+02
   163   0.460970E+04   0.656083E+00   0.520622E-02  -0.166444E+02
   164   0.462627E+04   0.654509E+00   0.527692E-02  -0.154518E+02
   165   0.464223E+04   0.653918E+00   0.534808E-02  -0.142302E+02
   166   0.465757E+04   0.654371E+00   0.541969E-02  -0.129803E+02
   167   0.467229E+04   0.655928E+00   0.549175E-02  -0.117025E+02
   168   0.468637E+04   0.658648E+00   0.556424E-02  -0.103974E+02
   169   0.469980E+04   0.662591E+00   0.563714E-02  -0.906559E+01
   170   0.471259E+04   0.667810E+00   0.571046E-02  -0.770747E+01
   171   0.472472E+04   0.674371E+00   0.578417E-02  -0.632362E+01
