#           k/h    P           
   0.420980E-02   0.129163E+05
   0.429484E-02   0.131076E+05
   0.438160E-02   0.133003E+05
   0.447012E-02   0.134944E+05
   0.456042E-02   0.136899E+05
   0.465255E-02   0.138866E+05
   0.474653E-02   0.140845E+05
   0.484242E-02   0.142836E+05
   0.494024E-02   0.144839E+05
   0.504004E-02   0.146851E+05
   0.514186E-02   0.148874E+05
   0.524573E-02   0.150905E+05
   0.535170E-02   0.152945E+05
   0.545981E-02   0.154992E+05
   0.557011E-02   0.157046E+05
   0.568263E-02   0.159106E+05
   0.579743E-02   0.161171E+05
   0.591455E-02   0.163240E+05
   0.603403E-02   0.165312E+05
   0.615592E-02   0.167388E+05
   0.628028E-02   0.169464E+05
   0.640715E-02   0.171541E+05
   0.653658E-02   0.173616E+05
   0.666863E-02   0.175688E+05
   0.680335E-02   0.177756E+05
   0.694078E-02   0.179819E+05
   0.708100E-02   0.181875E+05
   0.722404E-02   0.183924E+05
   0.736998E-02   0.185963E+05
   0.751886E-02   0.187991E+05
   0.767075E-02   0.190008E+05
   0.782571E-02   0.192011E+05
   0.798380E-02   0.193999E+05
   0.814509E-02   0.195971E+05
   0.830963E-02   0.197925E+05
   0.847750E-02   0.199860E+05
   0.864875E-02   0.201773E+05
   0.882347E-02   0.203662E+05
   0.900171E-02   0.205527E+05
   0.918356E-02   0.207364E+05
   0.936908E-02   0.209172E+05
   0.955835E-02   0.210949E+05
   0.975144E-02   0.212693E+05
   0.994843E-02   0.214401E+05
   0.101494E-01   0.216072E+05
   0.103544E-01   0.217703E+05
   0.105636E-01   0.219292E+05
   0.107770E-01   0.220836E+05
   0.109947E-01   0.222334E+05
   0.112168E-01   0.223783E+05
   0.114434E-01   0.225180E+05
   0.116746E-01   0.226524E+05
   0.119104E-01   0.227812E+05
   0.121510E-01   0.229041E+05
   0.123965E-01   0.230208E+05
   0.126469E-01   0.231312E+05
   0.129024E-01   0.232350E+05
   0.131631E-01   0.233318E+05
   0.134290E-01   0.234215E+05
   0.137003E-01   0.235038E+05
   0.139770E-01   0.235784E+05
   0.142594E-01   0.236451E+05
   0.145474E-01   0.237036E+05
   0.148413E-01   0.237536E+05
   0.151411E-01   0.237950E+05
   0.154470E-01   0.238274E+05
   0.157590E-01   0.238507E+05
   0.160774E-01   0.238645E+05
   0.164022E-01   0.238687E+05
   0.167335E-01   0.238630E+05
