#    L    TT             EE             BB             TE          
    91   0.217024E+04   0.444887E+00   0.215507E-02  -0.115685E+02
    92   0.219582E+04   0.457267E+00   0.220267E-02  -0.120642E+02
    93   0.222157E+04   0.469727E+00   0.225080E-02  -0.125662E+02
    94   0.224751E+04   0.482260E+00   0.229948E-02  -0.130745E+02
    95   0.227364E+04   0.494856E+00   0.234869E-02  -0.135889E+02
    96   0.229997E+04   0.507507E+00   0.239845E-02  -0.141091E+02
    97   0.232649E+04   0.520205E+00   0.244875E-02  -0.146350E+02
    98   0.235322E+04   0.532939E+00   0.249959E-02  -0.151664E+02
    99   0.238014E+04   0.545702E+00   0.255098E-02  -0.157030E+02
   100   0.240727E+04   0.558487E+00   0.260292E-02  -0.162445E+02
   101   0.243459E+04   0.571286E+00   0.265540E-02  -0.167906E+02
   102   0.246213E+04   0.584082E+00   0.270844E-02  -0.173413E+02
   103   0.248985E+04   0.596882E+00   0.276202E-02  -0.178961E+02
   104   0.251778E+04   0.609661E+00   0.281615E-02  -0.184547E+02
   105   0.254590E+04   0.622418E+00   0.287083E-02  -0.190170E+02
   106   0.257420E+04   0.635144E+00   0.292606E-02  -0.195823E+02
   107   0.260269E+04   0.647838E+00   0.298184E-02  -0.201507E+02
   108   0.263135E+04   0.660484E+00   0.303818E-02  -0.207216E+02
   109   0.266020E+04   0.673079E+00   0.309506E-02  -0.212947E+02
   110   0.268922E+04   0.685608E+00   0.315250E-02  -0.218697E+02
   111   0.271840E+04   0.698068E+00   0.321050E-02  -0.224465E+02
   112   0.274776E+04   0.710454E+00   0.326905E-02  -0.230244E+02
   113   0.277727E+04   0.722745E+00   0.332816E-02  -0.236032E+02
   114   0.280695E+04   0.734926E+00   0.338783E-02  -0.241824E+02
   115   0.283677E+04   0.746998E+00   0.344806E-02  -0.247617E+02
   116   0.286675E+04   0.758949E+00   0.350884E-02  -0.253406E+02
   117   0.289688E+04   0.770756E+00   0.357019E-02  -0.259189E+02
   118   0.292713E+04   0.782421E+00   0.363211E-02  -0.264959E+02
   119   0.295753E+04   0.793930E+00   0.369459E-02  -0.270715E+02
   120   0.298805E+04   0.805276E+00   0.375765E-02  -0.276453E+02
   121   0.301870E+04   0.816446E+00   0.382127E-02  -0.282167E+02
   122   0.304946E+04   0.827433E+00   0.388547E-02  -0.287855E+02
   123   0.308033E+04   0.838231E+00   0.395025E-02  -0.293513E+02
   124   0.311130E+04   0.848825E+00   0.401561E-02  -0.299136E+02
   125   0.314237E+04   0.859218E+00   0.408156E-02  -0.304722E+02
   126   0.317353E+04   0.869396E+00   0.414809E-02  -0.310267E+02
   127   0.320477E+04   0.879359E+00   0.421522E-02  -0.315766E+02
   128   0.323608E+04   0.889093E+00   0.428295E-02  -0.321218E+02
   129   0.326748E+04   0.898600E+00   0.435128E-02  -0.326617E+02
   130   0.329893E+04   0.907865E+00   0.442023E-02  -0.331961E+02
   131   0.333044E+04   0.916890E+00   0.448978E-02  -0.337246E+02
   132   0.336200E+04   0.925668E+00   0.455996E-02  -0.342467E+02
   133   0.339361E+04   0.934178E+00   0.463077E-02  -0.347622E+02
   134   0.342527E+04   0.942428E+00   0.470220E-02  -0.352704E+02
   135   0.345697E+04   0.950391E+00   0.477428E-02  -0.357713E+02
   136   0.348871E+04   0.958066E+00   0.484701E-02  -0.362641E+02
   137   0.352048E+04   0.965440E+00   0.492039E-02  -0.367486E+02
   138   0.355228E+04   0.972513E+00   0.499443E-02  -0.372244E+02
   139   0.358411E+04   0.979273E+00   0.506913E-02  -0.376912E+02
   140   0.361596E+04   0.985712E+00   0.514452E-02  -0.381486E+02
   141   0.364783E+04   0.991840E+00   0.522059E-02  -0.385964E+02
   142   0.367971E+04   0.997634E+00   0.529736E-02  -0.390340E+02
   143   0.371161E+04   0.100310E+01   0.537482E-02  -0.394613E+02
   144   0.374350E+04   0.100823E+01   0.545300E-02  -0.398780E+02
   145   0.377540E+04   0.101301E+01   0.553189E-02  -0.402835E+02
   146   0.380728E+04   0.101746E+01   0.561150E-02  -0.406778E+02
   147   0.383913E+04   0.102157E+01   0.569186E-02  -0.410603E+02
   148   0.387095E+04   0.102534E+01   0.577295E-02  -0.414308E+02
   149   0.390272E+04   0.102877E+01   0.585479E-02  -0.417889E+02
   150   0.393443E+04   0.103186E+01   0.593740E-02  -0.421343E+02
   151   0.396607E+04   0.103461E+01   0.602077E-02  -0.424668E+02
   152   0.399765E+04   0.103701E+01   0.610491E-02  -0.427860E+02
   153   0.402916E+04   0.103906E+01   0.618984E-02  -0.430914E+02
   154   0.406059E+04   0.104077E+01   0.627555E-02  -0.433829E+02
   155   0.409195E+04   0.104212E+01   0.636207E-02  -0.436600E+02
   156   0.412324E+04   0.104311E+01   0.644938E-02  -0.439224E+02
