#    L    TT             EE             BB             TE          
    91   0.272615E+04   0.800269E+00   0.117029E-02  -0.251580E+02
    92   0.276037E+04   0.814916E+00   0.119677E-02  -0.258679E+02
    93   0.279482E+04   0.829249E+00   0.122360E-02  -0.265735E+02
    94   0.282951E+04   0.843253E+00   0.125079E-02  -0.272743E+02
    95   0.286443E+04   0.856911E+00   0.127832E-02  -0.279693E+02
    96   0.289957E+04   0.870206E+00   0.130622E-02  -0.286580E+02
    97   0.293492E+04   0.883122E+00   0.133447E-02  -0.293396E+02
    98   0.297048E+04   0.895640E+00   0.136309E-02  -0.300134E+02
    99   0.300622E+04   0.907745E+00   0.139207E-02  -0.306785E+02
   100   0.304214E+04   0.919423E+00   0.142141E-02  -0.313342E+02
   101   0.307823E+04   0.930656E+00   0.145112E-02  -0.319798E+02
   102   0.311448E+04   0.941420E+00   0.148119E-02  -0.326145E+02
   103   0.315086E+04   0.951714E+00   0.151164E-02  -0.332374E+02
   104   0.318737E+04   0.961504E+00   0.154245E-02  -0.338477E+02
   105   0.322400E+04   0.970783E+00   0.157364E-02  -0.344447E+02
   106   0.326071E+04   0.979533E+00   0.160520E-02  -0.350273E+02
   107   0.329751E+04   0.987743E+00   0.163713E-02  -0.355949E+02
   108   0.333437E+04   0.995391E+00   0.166943E-02  -0.361466E+02
   109   0.337127E+04   0.100247E+01   0.170211E-02  -0.366814E+02
   110   0.340821E+04   0.100895E+01   0.173517E-02  -0.371986E+02
   111   0.344517E+04   0.101482E+01   0.176861E-02  -0.376975E+02
   112   0.348213E+04   0.102009E+01   0.180242E-02  -0.381772E+02
   113   0.351910E+04   0.102475E+01   0.183662E-02  -0.386373E+02
   114   0.355605E+04   0.102879E+01   0.187120E-02  -0.390769E+02
   115   0.359297E+04   0.103223E+01   0.190616E-02  -0.394955E+02
   116   0.362986E+04   0.103506E+01   0.194150E-02  -0.398925E+02
   117   0.366670E+04   0.103727E+01   0.197723E-02  -0.402671E+02
   118   0.370348E+04   0.103887E+01   0.201335E-02  -0.406188E+02
   119   0.374019E+04   0.103987E+01   0.204985E-02  -0.409470E+02
   120   0.377681E+04   0.104025E+01   0.208675E-02  -0.412509E+02
   121   0.381335E+04   0.104003E+01   0.212404E-02  -0.415300E+02
   122   0.384976E+04   0.103920E+01   0.216172E-02  -0.417836E+02
   123   0.388606E+04   0.103777E+01   0.219980E-02  -0.420111E+02
   124   0.392222E+04   0.103573E+01   0.223827E-02  -0.422119E+02
   125   0.395823E+04   0.103310E+01   0.227715E-02  -0.423854E+02
   126   0.399409E+04   0.102987E+01   0.231643E-02  -0.425309E+02
   127   0.402976E+04   0.102606E+01   0.235611E-02  -0.426478E+02
   128   0.406525E+04   0.102165E+01   0.239621E-02  -0.427357E+02
   129   0.410054E+04   0.101667E+01   0.243671E-02  -0.427937E+02
   130   0.413562E+04   0.101112E+01   0.247763E-02  -0.428214E+02
   131   0.417046E+04   0.100499E+01   0.251896E-02  -0.428182E+02
   132   0.420506E+04   0.998321E+00   0.256071E-02  -0.427837E+02
   133   0.423941E+04   0.991124E+00   0.260289E-02  -0.427177E+02
   134   0.427349E+04   0.983439E+00   0.264548E-02  -0.426198E+02
   135   0.430727E+04   0.975273E+00   0.268851E-02  -0.424899E+02
   136   0.434077E+04   0.966658E+00   0.273197E-02  -0.423275E+02
   137   0.437394E+04   0.957616E+00   0.277585E-02  -0.421325E+02
   138   0.440679E+04   0.948180E+00   0.282018E-02  -0.419046E+02
   139   0.443929E+04   0.938371E+00   0.286494E-02  -0.416435E+02
   140   0.447143E+04   0.928217E+00   0.291014E-02  -0.413491E+02
   141   0.450320E+04   0.917758E+00   0.295579E-02  -0.410212E+02
   142   0.453458E+04   0.907007E+00   0.300188E-02  -0.406595E+02
   143   0.456556E+04   0.896000E+00   0.304842E-02  -0.402638E+02
   144   0.459612E+04   0.884770E+00   0.309541E-02  -0.398340E+02
   145   0.462624E+04   0.873337E+00   0.314285E-02  -0.393697E+02
   146   0.465590E+04   0.861744E+00   0.319074E-02  -0.388708E+02
   147   0.468507E+04   0.850026E+00   0.323908E-02  -0.383371E+02
   148   0.471374E+04   0.838208E+00   0.328788E-02  -0.377684E+02
   149   0.474189E+04   0.826327E+00   0.333713E-02  -0.371644E+02
   150   0.476950E+04   0.814416E+00   0.338684E-02  -0.365249E+02
   151   0.479653E+04   0.802511E+00   0.343700E-02  -0.358500E+02
   152   0.482300E+04   0.790648E+00   0.348761E-02  -0.351397E+02
   153   0.484889E+04   0.778871E+00   0.353867E-02  -0.343942E+02
   154   0.487421E+04   0.767224E+00   0.359019E-02  -0.336139E+02
   155   0.489894E+04   0.755737E+00   0.364215E-02  -0.327990E+02
   156   0.492309E+04   0.744462E+00   0.369456E-02  -0.319499E+02
   157   0.494665E+04   0.733427E+00   0.374741E-02  -0.310666E+02
   158   0.496961E+04   0.722692E+00   0.380070E-02  -0.301496E+02
   159   0.499197E+04   0.712286E+00   0.385443E-02  -0.291992E+02
   160   0.501372E+04   0.702261E+00   0.390859E-02  -0.282155E+02
   161   0.503484E+04   0.692660E+00   0.396317E-02  -0.271990E+02
   162   0.505532E+04   0.683529E+00   0.401818E-02  -0.261500E+02
   163   0.507515E+04   0.674925E+00   0.407360E-02  -0.250687E+02
   164   0.509431E+04   0.666879E+00   0.412944E-02  -0.239555E+02
   165   0.511281E+04   0.659442E+00   0.418568E-02  -0.228108E+02
   166   0.513062E+04   0.652665E+00   0.424231E-02  -0.216348E+02
   167   0.514775E+04   0.646600E+00   0.429934E-02  -0.204281E+02
   168   0.516419E+04   0.641298E+00   0.435674E-02  -0.191911E+02
   169   0.517992E+04   0.636811E+00   0.441453E-02  -0.179243E+02
   170   0.519494E+04   0.633184E+00   0.447268E-02  -0.166281E+02
   171   0.520924E+04   0.630475E+00   0.453118E-02  -0.153028E+02
   172   0.522283E+04   0.628735E+00   0.459004E-02  -0.139491E+02
   173   0.523568E+04   0.628017E+00   0.464923E-02  -0.125674E+02
   174   0.524779E+04   0.628372E+00   0.470876E-02  -0.111581E+02
   175   0.525916E+04   0.629865E+00   0.476861E-02  -0.972197E+01
   176   0.526977E+04   0.632542E+00   0.482877E-02  -0.825943E+01
   177   0.527962E+04   0.636468E+00   0.488923E-02  -0.677124E+01
   178   0.528871E+04   0.641693E+00   0.494998E-02  -0.525826E+01
   179   0.529703E+04   0.648270E+00   0.501101E-02  -0.372127E+01
   180   0.530459E+04   0.656263E+00   0.507231E-02  -0.216119E+01
   181   0.531138E+04   0.665730E+00   0.513388E-02  -0.578954E+00
   182   0.531740E+04   0.676731E+00   0.519569E-02   0.102458E+01
   183   0.532265E+04   0.689315E+00   0.525775E-02   0.264848E+01
   184   0.532712E+04   0.703549E+00   0.532003E-02   0.429174E+01
   185   0.533082E+04   0.719499E+00   0.538254E-02   0.595366E+01
   186   0.533374E+04   0.737214E+00   0.544525E-02   0.763309E+01
   187   0.533588E+04   0.756755E+00   0.550816E-02   0.932916E+01
   188   0.533724E+04   0.778190E+00   0.557127E-02   0.110408E+02
   189   0.533781E+04   0.801578E+00   0.563455E-02   0.127671E+02
   190   0.533760E+04   0.826983E+00   0.569801E-02   0.145069E+02
   191   0.533661E+04   0.854465E+00   0.576162E-02   0.162593E+02
   192   0.533482E+04   0.884086E+00   0.582539E-02   0.180232E+02
   193   0.533224E+04   0.915911E+00   0.588930E-02   0.197978E+02
   194   0.532887E+04   0.950001E+00   0.595334E-02   0.215816E+02
   195   0.532471E+04   0.986422E+00   0.601750E-02   0.233738E+02
   196   0.531977E+04   0.102524E+01   0.608179E-02   0.251731E+02
   197   0.531405E+04   0.106651E+01   0.614618E-02   0.269783E+02
   198   0.530755E+04   0.111032E+01   0.621066E-02   0.287885E+02
   199   0.530025E+04   0.115671E+01   0.627524E-02   0.306025E+02
   200   0.529219E+04   0.120575E+01   0.633990E-02   0.324189E+02
   201   0.528335E+04   0.125750E+01   0.640464E-02   0.342369E+02
   202   0.527373E+04   0.131196E+01   0.646944E-02   0.360554E+02
   203   0.526332E+04   0.136914E+01   0.653430E-02   0.378740E+02
   204   0.525214E+04   0.142903E+01   0.659921E-02   0.396916E+02
   205   0.524017E+04   0.149162E+01   0.666417E-02   0.415075E+02
   206   0.522743E+04   0.155692E+01   0.672916E-02   0.433210E+02
   207   0.521392E+04   0.162491E+01   0.679419E-02   0.451313E+02
   208   0.519963E+04   0.169560E+01   0.685923E-02   0.469376E+02
   209   0.518462E+04   0.176899E+01   0.692429E-02   0.487388E+02
   210   0.516887E+04   0.184506E+01   0.698936E-02   0.505342E+02
   211   0.515240E+04   0.192382E+01   0.705443E-02   0.523227E+02
   212   0.513524E+04   0.200526E+01   0.711949E-02   0.541036E+02
   213   0.511741E+04   0.208938E+01   0.718454E-02   0.558758E+02
   214   0.509892E+04   0.217618E+01   0.724957E-02   0.576385E+02
   215   0.507977E+04   0.226565E+01   0.731456E-02   0.593908E+02
   216   0.505997E+04   0.235779E+01   0.737953E-02   0.611316E+02
   217   0.503953E+04   0.245259E+01   0.744444E-02   0.628601E+02
   218   0.501846E+04   0.255004E+01   0.750931E-02   0.645753E+02
   219   0.499676E+04   0.265015E+01   0.757411E-02   0.662763E+02
