#           k/h    P           
   0.420980E-02   0.282744E+04
   0.429484E-02   0.284130E+04
   0.438160E-02   0.285396E+04
   0.447012E-02   0.286562E+04
   0.456042E-02   0.287646E+04
   0.465255E-02   0.288670E+04
   0.474653E-02   0.289628E+04
   0.484242E-02   0.290496E+04
   0.494024E-02   0.291252E+04
   0.504004E-02   0.291872E+04
   0.514186E-02   0.292332E+04
   0.524573E-02   0.292619E+04
   0.535170E-02   0.292728E+04
   0.545981E-02   0.292653E+04
   0.557011E-02   0.292390E+04
   0.568263E-02   0.291934E+04
   0.579743E-02   0.291277E+04
   0.591455E-02   0.290410E+04
   0.603403E-02   0.289327E+04
   0.615592E-02   0.288019E+04
   0.628028E-02   0.286480E+04
   0.640715E-02   0.284712E+04
   0.653658E-02   0.282722E+04
   0.666863E-02   0.280517E+04
   0.680335E-02   0.278105E+04
   0.694078E-02   0.275494E+04
   0.708100E-02   0.272676E+04
   0.722404E-02   0.269642E+04
   0.736998E-02   0.266379E+04
   0.751886E-02   0.262880E+04
   0.767075E-02   0.259136E+04
   0.782571E-02   0.255157E+04
   0.798380E-02   0.250955E+04
   0.814509E-02   0.246546E+04
   0.830963E-02   0.241945E+04
   0.847750E-02   0.237168E+04
   0.864875E-02   0.232223E+04
   0.882347E-02   0.227116E+04
   0.900171E-02   0.221856E+04
   0.918356E-02   0.216451E+04
   0.936908E-02   0.210911E+04
   0.955835E-02   0.205252E+04
   0.975144E-02   0.199493E+04
   0.994843E-02   0.193650E+04
   0.101494E-01   0.187742E+04
   0.103544E-01   0.181788E+04
   0.105636E-01   0.175803E+04
   0.107770E-01   0.169807E+04
   0.109947E-01   0.163815E+04
   0.112168E-01   0.157843E+04
   0.114434E-01   0.151907E+04
   0.116746E-01   0.146021E+04
   0.119104E-01   0.140199E+04
   0.121510E-01   0.134453E+04
   0.123965E-01   0.128795E+04
   0.126469E-01   0.123236E+04
   0.129024E-01   0.117787E+04
   0.131631E-01   0.112458E+04
   0.134290E-01   0.107257E+04
   0.137003E-01   0.102193E+04
   0.139770E-01   0.972716E+03
   0.142594E-01   0.924996E+03
   0.145474E-01   0.878825E+03
   0.148413E-01   0.834247E+03
   0.151411E-01   0.791290E+03
   0.154470E-01   0.749978E+03
   0.157590E-01   0.710341E+03
   0.160774E-01   0.672401E+03
   0.164022E-01   0.636166E+03
   0.167335E-01   0.601633E+03
   0.170716E-01   0.568789E+03
   0.174164E-01   0.537616E+03
   0.177683E-01   0.508091E+03
   0.181272E-01   0.480183E+03
   0.184934E-01   0.453850E+03
   0.188670E-01   0.429045E+03
   0.192481E-01   0.405702E+03
   0.196370E-01   0.383754E+03
   0.200337E-01   0.363131E+03
   0.204384E-01   0.343769E+03
   0.208513E-01   0.325599E+03
   0.212725E-01   0.308548E+03
   0.217022E-01   0.292544E+03
   0.221406E-01   0.277518E+03
   0.225879E-01   0.263409E+03
   0.230442E-01   0.250156E+03
   0.235097E-01   0.237697E+03
   0.239847E-01   0.225975E+03
   0.244692E-01   0.214937E+03
   0.249635E-01   0.204535E+03
   0.254678E-01   0.194723E+03
   0.259823E-01   0.185467E+03
   0.265072E-01   0.176733E+03
   0.270426E-01   0.168490E+03
   0.275889E-01   0.160709E+03
   0.281463E-01   0.153363E+03
   0.287149E-01   0.146427E+03
   0.292949E-01   0.139877E+03
   0.298867E-01   0.133690E+03
   0.304905E-01   0.127847E+03
   0.311064E-01   0.122327E+03
