#           k/h    P           
   0.420980E-02   0.354924E+05
   0.429484E-02   0.356685E+05
   0.438160E-02   0.358366E+05
   0.447012E-02   0.359965E+05
   0.456042E-02   0.361480E+05
   0.465255E-02   0.362909E+05
   0.474653E-02   0.364250E+05
   0.484242E-02   0.365501E+05
   0.494024E-02   0.366661E+05
   0.504004E-02   0.367727E+05
   0.514186E-02   0.368699E+05
   0.524573E-02   0.369572E+05
   0.535170E-02   0.370345E+05
   0.545981E-02   0.371015E+05
   0.557011E-02   0.371579E+05
   0.568263E-02   0.372034E+05
   0.579743E-02   0.372378E+05
   0.591455E-02   0.372608E+05
   0.603403E-02   0.372722E+05
   0.615592E-02   0.372716E+05
   0.628028E-02   0.372588E+05
   0.640715E-02   0.372336E+05
   0.653658E-02   0.371957E+05
   0.666863E-02   0.371449E+05
   0.680335E-02   0.370809E+05
   0.694078E-02   0.370036E+05
   0.708100E-02   0.369127E+05
   0.722404E-02   0.368079E+05
   0.736998E-02   0.366892E+05
   0.751886E-02   0.365562E+05
   0.767075E-02   0.364090E+05
   0.782571E-02   0.362471E+05
   0.798380E-02   0.360704E+05
   0.814509E-02   0.358786E+05
   0.830963E-02   0.356716E+05
   0.847750E-02   0.354491E+05
   0.864875E-02   0.352111E+05
   0.882347E-02   0.349573E+05
   0.900171E-02   0.346877E+05
   0.918356E-02   0.344022E+05
   0.936908E-02   0.341007E+05
   0.955835E-02   0.337831E+05
   0.975144E-02   0.334492E+05
   0.994843E-02   0.330991E+05
   0.101494E-01   0.327326E+05
   0.103544E-01   0.323497E+05
   0.105636E-01   0.319505E+05
   0.107770E-01   0.315349E+05
   0.109947E-01   0.311031E+05
   0.112168E-01   0.306551E+05
   0.114434E-01   0.301912E+05
   0.116746E-01   0.297114E+05
   0.119104E-01   0.292159E+05
   0.121510E-01   0.287049E+05
   0.123965E-01   0.281787E+05
   0.126469E-01   0.276378E+05
   0.129024E-01   0.270823E+05
   0.131631E-01   0.265127E+05
   0.134290E-01   0.259295E+05
   0.137003E-01   0.253332E+05
   0.139770E-01   0.247245E+05
   0.142594E-01   0.241040E+05
   0.145474E-01   0.234722E+05
   0.148413E-01   0.228300E+05
   0.151411E-01   0.221783E+05
   0.154470E-01   0.215178E+05
   0.157590E-01   0.208497E+05
   0.160774E-01   0.201748E+05
   0.164022E-01   0.194942E+05
   0.167335E-01   0.188092E+05
   0.170716E-01   0.181210E+05
   0.174164E-01   0.174308E+05
   0.177683E-01   0.167399E+05
   0.181272E-01   0.160498E+05
   0.184934E-01   0.153618E+05
   0.188670E-01   0.146773E+05
   0.192481E-01   0.139981E+05
   0.196370E-01   0.133255E+05
   0.200337E-01   0.126612E+05
   0.204384E-01   0.120067E+05
   0.208513E-01   0.113635E+05
   0.212725E-01   0.107331E+05
   0.217022E-01   0.101171E+05
   0.221406E-01   0.951669E+04
   0.225879E-01   0.893323E+04
   0.230442E-01   0.836801E+04
   0.235097E-01   0.782273E+04
   0.239847E-01   0.729877E+04
   0.244692E-01   0.679722E+04
   0.249635E-01   0.631883E+04
   0.254678E-01   0.586428E+04
   0.259823E-01   0.543432E+04
   0.265072E-01   0.502934E+04
   0.270426E-01   0.464940E+04
   0.275889E-01   0.429425E+04
   0.281463E-01   0.396375E+04
   0.287149E-01   0.365815E+04
   0.292949E-01   0.337732E+04
   0.298867E-01   0.312073E+04
   0.304905E-01   0.288755E+04
   0.311064E-01   0.267708E+04
   0.317348E-01   0.248894E+04
   0.323759E-01   0.232253E+04
   0.330299E-01   0.217706E+04
   0.336972E-01   0.205171E+04
   0.343779E-01   0.194550E+04
   0.350724E-01   0.185729E+04
   0.357809E-01   0.178617E+04
   0.365038E-01   0.173148E+04
   0.372412E-01   0.169284E+04
   0.379935E-01   0.166925E+04
   0.387610E-01   0.165929E+04
   0.395440E-01   0.166187E+04
   0.403429E-01   0.167616E+04
   0.411579E-01   0.170154E+04
   0.419893E-01   0.173737E+04
   0.428375E-01   0.178313E+04
   0.437029E-01   0.183833E+04
   0.445858E-01   0.190206E+04
   0.454865E-01   0.197216E+04
   0.464053E-01   0.204599E+04
   0.473428E-01   0.212046E+04
   0.482992E-01   0.219245E+04
   0.492749E-01   0.225892E+04
   0.502703E-01   0.231655E+04
   0.512858E-01   0.236207E+04
   0.523219E-01   0.239291E+04
   0.533789E-01   0.240689E+04
   0.544572E-01   0.240207E+04
   0.555573E-01   0.237698E+04
   0.566796E-01   0.233070E+04
   0.578246E-01   0.226293E+04
   0.589927E-01   0.217405E+04
   0.601845E-01   0.206514E+04
   0.614003E-01   0.193824E+04
   0.626407E-01   0.179652E+04
   0.639061E-01   0.164382E+04
   0.651971E-01   0.148489E+04
   0.665142E-01   0.132564E+04
   0.678578E-01   0.117097E+04
   0.692287E-01   0.102404E+04
   0.706272E-01   0.886769E+03
   0.720539E-01   0.761955E+03
   0.735095E-01   0.653839E+03
   0.749945E-01   0.564274E+03
   0.765095E-01   0.492967E+03
   0.780551E-01   0.438452E+03
   0.796319E-01   0.399210E+03
   0.812406E-01   0.373699E+03
   0.828817E-01   0.360860E+03
   0.845561E-01   0.360139E+03
   0.862642E-01   0.370172E+03
   0.880068E-01   0.389976E+03
   0.897847E-01   0.418386E+03
   0.915985E-01   0.453568E+03
   0.934489E-01   0.493108E+03
   0.953367E-01   0.533817E+03
   0.972626E-01   0.571547E+03
   0.992274E-01   0.601788E+03
   0.101232E+00   0.619927E+03
   0.103277E+00   0.622748E+03
   0.105363E+00   0.608620E+03
   0.107492E+00   0.578424E+03
   0.109663E+00   0.534807E+03
   0.111879E+00   0.481463E+03
   0.114139E+00   0.422612E+03
   0.116445E+00   0.362833E+03
   0.118797E+00   0.306397E+03
   0.121197E+00   0.257265E+03
   0.123645E+00   0.217766E+03
   0.126143E+00   0.188914E+03
   0.128691E+00   0.170294E+03
   0.131291E+00   0.161075E+03
   0.133943E+00   0.160077E+03
   0.136649E+00   0.166192E+03
   0.139409E+00   0.177983E+03
   0.142226E+00   0.193308E+03
   0.145099E+00   0.209236E+03
   0.148030E+00   0.222300E+03
   0.151020E+00   0.229456E+03
   0.154071E+00   0.228536E+03
   0.157184E+00   0.218779E+03
   0.160359E+00   0.201198E+03
   0.163598E+00   0.178666E+03
   0.166903E+00   0.154816E+03
   0.170275E+00   0.132847E+03
   0.173715E+00   0.114898E+03
   0.177224E+00   0.102093E+03
   0.180804E+00   0.947628E+02
   0.184457E+00   0.925647E+02
   0.188183E+00   0.944530E+02
   0.191985E+00   0.987420E+02
   0.195863E+00   0.103435E+03
   0.199820E+00   0.106530E+03
   0.203856E+00   0.106343E+03
   0.207974E+00   0.102123E+03
   0.212176E+00   0.944056E+02
   0.216462E+00   0.848312E+02
   0.220835E+00   0.753431E+02
   0.225296E+00   0.674282E+02
   0.229847E+00   0.619493E+02
   0.234490E+00   0.590925E+02
   0.239227E+00   0.584058E+02
   0.244060E+00   0.589107E+02
   0.248990E+00   0.593898E+02
   0.254020E+00   0.587728E+02
   0.259152E+00   0.565326E+02
   0.264387E+00   0.528852E+02
   0.269728E+00   0.485395E+02
   0.275177E+00   0.444417E+02
   0.280736E+00   0.412903E+02
   0.286407E+00   0.392891E+02
   0.292193E+00   0.382519E+02
   0.298096E+00   0.376369E+02
   0.304118E+00   0.368088E+02
   0.310261E+00   0.354183E+02
   0.316529E+00   0.334577E+02
   0.322923E+00   0.312408E+02
   0.329447E+00   0.291990E+02
   0.336102E+00   0.276142E+02
   0.342892E+00   0.264925E+02
   0.349819E+00   0.256263E+02
   0.356885E+00   0.247333E+02
   0.364095E+00   0.236454E+02
   0.371450E+00   0.223868E+02
   0.378954E+00   0.211102E+02
   0.386609E+00   0.199891E+02
   0.394419E+00   0.190771E+02
   0.402387E+00   0.183012E+02
   0.410516E+00   0.175084E+02
   0.418809E+00   0.166612E+02
   0.427269E+00   0.158220E+02
   0.435901E+00   0.150445E+02
   0.444706E+00   0.143352E+02
   0.453690E+00   0.136687E+02
   0.462855E+00   0.130235E+02
   0.472206E+00   0.123968E+02
   0.481745E+00   0.117967E+02
   0.491477E+00   0.112295E+02
   0.501405E+00   0.106940E+02
   0.511534E+00   0.101857E+02
   0.521868E+00   0.970059E+01
   0.532411E+00   0.923695E+01
   0.543166E+00   0.879401E+01
   0.554139E+00   0.837102E+01
   0.565333E+00   0.796725E+01
   0.576753E+00   0.758199E+01
   0.588404E+00   0.721452E+01
   0.600291E+00   0.686415E+01
   0.612418E+00   0.653020E+01
   0.624789E+00   0.621201E+01
   0.637411E+00   0.590895E+01
   0.650288E+00   0.562037E+01
   0.663424E+00   0.534566E+01
   0.676826E+00   0.508425E+01
   0.690499E+00   0.483554E+01
   0.704448E+00   0.459894E+01
   0.718679E+00   0.437384E+01
   0.733197E+00   0.415968E+01
   0.748009E+00   0.395592E+01
   0.763119E+00   0.376204E+01
   0.778536E+00   0.357755E+01
   0.794263E+00   0.340201E+01
   0.810308E+00   0.323496E+01
   0.826677E+00   0.307599E+01
   0.843378E+00   0.292472E+01
   0.860415E+00   0.278075E+01
   0.877797E+00   0.264374E+01
   0.895529E+00   0.251336E+01
   0.913620E+00   0.238927E+01
   0.932076E+00   0.227118E+01
   0.950906E+00   0.215881E+01
   0.970115E+00   0.205190E+01
   0.989713E+00   0.195017E+01
   0.100971E+01   0.185340E+01
   0.103010E+01   0.176135E+01
   0.105091E+01   0.167379E+01
   0.107214E+01   0.159051E+01
   0.109380E+01   0.151131E+01
   0.111590E+01   0.143599E+01
   0.113844E+01   0.136437E+01
   0.116144E+01   0.129627E+01
   0.118490E+01   0.123152E+01
   0.120884E+01   0.116997E+01
   0.123326E+01   0.111145E+01
   0.125817E+01   0.105582E+01
   0.128359E+01   0.100294E+01
   0.130952E+01   0.952667E+00
   0.133597E+01   0.904880E+00
   0.136296E+01   0.859457E+00
   0.139049E+01   0.816280E+00
   0.141858E+01   0.775241E+00
   0.144724E+01   0.736234E+00
   0.147648E+01   0.699160E+00
   0.150630E+01   0.663923E+00
   0.153673E+01   0.630434E+00
   0.156778E+01   0.598608E+00
   0.159945E+01   0.568362E+00
   0.163176E+01   0.539620E+00
   0.166472E+01   0.512311E+00
   0.169835E+01   0.486364E+00
   0.173266E+01   0.461716E+00
   0.176766E+01   0.438303E+00
   0.180337E+01   0.416065E+00
   0.183980E+01   0.394946E+00
   0.187697E+01   0.374890E+00
   0.191489E+01   0.355847E+00
   0.195357E+01   0.337765E+00
   0.199304E+01   0.320599E+00
   0.203330E+01   0.304302E+00
   0.207437E+01   0.288832E+00
