#           k/h    P           
   0.420980E-02   0.913985E+04
   0.429484E-02   0.927190E+04
   0.438160E-02   0.940500E+04
   0.447012E-02   0.953913E+04
   0.456042E-02   0.967425E+04
   0.465255E-02   0.981032E+04
   0.474653E-02   0.994731E+04
   0.484242E-02   0.100852E+05
   0.494024E-02   0.102239E+05
   0.504004E-02   0.103634E+05
   0.514186E-02   0.105036E+05
   0.524573E-02   0.106445E+05
   0.535170E-02   0.107861E+05
   0.545981E-02   0.109282E+05
   0.557011E-02   0.110709E+05
   0.568263E-02   0.112140E+05
   0.579743E-02   0.113576E+05
   0.591455E-02   0.115016E+05
   0.603403E-02   0.116458E+05
   0.615592E-02   0.117903E+05
   0.628028E-02   0.119350E+05
   0.640715E-02   0.120797E+05
   0.653658E-02   0.122244E+05
   0.666863E-02   0.123689E+05
   0.680335E-02   0.125133E+05
   0.694078E-02   0.126573E+05
   0.708100E-02   0.128009E+05
   0.722404E-02   0.129441E+05
   0.736998E-02   0.130867E+05
   0.751886E-02   0.132286E+05
   0.767075E-02   0.133698E+05
   0.782571E-02   0.135101E+05
   0.798380E-02   0.136495E+05
   0.814509E-02   0.137878E+05
   0.830963E-02   0.139249E+05
   0.847750E-02   0.140608E+05
   0.864875E-02   0.141952E+05
   0.882347E-02   0.143281E+05
   0.900171E-02   0.144593E+05
   0.918356E-02   0.145887E+05
   0.936908E-02   0.147161E+05
   0.955835E-02   0.148415E+05
   0.975144E-02   0.149646E+05
   0.994843E-02   0.150853E+05
   0.101494E-01   0.152035E+05
   0.103544E-01   0.153190E+05
   0.105636E-01   0.154316E+05
   0.107770E-01   0.155413E+05
   0.109947E-01   0.156478E+05
   0.112168E-01   0.157509E+05
   0.114434E-01   0.158506E+05
   0.116746E-01   0.159466E+05
   0.119104E-01   0.160388E+05
   0.121510E-01   0.161270E+05
   0.123965E-01   0.162109E+05
   0.126469E-01   0.162905E+05
   0.129024E-01   0.163656E+05
   0.131631E-01   0.164360E+05
   0.134290E-01   0.165014E+05
   0.137003E-01   0.165617E+05
   0.139770E-01   0.166168E+05
   0.142594E-01   0.166663E+05
   0.145474E-01   0.167103E+05
   0.148413E-01   0.167484E+05
   0.151411E-01   0.167805E+05
   0.154470E-01   0.168064E+05
   0.157590E-01   0.168260E+05
   0.160774E-01   0.168390E+05
   0.164022E-01   0.168454E+05
   0.167335E-01   0.168449E+05
   0.170716E-01   0.168374E+05
   0.174164E-01   0.168228E+05
   0.177683E-01   0.168008E+05
   0.181272E-01   0.167715E+05
   0.184934E-01   0.167346E+05
   0.188670E-01   0.166900E+05
   0.192481E-01   0.166378E+05
   0.196370E-01   0.165777E+05
   0.200337E-01   0.165097E+05
   0.204384E-01   0.164337E+05
   0.208513E-01   0.163498E+05
   0.212725E-01   0.162580E+05
   0.217022E-01   0.161581E+05
   0.221406E-01   0.160502E+05
   0.225879E-01   0.159345E+05
   0.230442E-01   0.158109E+05
   0.235097E-01   0.156796E+05
   0.239847E-01   0.155406E+05
   0.244692E-01   0.153942E+05
   0.249635E-01   0.152405E+05
   0.254678E-01   0.150797E+05
   0.259823E-01   0.149121E+05
   0.265072E-01   0.147379E+05
   0.270426E-01   0.145574E+05
   0.275889E-01   0.143709E+05
   0.281463E-01   0.141788E+05
   0.287149E-01   0.139816E+05
   0.292949E-01   0.137795E+05
   0.298867E-01   0.135730E+05
   0.304905E-01   0.133627E+05
   0.311064E-01   0.131490E+05
   0.317348E-01   0.129325E+05
   0.323759E-01   0.127137E+05
   0.330299E-01   0.124930E+05
   0.336972E-01   0.122712E+05
   0.343779E-01   0.120488E+05
   0.350724E-01   0.118264E+05
   0.357809E-01   0.116046E+05
   0.365038E-01   0.113838E+05
   0.372412E-01   0.111649E+05
   0.379935E-01   0.109486E+05
   0.387610E-01   0.107353E+05
   0.395440E-01   0.105258E+05
   0.403429E-01   0.103204E+05
   0.411579E-01   0.101196E+05
   0.419893E-01   0.992343E+04
   0.428375E-01   0.973231E+04
   0.437029E-01   0.954645E+04
   0.445858E-01   0.936628E+04
   0.454865E-01   0.919246E+04
   0.464053E-01   0.902561E+04
   0.473428E-01   0.886628E+04
   0.482992E-01   0.871494E+04
   0.492749E-01   0.857130E+04
   0.502703E-01   0.843467E+04
   0.512858E-01   0.830442E+04
   0.523219E-01   0.817992E+04
   0.533789E-01   0.806059E+04
   0.544572E-01   0.794586E+04
   0.555573E-01   0.783519E+04
   0.566796E-01   0.772806E+04
   0.578246E-01   0.762389E+04
   0.589927E-01   0.752195E+04
   0.601845E-01   0.742153E+04
   0.614003E-01   0.732194E+04
   0.626407E-01   0.722231E+04
   0.639061E-01   0.712163E+04
   0.651971E-01   0.701896E+04
   0.665142E-01   0.691328E+04
   0.678578E-01   0.680333E+04
   0.692287E-01   0.668791E+04
   0.706272E-01   0.656596E+04
   0.720539E-01   0.643673E+04
   0.735095E-01   0.629962E+04
   0.749945E-01   0.615427E+04
   0.765095E-01   0.600112E+04
   0.780551E-01   0.584081E+04
   0.796319E-01   0.567418E+04
   0.812406E-01   0.550241E+04
   0.828817E-01   0.532674E+04
   0.845561E-01   0.514863E+04
   0.862642E-01   0.496980E+04
   0.880068E-01   0.479187E+04
   0.897847E-01   0.461648E+04
   0.915985E-01   0.444512E+04
   0.934489E-01   0.427931E+04
   0.953367E-01   0.412065E+04
   0.972626E-01   0.397050E+04
   0.992274E-01   0.383008E+04
   0.101232E+00   0.370050E+04
   0.103277E+00   0.358266E+04
   0.105363E+00   0.347675E+04
   0.107492E+00   0.338269E+04
   0.109663E+00   0.330000E+04
   0.111879E+00   0.322726E+04
   0.114139E+00   0.316301E+04
   0.116445E+00   0.310517E+04
   0.118797E+00   0.305144E+04
   0.121197E+00   0.299949E+04
   0.123645E+00   0.294692E+04
   0.126143E+00   0.289154E+04
   0.128691E+00   0.283149E+04
   0.131291E+00   0.276528E+04
   0.133943E+00   0.269211E+04
   0.136649E+00   0.261169E+04
   0.139409E+00   0.252455E+04
   0.142226E+00   0.243162E+04
   0.145099E+00   0.233453E+04
   0.148030E+00   0.223515E+04
   0.151020E+00   0.213583E+04
   0.154071E+00   0.203904E+04
   0.157184E+00   0.194742E+04
   0.160359E+00   0.186324E+04
   0.163598E+00   0.178832E+04
   0.166903E+00   0.172333E+04
   0.170275E+00   0.166806E+04
   0.173715E+00   0.162124E+04
   0.177224E+00   0.158107E+04
   0.180804E+00   0.154545E+04
   0.184457E+00   0.151211E+04
   0.188183E+00   0.147873E+04
   0.191985E+00   0.144301E+04
   0.195863E+00   0.140300E+04
   0.199820E+00   0.135773E+04
   0.203856E+00   0.130738E+04
   0.207974E+00   0.125327E+04
   0.212176E+00   0.119742E+04
   0.216462E+00   0.114209E+04
   0.220835E+00   0.108943E+04
   0.225296E+00   0.104129E+04
   0.229847E+00   0.998875E+03
   0.234490E+00   0.962516E+03
   0.239227E+00   0.931587E+03
   0.244060E+00   0.904732E+03
   0.248990E+00   0.880111E+03
   0.254020E+00   0.855683E+03
   0.259152E+00   0.829631E+03
   0.264387E+00   0.800948E+03
   0.269728E+00   0.769751E+03
   0.275177E+00   0.737037E+03
   0.280736E+00   0.704171E+03
   0.286407E+00   0.672586E+03
   0.292193E+00   0.643592E+03
   0.298096E+00   0.617988E+03
   0.304118E+00   0.595672E+03
   0.310261E+00   0.575719E+03
   0.316529E+00   0.556894E+03
   0.322923E+00   0.538074E+03
   0.329447E+00   0.518471E+03
   0.336102E+00   0.497859E+03
   0.342892E+00   0.476720E+03
   0.349819E+00   0.455998E+03
   0.356885E+00   0.436549E+03
   0.364095E+00   0.418791E+03
   0.371450E+00   0.402702E+03
   0.378954E+00   0.387866E+03
   0.386609E+00   0.373595E+03
   0.394419E+00   0.359289E+03
   0.402387E+00   0.344776E+03
   0.410516E+00   0.330295E+03
   0.418809E+00   0.316252E+03
   0.427269E+00   0.303016E+03
   0.435901E+00   0.290754E+03
   0.444706E+00   0.279282E+03
   0.453690E+00   0.268272E+03
   0.462855E+00   0.257488E+03
   0.472206E+00   0.246816E+03
   0.481745E+00   0.236392E+03
   0.491477E+00   0.226432E+03
   0.501405E+00   0.217011E+03
   0.511534E+00   0.208105E+03
   0.521868E+00   0.199572E+03
   0.532411E+00   0.191277E+03
   0.543166E+00   0.183215E+03
   0.554139E+00   0.175433E+03
   0.565333E+00   0.168008E+03
   0.576753E+00   0.160938E+03
   0.588404E+00   0.154166E+03
   0.600291E+00   0.147642E+03
   0.612418E+00   0.141337E+03
   0.624789E+00   0.135288E+03
   0.637411E+00   0.129498E+03
   0.650288E+00   0.123953E+03
   0.663424E+00   0.118636E+03
   0.676826E+00   0.113534E+03
   0.690499E+00   0.108638E+03
   0.704448E+00   0.103941E+03
   0.718679E+00   0.994349E+02
   0.733197E+00   0.951132E+02
   0.748009E+00   0.909692E+02
   0.763119E+00   0.869961E+02
   0.778536E+00   0.831875E+02
   0.794263E+00   0.795374E+02
   0.810308E+00   0.760397E+02
   0.826677E+00   0.726887E+02
   0.843378E+00   0.694785E+02
   0.860415E+00   0.664040E+02
   0.877797E+00   0.634597E+02
   0.895529E+00   0.606406E+02
   0.913620E+00   0.579417E+02
   0.932076E+00   0.553581E+02
   0.950906E+00   0.528853E+02
   0.970115E+00   0.505186E+02
   0.989713E+00   0.482538E+02
   0.100971E+01   0.460866E+02
   0.103010E+01   0.440132E+02
   0.105091E+01   0.420296E+02
   0.107214E+01   0.401321E+02
   0.109380E+01   0.383173E+02
   0.111590E+01   0.365815E+02
   0.113844E+01   0.349217E+02
   0.116144E+01   0.333345E+02
   0.118490E+01   0.318170E+02
   0.120884E+01   0.303662E+02
   0.123326E+01   0.289793E+02
   0.125817E+01   0.276536E+02
   0.128359E+01   0.263864E+02
   0.130952E+01   0.251753E+02
   0.133597E+01   0.240179E+02
   0.136296E+01   0.229118E+02
   0.139049E+01   0.218548E+02
   0.141858E+01   0.208449E+02
   0.144724E+01   0.198800E+02
   0.147648E+01   0.189581E+02
   0.150630E+01   0.180775E+02
