#           k/h    P           
   0.420980E-02   0.149999E+05
   0.429484E-02   0.152343E+05
   0.438160E-02   0.154708E+05
   0.447012E-02   0.157094E+05
   0.456042E-02   0.159500E+05
   0.465255E-02   0.161926E+05
   0.474653E-02   0.164372E+05
   0.484242E-02   0.166837E+05
   0.494024E-02   0.169320E+05
   0.504004E-02   0.171820E+05
   0.514186E-02   0.174338E+05
   0.524573E-02   0.176871E+05
   0.535170E-02   0.179420E+05
   0.545981E-02   0.181983E+05
   0.557011E-02   0.184561E+05
   0.568263E-02   0.187152E+05
   0.579743E-02   0.189755E+05
   0.591455E-02   0.192370E+05
   0.603403E-02   0.194995E+05
   0.615592E-02   0.197629E+05
   0.628028E-02   0.200270E+05
   0.640715E-02   0.202916E+05
   0.653658E-02   0.205567E+05
   0.666863E-02   0.208222E+05
   0.680335E-02   0.210880E+05
   0.694078E-02   0.213539E+05
   0.708100E-02   0.216198E+05
   0.722404E-02   0.218855E+05
   0.736998E-02   0.221509E+05
   0.751886E-02   0.224158E+05
   0.767075E-02   0.226800E+05
   0.782571E-02   0.229433E+05
   0.798380E-02   0.232055E+05
   0.814509E-02   0.234666E+05
   0.830963E-02   0.237263E+05
   0.847750E-02   0.239844E+05
   0.864875E-02   0.242408E+05
   0.882347E-02   0.244953E+05
   0.900171E-02   0.247476E+05
   0.918356E-02   0.249976E+05
   0.936908E-02   0.252449E+05
   0.955835E-02   0.254893E+05
   0.975144E-02   0.257307E+05
   0.994843E-02   0.259687E+05
   0.101494E-01   0.262031E+05
   0.103544E-01   0.264336E+05
   0.105636E-01   0.266600E+05
   0.107770E-01   0.268820E+05
   0.109947E-01   0.270993E+05
   0.112168E-01   0.273116E+05
   0.114434E-01   0.275186E+05
   0.116746E-01   0.277201E+05
   0.119104E-01   0.279158E+05
   0.121510E-01   0.281053E+05
   0.123965E-01   0.282883E+05
   0.126469E-01   0.284646E+05
   0.129024E-01   0.286338E+05
   0.131631E-01   0.287956E+05
   0.134290E-01   0.289497E+05
   0.137003E-01   0.290957E+05
   0.139770E-01   0.292333E+05
   0.142594E-01   0.293621E+05
   0.145474E-01   0.294820E+05
   0.148413E-01   0.295924E+05
   0.151411E-01   0.296931E+05
   0.154470E-01   0.297838E+05
   0.157590E-01   0.298641E+05
   0.160774E-01   0.299337E+05
   0.164022E-01   0.299923E+05
   0.167335E-01   0.300395E+05
   0.170716E-01   0.300752E+05
   0.174164E-01   0.300989E+05
   0.177683E-01   0.301104E+05
   0.181272E-01   0.301095E+05
   0.184934E-01   0.300958E+05
   0.188670E-01   0.300691E+05
   0.192481E-01   0.300292E+05
   0.196370E-01   0.299760E+05
   0.200337E-01   0.299091E+05
   0.204384E-01   0.298285E+05
   0.208513E-01   0.297340E+05
   0.212725E-01   0.296255E+05
   0.217022E-01   0.295029E+05
   0.221406E-01   0.293663E+05
   0.225879E-01   0.292155E+05
   0.230442E-01   0.290506E+05
   0.235097E-01   0.288716E+05
   0.239847E-01   0.286788E+05
   0.244692E-01   0.284722E+05
   0.249635E-01   0.282521E+05
   0.254678E-01   0.280185E+05
   0.259823E-01   0.277720E+05
   0.265072E-01   0.275127E+05
   0.270426E-01   0.272412E+05
   0.275889E-01   0.269579E+05
   0.281463E-01   0.266632E+05
   0.287149E-01   0.263576E+05
   0.292949E-01   0.260419E+05
   0.298867E-01   0.257168E+05
   0.304905E-01   0.253828E+05
   0.311064E-01   0.250406E+05
   0.317348E-01   0.246913E+05
   0.323759E-01   0.243356E+05
   0.330299E-01   0.239745E+05
   0.336972E-01   0.236088E+05
   0.343779E-01   0.232394E+05
   0.350724E-01   0.228675E+05
   0.357809E-01   0.224940E+05
   0.365038E-01   0.221199E+05
   0.372412E-01   0.217462E+05
   0.379935E-01   0.213738E+05
   0.387610E-01   0.210040E+05
   0.395440E-01   0.206379E+05
   0.403429E-01   0.202766E+05
   0.411579E-01   0.199210E+05
   0.419893E-01   0.195720E+05
   0.428375E-01   0.192301E+05
   0.437029E-01   0.188959E+05
   0.445858E-01   0.185698E+05
   0.454865E-01   0.182521E+05
   0.464053E-01   0.179434E+05
   0.473428E-01   0.176448E+05
   0.482992E-01   0.173571E+05
   0.492749E-01   0.170812E+05
   0.502703E-01   0.168179E+05
   0.512858E-01   0.165670E+05
   0.523219E-01   0.163271E+05
   0.533789E-01   0.160968E+05
   0.544572E-01   0.158750E+05
   0.555573E-01   0.156603E+05
   0.566796E-01   0.154518E+05
   0.578246E-01   0.152485E+05
   0.589927E-01   0.150492E+05
   0.601845E-01   0.148532E+05
   0.614003E-01   0.146591E+05
   0.626407E-01   0.144657E+05
   0.639061E-01   0.142721E+05
   0.651971E-01   0.140766E+05
   0.665142E-01   0.138774E+05
   0.678578E-01   0.136729E+05
   0.692287E-01   0.134612E+05
   0.706272E-01   0.132402E+05
   0.720539E-01   0.130080E+05
   0.735095E-01   0.127627E+05
   0.749945E-01   0.125037E+05
   0.765095E-01   0.122306E+05
   0.780551E-01   0.119437E+05
   0.796319E-01   0.116439E+05
   0.812406E-01   0.113326E+05
   0.828817E-01   0.110116E+05
   0.845561E-01   0.106833E+05
   0.862642E-01   0.103506E+05
   0.880068E-01   0.100163E+05
   0.897847E-01   0.968347E+04
   0.915985E-01   0.935503E+04
   0.934489E-01   0.903374E+04
   0.953367E-01   0.872219E+04
   0.972626E-01   0.842281E+04
   0.992274E-01   0.813812E+04
   0.101232E+00   0.787035E+04
   0.103277E+00   0.762128E+04
   0.105363E+00   0.739224E+04
   0.107492E+00   0.718430E+04
   0.109663E+00   0.699728E+04
   0.111879E+00   0.682999E+04
   0.114139E+00   0.668095E+04
   0.116445E+00   0.654697E+04
   0.118797E+00   0.642456E+04
   0.121197E+00   0.630979E+04
   0.123645E+00   0.619822E+04
   0.126143E+00   0.608568E+04
   0.128691E+00   0.596826E+04
   0.131291E+00   0.584251E+04
   0.133943E+00   0.570607E+04
   0.136649E+00   0.555727E+04
   0.139409E+00   0.539599E+04
   0.142226E+00   0.522300E+04
   0.145099E+00   0.504035E+04
   0.148030E+00   0.485080E+04
   0.151020E+00   0.465785E+04
   0.154071E+00   0.446528E+04
   0.157184E+00   0.427742E+04
   0.160359E+00   0.409847E+04
   0.163598E+00   0.393260E+04
   0.166903E+00   0.378297E+04
   0.170275E+00   0.365133E+04
   0.173715E+00   0.353737E+04
   0.177224E+00   0.343906E+04
   0.180804E+00   0.335286E+04
   0.184457E+00   0.327477E+04
   0.188183E+00   0.320068E+04
   0.191985E+00   0.312661E+04
