#           k/h    P           
   0.420980E-02   0.150018E+05
   0.429484E-02   0.152138E+05
   0.438160E-02   0.154270E+05
   0.447012E-02   0.156414E+05
   0.456042E-02   0.158569E+05
   0.465255E-02   0.160735E+05
   0.474653E-02   0.162910E+05
   0.484242E-02   0.165094E+05
   0.494024E-02   0.167287E+05
   0.504004E-02   0.169487E+05
   0.514186E-02   0.171695E+05
   0.524573E-02   0.173908E+05
   0.535170E-02   0.176127E+05
   0.545981E-02   0.178349E+05
   0.557011E-02   0.180573E+05
   0.568263E-02   0.182799E+05
   0.579743E-02   0.185024E+05
   0.591455E-02   0.187247E+05
   0.603403E-02   0.189468E+05
   0.615592E-02   0.191686E+05
   0.628028E-02   0.193899E+05
   0.640715E-02   0.196106E+05
   0.653658E-02   0.198306E+05
   0.666863E-02   0.200497E+05
   0.680335E-02   0.202677E+05
   0.694078E-02   0.204845E+05
   0.708100E-02   0.206999E+05
   0.722404E-02   0.209137E+05
   0.736998E-02   0.211258E+05
   0.751886E-02   0.213361E+05
   0.767075E-02   0.215443E+05
   0.782571E-02   0.217504E+05
   0.798380E-02   0.219541E+05
   0.814509E-02   0.221553E+05
   0.830963E-02   0.223537E+05
   0.847750E-02   0.225491E+05
   0.864875E-02   0.227413E+05
   0.882347E-02   0.229302E+05
   0.900171E-02   0.231154E+05
   0.918356E-02   0.232967E+05
   0.936908E-02   0.234740E+05
   0.955835E-02   0.236469E+05
   0.975144E-02   0.238153E+05
   0.994843E-02   0.239788E+05
   0.101494E-01   0.241373E+05
   0.103544E-01   0.242906E+05
   0.105636E-01   0.244382E+05
   0.107770E-01   0.245801E+05
   0.109947E-01   0.247158E+05
   0.112168E-01   0.248453E+05
   0.114434E-01   0.249682E+05
   0.116746E-01   0.250842E+05
   0.119104E-01   0.251930E+05
   0.121510E-01   0.252944E+05
   0.123965E-01   0.253882E+05
   0.126469E-01   0.254739E+05
   0.129024E-01   0.255514E+05
   0.131631E-01   0.256204E+05
   0.134290E-01   0.256806E+05
   0.137003E-01   0.257316E+05
   0.139770E-01   0.257733E+05
   0.142594E-01   0.258055E+05
   0.145474E-01   0.258277E+05
   0.148413E-01   0.258397E+05
   0.151411E-01   0.258414E+05
   0.154470E-01   0.258325E+05
   0.157590E-01   0.258126E+05
   0.160774E-01   0.257817E+05
   0.164022E-01   0.257395E+05
   0.167335E-01   0.256857E+05
   0.170716E-01   0.256203E+05
   0.174164E-01   0.255431E+05
   0.177683E-01   0.254538E+05
   0.181272E-01   0.253524E+05
   0.184934E-01   0.252388E+05
   0.188670E-01   0.251129E+05
   0.192481E-01   0.249746E+05
   0.196370E-01   0.248240E+05
   0.200337E-01   0.246609E+05
   0.204384E-01   0.244855E+05
   0.208513E-01   0.242978E+05
   0.212725E-01   0.240980E+05
   0.217022E-01   0.238861E+05
   0.221406E-01   0.236623E+05
   0.225879E-01   0.234269E+05
   0.230442E-01   0.231802E+05
   0.235097E-01   0.229223E+05
   0.239847E-01   0.226538E+05
   0.244692E-01   0.223750E+05
   0.249635E-01   0.220864E+05
   0.254678E-01   0.217883E+05
   0.259823E-01   0.214814E+05
   0.265072E-01   0.211663E+05
   0.270426E-01   0.208437E+05
   0.275889E-01   0.205141E+05
   0.281463E-01   0.201783E+05
   0.287149E-01   0.198370E+05
   0.292949E-01   0.194911E+05
   0.298867E-01   0.191415E+05
   0.304905E-01   0.187890E+05
   0.311064E-01   0.184344E+05
   0.317348E-01   0.180787E+05
   0.323759E-01   0.177228E+05
   0.330299E-01   0.173677E+05
   0.336972E-01   0.170142E+05
   0.343779E-01   0.166633E+05
   0.350724E-01   0.163160E+05
   0.357809E-01   0.159733E+05
   0.365038E-01   0.156364E+05
   0.372412E-01   0.153060E+05
   0.379935E-01   0.149829E+05
   0.387610E-01   0.146677E+05
   0.395440E-01   0.143609E+05
   0.403429E-01   0.140627E+05
   0.411579E-01   0.137737E+05
   0.419893E-01   0.134942E+05
   0.428375E-01   0.132252E+05
   0.437029E-01   0.129676E+05
   0.445858E-01   0.127223E+05
   0.454865E-01   0.124901E+05
   0.464053E-01   0.122708E+05
   0.473428E-01   0.120633E+05
   0.482992E-01   0.118667E+05
   0.492749E-01   0.116799E+05
   0.502703E-01   0.115019E+05
   0.512858E-01   0.113319E+05
   0.523219E-01   0.111690E+05
   0.533789E-01   0.110122E+05
   0.544572E-01   0.108609E+05
   0.555573E-01   0.107140E+05
   0.566796E-01   0.105705E+05
   0.578246E-01   0.104294E+05
   0.589927E-01   0.102895E+05
   0.601845E-01   0.101486E+05
   0.614003E-01   0.100048E+05
   0.626407E-01   0.985619E+04
   0.639061E-01   0.970101E+04
   0.651971E-01   0.953759E+04
   0.665142E-01   0.936443E+04
   0.678578E-01   0.918030E+04
   0.692287E-01   0.898426E+04
   0.706272E-01   0.877561E+04
   0.720539E-01   0.855467E+04
   0.735095E-01   0.832249E+04
   0.749945E-01   0.808024E+04
   0.765095E-01   0.782962E+04
   0.780551E-01   0.757253E+04
   0.796319E-01   0.731098E+04
   0.812406E-01   0.704736E+04
   0.828817E-01   0.678400E+04
   0.845561E-01   0.652332E+04
   0.862642E-01   0.626780E+04
   0.880068E-01   0.601979E+04
   0.897847E-01   0.578195E+04
   0.915985E-01   0.555666E+04
   0.934489E-01   0.534595E+04
   0.953367E-01   0.515174E+04
   0.972626E-01   0.497563E+04
   0.992274E-01   0.481826E+04
   0.101232E+00   0.467942E+04
   0.103277E+00   0.455862E+04
   0.105363E+00   0.445388E+04
   0.107492E+00   0.436283E+04
   0.109663E+00   0.428264E+04
   0.111879E+00   0.420979E+04
   0.114139E+00   0.414085E+04
   0.116445E+00   0.407226E+04
   0.118797E+00   0.400061E+04
   0.121197E+00   0.392295E+04
   0.123645E+00   0.383671E+04
   0.126143E+00   0.374022E+04
   0.128691E+00   0.363257E+04
   0.131291E+00   0.351389E+04
   0.133943E+00   0.338523E+04
   0.136649E+00   0.324864E+04
   0.139409E+00   0.310685E+04
   0.142226E+00   0.296345E+04
   0.145099E+00   0.282235E+04
   0.148030E+00   0.268780E+04
   0.151020E+00   0.256359E+04
   0.154071E+00   0.245261E+04
   0.157184E+00   0.235634E+04
   0.160359E+00   0.227477E+04
   0.163598E+00   0.220651E+04
   0.166903E+00   0.214934E+04
   0.170275E+00   0.210048E+04
   0.173715E+00   0.205669E+04
   0.177224E+00   0.201437E+04
   0.180804E+00   0.196958E+04
   0.184457E+00   0.191894E+04
   0.188183E+00   0.186028E+04
   0.191985E+00   0.179340E+04
   0.195863E+00   0.171992E+04
   0.199820E+00   0.164251E+04
   0.203856E+00   0.156429E+04
   0.207974E+00   0.148852E+04
   0.212176E+00   0.141831E+04
   0.216462E+00   0.135606E+04
   0.220835E+00   0.130293E+04
   0.225296E+00   0.125854E+04
   0.229847E+00   0.122117E+04
   0.234490E+00   0.118818E+04
   0.239227E+00   0.115650E+04
   0.244060E+00   0.112323E+04
   0.248990E+00   0.108637E+04
   0.254020E+00   0.104543E+04
   0.259152E+00   0.100130E+04
   0.264387E+00   0.955794E+03
   0.269728E+00   0.911207E+03
   0.275177E+00   0.869793E+03
   0.280736E+00   0.833078E+03
   0.286407E+00   0.801340E+03
   0.292193E+00   0.773687E+03
   0.298096E+00   0.748509E+03
   0.304118E+00   0.723938E+03
   0.310261E+00   0.698393E+03
   0.316529E+00   0.671189E+03
   0.322923E+00   0.642761E+03
   0.329447E+00   0.614282E+03
   0.336102E+00   0.587069E+03
   0.342892E+00   0.562122E+03
   0.349819E+00   0.539766E+03
   0.356885E+00   0.519526E+03
   0.364095E+00   0.500450E+03
   0.371450E+00   0.481591E+03
   0.378954E+00   0.462373E+03
