#           k/h    P           
   0.420980E-02   0.109400E+05
   0.429484E-02   0.111012E+05
   0.438160E-02   0.112636E+05
   0.447012E-02   0.114273E+05
   0.456042E-02   0.115921E+05
   0.465255E-02   0.117580E+05
   0.474653E-02   0.119249E+05
   0.484242E-02   0.120929E+05
   0.494024E-02   0.122619E+05
   0.504004E-02   0.124318E+05
   0.514186E-02   0.126026E+05
   0.524573E-02   0.127741E+05
   0.535170E-02   0.129464E+05
   0.545981E-02   0.131193E+05
   0.557011E-02   0.132929E+05
   0.568263E-02   0.134670E+05
   0.579743E-02   0.136416E+05
   0.591455E-02   0.138166E+05
   0.603403E-02   0.139920E+05
   0.615592E-02   0.141676E+05
   0.628028E-02   0.143433E+05
   0.640715E-02   0.145191E+05
   0.653658E-02   0.146948E+05
   0.666863E-02   0.148704E+05
   0.680335E-02   0.150456E+05
   0.694078E-02   0.152204E+05
   0.708100E-02   0.153948E+05
   0.722404E-02   0.155686E+05
   0.736998E-02   0.157416E+05
   0.751886E-02   0.159138E+05
   0.767075E-02   0.160851E+05
   0.782571E-02   0.162554E+05
   0.798380E-02   0.164244E+05
   0.814509E-02   0.165922E+05
   0.830963E-02   0.167585E+05
   0.847750E-02   0.169232E+05
   0.864875E-02   0.170862E+05
   0.882347E-02   0.172474E+05
   0.900171E-02   0.174064E+05
   0.918356E-02   0.175633E+05
   0.936908E-02   0.177178E+05
   0.955835E-02   0.178697E+05
   0.975144E-02   0.180189E+05
   0.994843E-02   0.181652E+05
   0.101494E-01   0.183085E+05
   0.103544E-01   0.184485E+05
   0.105636E-01   0.185850E+05
   0.107770E-01   0.187179E+05
   0.109947E-01   0.188469E+05
   0.112168E-01   0.189720E+05
   0.114434E-01   0.190928E+05
   0.116746E-01   0.192091E+05
   0.119104E-01   0.193208E+05
   0.121510E-01   0.194277E+05
   0.123965E-01   0.195295E+05
   0.126469E-01   0.196261E+05
   0.129024E-01   0.197171E+05
   0.131631E-01   0.198024E+05
   0.134290E-01   0.198818E+05
   0.137003E-01   0.199550E+05
   0.139770E-01   0.200218E+05
   0.142594E-01   0.200820E+05
   0.145474E-01   0.201354E+05
   0.148413E-01   0.201818E+05
   0.151411E-01   0.202209E+05
   0.154470E-01   0.202525E+05
   0.157590E-01   0.202765E+05
   0.160774E-01   0.202926E+05
   0.164022E-01   0.203006E+05
   0.167335E-01   0.203003E+05
   0.170716E-01   0.202916E+05
   0.174164E-01   0.202742E+05
   0.177683E-01   0.202481E+05
   0.181272E-01   0.202129E+05
   0.184934E-01   0.201687E+05
   0.188670E-01   0.201153E+05
   0.192481E-01   0.200525E+05
   0.196370E-01   0.199803E+05
   0.200337E-01   0.198985E+05
   0.204384E-01   0.198072E+05
   0.208513E-01   0.197063E+05
   0.212725E-01   0.195957E+05
   0.217022E-01   0.194754E+05
   0.221406E-01   0.193456E+05
   0.225879E-01   0.192062E+05
   0.230442E-01   0.190574E+05
   0.235097E-01   0.188992E+05
   0.239847E-01   0.187319E+05
   0.244692E-01   0.185555E+05
   0.249635E-01   0.183703E+05
   0.254678E-01   0.181766E+05
   0.259823E-01   0.179746E+05
   0.265072E-01   0.177647E+05
   0.270426E-01   0.175472E+05
   0.275889E-01   0.173225E+05
   0.281463E-01   0.170910E+05
   0.287149E-01   0.168533E+05
   0.292949E-01   0.166098E+05
   0.298867E-01   0.163609E+05
   0.304905E-01   0.161075E+05
   0.311064E-01   0.158499E+05
   0.317348E-01   0.155890E+05
   0.323759E-01   0.153252E+05
   0.330299E-01   0.150593E+05
   0.336972E-01   0.147919E+05
   0.343779E-01   0.145239E+05
   0.350724E-01   0.142558E+05
   0.357809E-01   0.139884E+05
   0.365038E-01   0.137223E+05
   0.372412E-01   0.134584E+05
   0.379935E-01   0.131976E+05
   0.387610E-01   0.129406E+05
   0.395440E-01   0.126881E+05
   0.403429E-01   0.124405E+05
   0.411579E-01   0.121984E+05
   0.419893E-01   0.119619E+05
   0.428375E-01   0.117316E+05
