#    L    TT             EE             TE             PP             TP          
    75   0.157393E+04   0.275288E+00  -0.450696E+01   0.608208E+07   0.655480E+04
    76   0.159323E+04   0.285763E+00  -0.485830E+01   0.605419E+07   0.648942E+04
    77   0.161265E+04   0.296400E+00  -0.521859E+01   0.602611E+07   0.642358E+04
    78   0.163214E+04   0.307195E+00  -0.558720E+01   0.599787E+07   0.635796E+04
    79   0.165177E+04   0.318145E+00  -0.596382E+01   0.596950E+07   0.629326E+04
    80   0.167155E+04   0.329246E+00  -0.634827E+01   0.594101E+07   0.623018E+04
    81   0.169149E+04   0.340492E+00  -0.674023E+01   0.591243E+07   0.616930E+04
    82   0.171162E+04   0.351879E+00  -0.713963E+01   0.588378E+07   0.611074E+04
    83   0.173193E+04   0.363398E+00  -0.754662E+01   0.585507E+07   0.605453E+04
    84   0.175243E+04   0.375040E+00  -0.796108E+01   0.582632E+07   0.600069E+04
    85   0.177311E+04   0.386797E+00  -0.838322E+01   0.579754E+07   0.594924E+04
    86   0.179399E+04   0.398662E+00  -0.881285E+01   0.576874E+07   0.590009E+04
    87   0.181503E+04   0.410629E+00  -0.924965E+01   0.573994E+07   0.585277E+04
    88   0.183621E+04   0.422688E+00  -0.969326E+01   0.571115E+07   0.580667E+04
    89   0.185752E+04   0.434835E+00  -0.101434E+02   0.568238E+07   0.576120E+04
    90   0.187898E+04   0.447056E+00  -0.105998E+02   0.565363E+07   0.571579E+04
    91   0.190058E+04   0.459345E+00  -0.110623E+02   0.562491E+07   0.566993E+04
    92   0.192234E+04   0.471690E+00  -0.115307E+02   0.559623E+07   0.562361E+04
    93   0.194426E+04   0.484082E+00  -0.120047E+02   0.556759E+07   0.557687E+04
    94   0.196635E+04   0.496514E+00  -0.124844E+02   0.553900E+07   0.552980E+04
    95   0.198862E+04   0.508973E+00  -0.129693E+02   0.551046E+07   0.548246E+04
    96   0.201106E+04   0.521452E+00  -0.134592E+02   0.548198E+07   0.543493E+04
    97   0.203369E+04   0.533940E+00  -0.139538E+02   0.545356E+07   0.538726E+04
    98   0.205651E+04   0.546426E+00  -0.144530E+02   0.542520E+07   0.533954E+04
    99   0.207951E+04   0.558900E+00  -0.149564E+02   0.539692E+07   0.529182E+04
   100   0.210269E+04   0.571357E+00  -0.154636E+02   0.536871E+07   0.524419E+04
   101   0.212607E+04   0.583785E+00  -0.159744E+02   0.534059E+07   0.519670E+04
   102   0.214963E+04   0.596167E+00  -0.164886E+02   0.531254E+07   0.514943E+04
   103   0.217338E+04   0.608509E+00  -0.170056E+02   0.528459E+07   0.510245E+04
   104   0.219731E+04   0.620784E+00  -0.175253E+02   0.525673E+07   0.505582E+04
   105   0.222141E+04   0.632991E+00  -0.180471E+02   0.522897E+07   0.500962E+04
   106   0.224570E+04   0.645119E+00  -0.185707E+02   0.520132E+07   0.496392E+04
   107   0.227015E+04   0.657167E+00  -0.190958E+02   0.517377E+07   0.491878E+04
   108   0.229476E+04   0.669115E+00  -0.196221E+02   0.514633E+07   0.487428E+04
   109   0.231955E+04   0.680962E+00  -0.201489E+02   0.511901E+07   0.483047E+04
   110   0.234449E+04   0.692690E+00  -0.206761E+02   0.509182E+07   0.478744E+04
   111   0.236959E+04   0.704297E+00  -0.212034E+02   0.506475E+07   0.474524E+04
   112   0.239485E+04   0.715775E+00  -0.217301E+02   0.503781E+07   0.470384E+04
   113   0.242026E+04   0.727104E+00  -0.222560E+02   0.501099E+07   0.466322E+04
   114   0.244581E+04   0.738269E+00  -0.227807E+02   0.498431E+07   0.462334E+04
   115   0.247151E+04   0.749272E+00  -0.233037E+02   0.495776E+07   0.458417E+04
   116   0.249735E+04   0.760099E+00  -0.238247E+02   0.493135E+07   0.454567E+04
   117   0.252332E+04   0.770727E+00  -0.243433E+02   0.490506E+07   0.450781E+04
   118   0.254942E+04   0.781159E+00  -0.248590E+02   0.487892E+07   0.447056E+04
   119   0.257565E+04   0.791379E+00  -0.253714E+02   0.485291E+07   0.443387E+04
   120   0.260200E+04   0.801382E+00  -0.258803E+02   0.482704E+07   0.439773E+04
   121   0.262846E+04   0.811153E+00  -0.263850E+02   0.480130E+07   0.436209E+04
   122   0.265503E+04   0.820686E+00  -0.268854E+02   0.477571E+07   0.432693E+04
   123   0.268170E+04   0.829975E+00  -0.273810E+02   0.475026E+07   0.429220E+04
   124   0.270847E+04   0.839005E+00  -0.278713E+02   0.472495E+07   0.425787E+04
   125   0.273533E+04   0.847777E+00  -0.283560E+02   0.469979E+07   0.422392E+04
   126   0.276227E+04   0.856277E+00  -0.288349E+02   0.467477E+07   0.419030E+04
   127   0.278930E+04   0.864506E+00  -0.293074E+02   0.464990E+07   0.415698E+04
   128   0.281639E+04   0.872451E+00  -0.297733E+02   0.462518E+07   0.412394E+04
