#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.4901724E+07   1.4901724E+07   1.9861641E+07   1.1397267E+04   9.4118125E+06   1.4901757E+07   1.4901724E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.4901719E+07   1.4901719E+07   1.9859738E+07   1.1396566E+04   9.4115904E+06   1.4901751E+07   1.4901719E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.4901713E+07   1.4901713E+07   1.9857342E+07   1.1395682E+04   9.4113108E+06   1.4901745E+07   1.4901713E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.4901705E+07   1.4901705E+07   1.9854327E+07   1.1394570E+04   9.4109589E+06   1.4901737E+07   1.4901705E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.4901695E+07   1.4901695E+07   1.9850532E+07   1.1393171E+04   9.4105160E+06   1.4901726E+07   1.4901695E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.4901683E+07   1.4901683E+07   1.9845755E+07   1.1391409E+04   9.4099585E+06   1.4901713E+07   1.4901683E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.4901667E+07   1.4901667E+07   1.9839743E+07   1.1389191E+04   9.4092571E+06   1.4901697E+07   1.4901667E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.4901647E+07   1.4901647E+07   1.9832176E+07   1.1386400E+04   9.4083744E+06   1.4901676E+07   1.4901647E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.4901622E+07   1.4901622E+07   1.9822654E+07   1.1382888E+04   9.4072639E+06   1.4901650E+07   1.4901622E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.4901591E+07   1.4901591E+07   1.9810673E+07   1.1378467E+04   9.4058669E+06   1.4901617E+07   1.4901591E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.4901551E+07   1.4901551E+07   1.9795599E+07   1.1372905E+04   9.4041101E+06   1.4901575E+07   1.4901551E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.4901502E+07   1.4901502E+07   1.9776638E+07   1.1365907E+04   9.4019011E+06   1.4901523E+07   1.4901502E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.4901439E+07   1.4901439E+07   1.9752792E+07   1.1357104E+04   9.3991245E+06   1.4901458E+07   1.4901439E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.4901360E+07   1.4901360E+07   1.9722809E+07   1.1346033E+04   9.3956360E+06   1.4901375E+07   1.4901360E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.4901261E+07   1.4901261E+07   1.9685125E+07   1.1332112E+04   9.3912553E+06   1.4901271E+07   1.4901261E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   1.4901136E+07   1.4901136E+07   1.9637779E+07   1.1314615E+04   9.3857577E+06   1.4901140E+07   1.4901136E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   1.4900979E+07   1.4900979E+07   1.9578328E+07   1.1292630E+04   9.3788642E+06   1.4900976E+07   1.4900979E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   1.4900781E+07   1.4900781E+07   1.9503725E+07   1.1265022E+04   9.3702294E+06   1.4900769E+07   1.4900781E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   1.4900533E+07   1.4900533E+07   1.9410186E+07   1.1230373E+04   9.3594275E+06   1.4900508E+07   1.4900533E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
