#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.7958776E+07   1.7958776E+07   2.3934038E+07   1.2234765E+04   2.0408371E+07   1.7958790E+07   1.7958776E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.7958769E+07   1.7958769E+07   2.3931183E+07   1.2233825E+04   2.0407679E+07   1.7958783E+07   1.7958769E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.7958762E+07   1.7958762E+07   2.3927589E+07   1.2232642E+04   2.0406807E+07   1.7958775E+07   1.7958762E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.7958752E+07   1.7958752E+07   2.3923066E+07   1.2231152E+04   2.0405710E+07   1.7958765E+07   1.7958752E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.7958739E+07   1.7958739E+07   2.3917373E+07   1.2229277E+04   2.0404330E+07   1.7958752E+07   1.7958739E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.7958724E+07   1.7958724E+07   2.3910207E+07   1.2226917E+04   2.0402592E+07   1.7958736E+07   1.7958724E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.7958704E+07   1.7958704E+07   2.3901189E+07   1.2223947E+04   2.0400406E+07   1.7958715E+07   1.7958704E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.7958679E+07   1.7958679E+07   2.3889840E+07   1.2220208E+04   2.0397655E+07   1.7958689E+07   1.7958679E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.7958648E+07   1.7958648E+07   2.3875560E+07   1.2215504E+04   2.0394194E+07   1.7958656E+07   1.7958648E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.7958608E+07   1.7958608E+07   2.3857593E+07   1.2209584E+04   2.0389841E+07   1.7958615E+07   1.7958608E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.7958559E+07   1.7958559E+07   2.3834993E+07   1.2202136E+04   2.0384368E+07   1.7958564E+07   1.7958559E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.7958496E+07   1.7958496E+07   2.3806569E+07   1.2192767E+04   2.0377488E+07   1.7958499E+07   1.7958496E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.7958417E+07   1.7958417E+07   2.3770830E+07   1.2180983E+04   2.0368842E+07   1.7958417E+07   1.7958417E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.7958319E+07   1.7958319E+07   2.3725908E+07   1.2166166E+04   2.0357984E+07   1.7958314E+07   1.7958319E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.7958194E+07   1.7958194E+07   2.3669468E+07   1.2147541E+04   2.0344354E+07   1.7958184E+07   1.7958194E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   1.7958037E+07   1.7958037E+07   2.3598591E+07   1.2124139E+04   2.0327259E+07   1.7958021E+07   1.7958037E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   1.7957840E+07   1.7957840E+07   2.3509644E+07   1.2094749E+04   2.0305838E+07   1.7957816E+07   1.7957840E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   1.7957592E+07   1.7957592E+07   2.3398111E+07   1.2057862E+04   2.0279030E+07   1.7957557E+07   1.7957592E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   1.7957280E+07   1.7957280E+07   2.3258400E+07   1.2011604E+04   2.0245531E+07   1.7957232E+07   1.7957280E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   1.7956888E+07   1.7956888E+07   2.3083620E+07   1.1953649E+04   2.0203752E+07   1.7956824E+07   1.7956888E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
