#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   9.2290659E+06   9.2290659E+06   1.2302712E+07   1.0905076E+04   1.7675119E+06   9.2291471E+06   9.2290659E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   9.2290631E+06   9.2290631E+06   1.2302007E+07   1.0904682E+04   1.7674844E+06   9.2291442E+06   9.2290631E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   9.2290596E+06   9.2290596E+06   1.2301119E+07   1.0904186E+04   1.7674498E+06   9.2291404E+06   9.2290596E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   9.2290551E+06   9.2290551E+06   1.2300001E+07   1.0903562E+04   1.7674062E+06   9.2291357E+06   9.2290551E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   9.2290495E+06   9.2290495E+06   1.2298595E+07   1.0902776E+04   1.7673514E+06   9.2291297E+06   9.2290495E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   9.2290425E+06   9.2290425E+06   1.2296824E+07   1.0901786E+04   1.7672823E+06   9.2291222E+06   9.2290425E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   9.2290336E+06   9.2290336E+06   1.2294595E+07   1.0900540E+04   1.7671955E+06   9.2291127E+06   9.2290336E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   9.2290224E+06   9.2290224E+06   1.2291790E+07   1.0898972E+04   1.7670861E+06   9.2291009E+06   9.2290224E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   9.2290083E+06   9.2290083E+06   1.2288259E+07   1.0896999E+04   1.7669485E+06   9.2290859E+06   9.2290083E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   9.2289906E+06   9.2289906E+06   1.2283815E+07   1.0894515E+04   1.7667754E+06   9.2290670E+06   9.2289906E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   9.2289683E+06   9.2289683E+06   1.2278222E+07   1.0891389E+04   1.7665576E+06   9.2290433E+06   9.2289683E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   9.2289403E+06   9.2289403E+06   1.2271186E+07   1.0887455E+04   1.7662836E+06   9.2290134E+06   9.2289403E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   9.2289050E+06   9.2289050E+06   1.2262332E+07   1.0882504E+04   1.7659390E+06   9.2289758E+06   9.2289050E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
