#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   6.2375351E+06   6.2375351E+06   8.3154894E+06   1.1192997E+04   4.8759158E+05   6.2376667E+06   6.2375351E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   6.2375333E+06   6.2375333E+06   8.3151702E+06   1.1192731E+04   4.8758451E+05   6.2376648E+06   6.2375333E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   6.2375311E+06   6.2375311E+06   8.3147683E+06   1.1192395E+04   4.8757562E+05   6.2376624E+06   6.2375311E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   6.2375283E+06   6.2375283E+06   8.3142624E+06   1.1191973E+04   4.8756442E+05   6.2376594E+06   6.2375283E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   6.2375248E+06   6.2375248E+06   8.3136256E+06   1.1191441E+04   4.8755033E+05   6.2376556E+06   6.2375248E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   6.2375204E+06   6.2375204E+06   8.3128239E+06   1.1190771E+04   4.8753259E+05   6.2376508E+06   6.2375204E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   6.2375149E+06   6.2375149E+06   8.3118147E+06   1.1189928E+04   4.8751026E+05   6.2376448E+06   6.2375149E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   6.2375079E+06   6.2375079E+06   8.3105444E+06   1.1188867E+04   4.8748216E+05   6.2376373E+06   6.2375079E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   6.2374991E+06   6.2374991E+06   8.3089455E+06   1.1187532E+04   4.8744679E+05   6.2376278E+06   6.2374991E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   6.2374880E+06   6.2374880E+06   8.3069329E+06   1.1185851E+04   4.8740227E+05   6.2376159E+06   6.2374880E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   6.2374740E+06   6.2374740E+06   8.3044000E+06   1.1183735E+04   4.8734626E+05   6.2376008E+06   6.2374740E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   6.2374565E+06   6.2374565E+06   8.3012122E+06   1.1181072E+04   4.8727578E+05   6.2375819E+06   6.2374565E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   6.2374344E+06   6.2374344E+06   8.2972007E+06   1.1177720E+04   4.8718711E+05   6.2375580E+06   6.2374344E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   6.2374066E+06   6.2374066E+06   8.2921531E+06   1.1173502E+04   4.8707558E+05   6.2375280E+06   6.2374066E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   6.2373716E+06   6.2373716E+06   8.2858028E+06   1.1168195E+04   4.8693533E+05   6.2374902E+06   6.2373716E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   6.2373275E+06   6.2373275E+06   8.2778148E+06   1.1161517E+04   4.8675901E+05   6.2374427E+06   6.2373275E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   6.2372720E+06   6.2372720E+06   8.2677690E+06   1.1153117E+04   4.8653743E+05   6.2373828E+06   6.2372720E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   6.2372022E+06   6.2372022E+06   8.2551385E+06   1.1142553E+04   4.8625909E+05   6.2373075E+06   6.2372022E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   6.2371143E+06   6.2371143E+06   8.2392639E+06   1.1129269E+04   4.8590965E+05   6.2372127E+06   6.2371143E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   6.2370038E+06   6.2370038E+06   8.2193204E+06   1.1112571E+04   4.8547127E+05   6.2370934E+06   6.2370038E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   6.2368646E+06   6.2368646E+06   8.1942785E+06   1.1091591E+04   4.8492181E+05   6.2369433E+06   6.2368646E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   6.2366896E+06   6.2366896E+06   8.1628562E+06   1.1065244E+04   4.8423391E+05   6.2367545E+06   6.2366896E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   6.2364695E+06   6.2364695E+06   8.1234614E+06   1.1032176E+04   4.8337395E+05   6.2365170E+06   6.2364695E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   6.2361926E+06   6.2361926E+06   8.0741245E+06   1.0990709E+04   4.8230084E+05   6.2362184E+06   6.2361926E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   6.2358446E+06   6.2358446E+06   8.0124203E+06   1.0938758E+04   4.8096483E+05   6.2358429E+06   6.2358446E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-04   6.2354072E+06   6.2354072E+06   7.9353803E+06   1.0873759E+04   4.7930638E+05   6.2353711E+06   6.2354072E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-04   6.2348577E+06   6.2348577E+06   7.8394005E+06   1.0792562E+04   4.7725523E+05   6.2347785E+06   6.2348577E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-04   6.2341678E+06   6.2341678E+06   7.7201499E+06   1.0691335E+04   4.7473023E+05   6.2340345E+06   6.2341678E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-04   6.2333023E+06   6.2333023E+06   7.5724954E+06   1.0565457E+04   4.7164032E+05   6.2331012E+06   6.2333023E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-04   6.2322172E+06   6.2322172E+06   7.3904652E+06   1.0409426E+04   4.6788756E+05   6.2319314E+06   6.2322172E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-04   6.2308585E+06   6.2308585E+06   7.1672885E+06   1.0216798E+04   4.6337342E+05   6.2304669E+06   6.2308585E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-04   6.2291594E+06   6.2291594E+06   6.8955676E+06   9.9801953E+03   4.5800998E+05   6.2286360E+06   6.2291594E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
