#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.8220392E+07   1.8220392E+07   2.4282498E+07   1.2328987E+04   2.1821082E+07   1.8220405E+07   1.8220392E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.8220386E+07   1.8220386E+07   2.4279549E+07   1.2328022E+04   2.1820316E+07   1.8220399E+07   1.8220386E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.8220378E+07   1.8220378E+07   2.4275837E+07   1.2326808E+04   2.1819350E+07   1.8220390E+07   1.8220378E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.8220368E+07   1.8220368E+07   2.4271165E+07   1.2325280E+04   2.1818136E+07   1.8220380E+07   1.8220368E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.8220355E+07   1.8220355E+07   2.4265284E+07   1.2323357E+04   2.1816607E+07   1.8220366E+07   1.8220355E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.8220339E+07   1.8220339E+07   2.4257883E+07   1.2320936E+04   2.1814683E+07   1.8220350E+07   1.8220339E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.8220319E+07   1.8220319E+07   2.4248568E+07   1.2317889E+04   2.1812262E+07   1.8220329E+07   1.8220319E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.8220294E+07   1.8220294E+07   2.4236846E+07   1.2314054E+04   2.1809216E+07   1.8220303E+07   1.8220294E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.8220262E+07   1.8220262E+07   2.4222096E+07   1.2309228E+04   2.1805385E+07   1.8220269E+07   1.8220262E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.8220222E+07   1.8220222E+07   2.4203540E+07   1.2303156E+04   2.1800565E+07   1.8220228E+07   1.8220222E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.8220171E+07   1.8220171E+07   2.4180197E+07   1.2295516E+04   2.1794505E+07   1.8220175E+07   1.8220171E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
