#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   8.7420043E+06   8.7420043E+06   1.1653580E+07   1.0922748E+04   1.4773813E+06   8.7420917E+06   8.7420043E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   8.7420016E+06   8.7420016E+06   1.1652948E+07   1.0922375E+04   1.4773588E+06   8.7420889E+06   8.7420016E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   8.7419983E+06   8.7419983E+06   1.1652153E+07   1.0921907E+04   1.4773304E+06   8.7420854E+06   8.7419983E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   8.7419942E+06   8.7419942E+06   1.1651152E+07   1.0921317E+04   1.4772946E+06   8.7420809E+06   8.7419942E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   8.7419889E+06   8.7419889E+06   1.1649893E+07   1.0920574E+04   1.4772496E+06   8.7420753E+06   8.7419889E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   8.7419823E+06   8.7419823E+06   1.1648307E+07   1.0919639E+04   1.4771930E+06   8.7420683E+06   8.7419823E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   8.7419740E+06   8.7419740E+06   1.1646311E+07   1.0918463E+04   1.4771217E+06   8.7420594E+06   8.7419740E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   8.7419635E+06   8.7419635E+06   1.1643798E+07   1.0916981E+04   1.4770319E+06   8.7420483E+06   8.7419635E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   8.7419503E+06   8.7419503E+06   1.1640636E+07   1.0915117E+04   1.4769190E+06   8.7420342E+06   8.7419503E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   8.7419337E+06   8.7419337E+06   1.1636656E+07   1.0912770E+04   1.4767769E+06   8.7420165E+06   8.7419337E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   8.7419128E+06   8.7419128E+06   1.1631647E+07   1.0909817E+04   1.4765981E+06   8.7419942E+06   8.7419128E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   8.7418865E+06   8.7418865E+06   1.1625344E+07   1.0906100E+04   1.4763733E+06   8.7419662E+06   8.7418865E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   8.7418534E+06   8.7418534E+06   1.1617414E+07   1.0901423E+04   1.4760904E+06   8.7419309E+06   8.7418534E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   8.7418117E+06   8.7418117E+06   1.1607439E+07   1.0895538E+04   1.4757348E+06   8.7418864E+06   8.7418117E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
