#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.8957544E+07   1.8957544E+07   2.5264299E+07   1.2616314E+04   2.6405228E+07   1.8957553E+07   1.8957544E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.8957537E+07   1.8957537E+07   2.5261073E+07   1.2615277E+04   2.6404200E+07   1.8957546E+07   1.8957537E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.8957529E+07   1.8957529E+07   2.5257013E+07   1.2613972E+04   2.6402906E+07   1.8957537E+07   1.8957529E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.8957518E+07   1.8957518E+07   2.5251902E+07   1.2612329E+04   2.6401278E+07   1.8957526E+07   1.8957518E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.8957505E+07   1.8957505E+07   2.5245469E+07   1.2610260E+04   2.6399228E+07   1.8957512E+07   1.8957505E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.8957488E+07   1.8957488E+07   2.5237373E+07   1.2607657E+04   2.6396649E+07   1.8957495E+07   1.8957488E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.8957467E+07   1.8957467E+07   2.5227184E+07   1.2604381E+04   2.6393404E+07   1.8957473E+07   1.8957467E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.8957441E+07   1.8957441E+07   2.5214362E+07   1.2600257E+04   2.6389320E+07   1.8957445E+07   1.8957441E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.8957407E+07   1.8957407E+07   2.5198229E+07   1.2595068E+04   2.6384184E+07   1.8957411E+07   1.8957407E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.8957365E+07   1.8957365E+07   2.5177933E+07   1.2588539E+04   2.6377724E+07   1.8957367E+07   1.8957365E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.8957312E+07   1.8957312E+07   2.5152402E+07   1.2580325E+04   2.6369601E+07   1.8957312E+07   1.8957312E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.8957245E+07   1.8957245E+07   2.5120295E+07   1.2569992E+04   2.6359391E+07   1.8957242E+07   1.8957245E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.8957161E+07   1.8957161E+07   2.5079929E+07   1.2556997E+04   2.6346562E+07   1.8957155E+07   1.8957161E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.8957055E+07   1.8957055E+07   2.5029196E+07   1.2540659E+04   2.6330452E+07   1.8957045E+07   1.8957055E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.8956922E+07   1.8956922E+07   2.4965463E+07   1.2520124E+04   2.6310232E+07   1.8956906E+07   1.8956922E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   1.8956755E+07   1.8956755E+07   2.4885441E+07   1.2494325E+04   2.6284877E+07   1.8956732E+07   1.8956755E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   1.8956544E+07   1.8956544E+07   2.4785037E+07   1.2461929E+04   2.6253112E+07   1.8956513E+07   1.8956544E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   1.8956279E+07   1.8956279E+07   2.4659169E+07   1.2421279E+04   2.6213371E+07   1.8956237E+07   1.8956279E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   1.8955945E+07   1.8955945E+07   2.4501554E+07   1.2370313E+04   2.6163728E+07   1.8955890E+07   1.8955945E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   1.8955526E+07   1.8955526E+07   2.4304456E+07   1.2306481E+04   2.6101843E+07   1.8955454E+07   1.8955526E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   1.8954999E+07   1.8954999E+07   2.4058414E+07   1.2226642E+04   2.6024896E+07   1.8954906E+07   1.8954999E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   1.8954336E+07   1.8954336E+07   2.3751952E+07   1.2126953E+04   2.5929533E+07   1.8954217E+07   1.8954336E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   1.8953504E+07   1.8953504E+07   2.3371292E+07   1.2002741E+04   2.5811830E+07   1.8953352E+07   1.8953504E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   1.8952460E+07   1.8952460E+07   2.2900127E+07   1.1848389E+04   2.5667312E+07   1.8952265E+07   1.8952460E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   1.8951151E+07   1.8951151E+07   2.2319524E+07   1.1657232E+04   2.5491043E+07   1.8950903E+07   1.8951151E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-04   1.8949509E+07   1.8949509E+07   2.1608074E+07   1.1421505E+04   2.5277857E+07   1.8949196E+07   1.8949509E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-04   1.8947455E+07   1.8947455E+07   2.0742478E+07   1.1132378E+04   2.5022792E+07   1.8947059E+07   1.8947455E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-04   1.8944888E+07   1.8944888E+07   1.9698825E+07   1.0780162E+04   2.4721819E+07   1.8944387E+07   1.8944888E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-04   1.8941684E+07   1.8941684E+07   1.8454896E+07   1.0354775E+04   2.4372964E+07   1.8941054E+07   1.8941684E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-04   1.8937695E+07   1.8937695E+07   1.6993895E+07   9.8465873E+03   2.3977884E+07   1.8936902E+07   1.8937695E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-04   1.8932740E+07   1.8932740E+07   1.5309978E+07   9.2478177E+03   2.3543861E+07   1.8931745E+07   1.8932740E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-04   1.8926603E+07   1.8926603E+07   1.3415680E+07   8.5545911E+03   2.3085925E+07   1.8925357E+07   1.8926603E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-04   1.8919030E+07   1.8919030E+07   1.1350762E+07   7.7697110E+03   2.2628384E+07   1.8917472E+07   1.8919030E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-04   1.8909719E+07   1.8909719E+07   9.1906922E+06   6.9059442E+03   2.2204356E+07   1.8907777E+07   1.8909719E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-04   1.8898321E+07   1.8898321E+07   7.0510161E+06   5.9891630E+03   2.1851161E+07   1.8895907E+07   1.8898321E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-04   1.8884432E+07   1.8884432E+07   5.0814141E+06   5.0599816E+03   2.1599276E+07   1.8881441E+07   1.8884432E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-04   1.8867583E+07   1.8867583E+07   3.4419371E+06   4.1717356E+03   2.1454257E+07   1.8863893E+07   1.8867583E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-04   1.8847230E+07   1.8847230E+07   2.2570085E+06   3.3823512E+03   2.1376587E+07   1.8842702E+07   1.8847230E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-04   1.8822733E+07   1.8822733E+07   1.5552422E+06   2.7390148E+03   2.1274299E+07   1.8817211E+07   1.8822733E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-04   1.8793337E+07   1.8793337E+07   1.2266346E+06   2.2589886E+03   2.1031507E+07   1.8786651E+07   1.8793337E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-03   1.8758150E+07   1.8758150E+07   1.0501507E+06   1.9172087E+03   2.0584184E+07   1.8750127E+07   1.8758150E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-03   1.8716146E+07   1.8716146E+07   8.2446418E+05   1.6559778E+03   1.9999812E+07   1.8706613E+07   1.8716146E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-03   1.8666184E+07   1.8666184E+07   5.3008449E+05   1.4219826E+03   1.9445250E+07   1.8654988E+07   1.8666184E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-03   1.8607048E+07   1.8607048E+07   3.2402261E+05   1.2045707E+03   1.8981938E+07   1.8594061E+07   1.8607048E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-03   1.8537454E+07   1.8537454E+07   2.7822472E+05   1.0267837E+03   1.8436174E+07   1.8522582E+07   1.8537454E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-03   1.8456013E+07   1.8456013E+07   2.3021241E+05   8.9072736E+02   1.7712457E+07   1.8439199E+07   1.8456013E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-03   1.8361238E+07   1.8361238E+07   1.1669956E+05   7.6921741E+02   1.7054134E+07   1.8342446E+07   1.8361238E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-03   1.8251575E+07   1.8251575E+07   9.2163927E+04   6.6208312E+02   1.6441901E+07   1.8230772E+07   1.8251575E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-03   1.8125390E+07   1.8125390E+07   7.4353993E+04   5.7747409E+02   1.5656523E+07   1.8102528E+07   1.8125390E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-03   1.7980934E+07   1.7980934E+07   4.1199555E+04   5.0055084E+02   1.4933534E+07   1.7955954E+07   1.7980934E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-03   1.7816369E+07   1.7816369E+07   3.3007781E+04   4.3517057E+02   1.4097514E+07   1.7789215E+07   1.7816369E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-03   1.7629755E+07   1.7629755E+07   2.3128169E+04   3.7601602E+02   1.3289609E+07   1.7600390E+07   1.7629755E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-03   1.7419072E+07   1.7419072E+07   1.0471574E+04   3.2489465E+02   1.2391786E+07   1.7387488E+07   1.7419072E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-03   1.7182256E+07   1.7182256E+07   1.0906387E+04   2.7901673E+02   1.1494684E+07   1.7148506E+07   1.7182256E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-03   1.6917276E+07   1.6917276E+07   8.1102507E+03   2.3824070E+02   1.0607984E+07   1.6881485E+07   1.6917276E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-03   1.6622109E+07   1.6622109E+07   5.8644951E+03   2.0265069E+02   9.7162803E+06   1.6584404E+07   1.6622109E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-03   1.6294666E+07   1.6294666E+07   3.7594153E+03   1.7122841E+02   8.8195108E+06   1.6255187E+07   1.6294666E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-03   1.5932847E+07   1.5932847E+07   1.7410530E+03   1.4369611E+02   7.9443241E+06   1.5891838E+07   1.5932847E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-03   1.5534626E+07   1.5534626E+07   2.2684834E+02   1.1975668E+02   7.1054136E+06   1.5492334E+07   1.5534626E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-03   1.5097938E+07   1.5097938E+07   1.0064285E+03   9.9039844E+01   6.2926976E+06   1.5054655E+07   1.5097938E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-02   1.4620761E+07   1.4620761E+07   8.7544463E+01   8.1252486E+01   5.5277780E+06   1.4576814E+07   1.4620761E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-02   1.4101132E+07   1.4101132E+07   -1.4855681E+02   6.6086229E+01   4.8038957E+06   1.4056873E+07   1.4101132E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-02   1.3537264E+07   1.3537264E+07   -8.9623085E+01   5.3277578E+01   4.1342772E+06   1.3493072E+07   1.3537264E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-02   1.2927717E+07   1.2927717E+07   1.1604370E+02   4.2540588E+01   3.5179026E+06   1.2883988E+07   1.2927717E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
