#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.5569128E+07   1.5569128E+07   2.0750792E+07   1.1541792E+04   1.1159642E+07   1.5569156E+07   1.5569128E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.5569123E+07   1.5569123E+07   2.0748702E+07   1.1541044E+04   1.1159359E+07   1.5569151E+07   1.5569123E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.5569116E+07   1.5569116E+07   2.0746072E+07   1.1540103E+04   1.1159002E+07   1.5569144E+07   1.5569116E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.5569108E+07   1.5569108E+07   2.0742761E+07   1.1538918E+04   1.1158554E+07   1.5569135E+07   1.5569108E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.5569097E+07   1.5569097E+07   2.0738593E+07   1.1537427E+04   1.1157990E+07   1.5569124E+07   1.5569097E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.5569084E+07   1.5569084E+07   2.0733348E+07   1.1535550E+04   1.1157280E+07   1.5569110E+07   1.5569084E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.5569068E+07   1.5569068E+07   2.0726745E+07   1.1533187E+04   1.1156386E+07   1.5569093E+07   1.5569068E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.5569047E+07   1.5569047E+07   2.0718437E+07   1.1530213E+04   1.1155262E+07   1.5569071E+07   1.5569047E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.5569020E+07   1.5569020E+07   2.0707981E+07   1.1526471E+04   1.1153847E+07   1.5569043E+07   1.5569020E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.5568987E+07   1.5568987E+07   2.0694825E+07   1.1521761E+04   1.1152067E+07   1.5569009E+07   1.5568987E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
