#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.3870678E+07   1.3870678E+07   1.8487944E+07   1.1212025E+04   7.1939927E+06   1.3870717E+07   1.3870678E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.3870673E+07   1.3870673E+07   1.8486309E+07   1.1211390E+04   7.1938394E+06   1.3870712E+07   1.3870673E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.3870667E+07   1.3870667E+07   1.8484251E+07   1.1210589E+04   7.1936464E+06   1.3870706E+07   1.3870667E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.3870660E+07   1.3870660E+07   1.8481660E+07   1.1209582E+04   7.1934036E+06   1.3870698E+07   1.3870660E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.3870651E+07   1.3870651E+07   1.8478399E+07   1.1208313E+04   7.1930979E+06   1.3870689E+07   1.3870651E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.3870639E+07   1.3870639E+07   1.8474295E+07   1.1206717E+04   7.1927132E+06   1.3870677E+07   1.3870639E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.3870625E+07   1.3870625E+07   1.8469128E+07   1.1204707E+04   7.1922291E+06   1.3870662E+07   1.3870625E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.3870607E+07   1.3870607E+07   1.8462626E+07   1.1202178E+04   7.1916199E+06   1.3870642E+07   1.3870607E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.3870584E+07   1.3870584E+07   1.8454444E+07   1.1198995E+04   7.1908534E+06   1.3870618E+07   1.3870584E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.3870555E+07   1.3870555E+07   1.8444147E+07   1.1194989E+04   7.1898892E+06   1.3870588E+07   1.3870555E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
