#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.5230062E+07   1.5230062E+07   2.0299075E+07   1.1465878E+04   1.0237225E+07   1.5230092E+07   1.5230062E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.5230057E+07   1.5230057E+07   2.0297082E+07   1.1465154E+04   1.0236975E+07   1.5230087E+07   1.5230057E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.5230051E+07   1.5230051E+07   2.0294573E+07   1.1464243E+04   1.0236660E+07   1.5230080E+07   1.5230051E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.5230042E+07   1.5230042E+07   2.0291414E+07   1.1463096E+04   1.0236264E+07   1.5230072E+07   1.5230042E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.5230032E+07   1.5230032E+07   2.0287438E+07   1.1461652E+04   1.0235765E+07   1.5230061E+07   1.5230032E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.5230019E+07   1.5230019E+07   2.0282434E+07   1.1459834E+04   1.0235138E+07   1.5230048E+07   1.5230019E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.5230003E+07   1.5230003E+07   2.0276136E+07   1.1457546E+04   1.0234348E+07   1.5230031E+07   1.5230003E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.5229983E+07   1.5229983E+07   2.0268210E+07   1.1454667E+04   1.0233354E+07   1.5230009E+07   1.5229983E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.5229957E+07   1.5229957E+07   2.0258235E+07   1.1451043E+04   1.0232103E+07   1.5229983E+07   1.5229957E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.5229925E+07   1.5229925E+07   2.0245685E+07   1.1446482E+04   1.0230530E+07   1.5229949E+07   1.5229925E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
