#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.8715340E+07   1.8715340E+07   2.4941719E+07   1.2518249E+04   2.4788404E+07   1.8715350E+07   1.8715340E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.8715334E+07   1.8715334E+07   2.4938586E+07   1.2517236E+04   2.4787471E+07   1.8715344E+07   1.8715334E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.8715325E+07   1.8715325E+07   2.4934643E+07   1.2515962E+04   2.4786297E+07   1.8715335E+07   1.8715325E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.8715315E+07   1.8715315E+07   2.4929680E+07   1.2514358E+04   2.4784820E+07   1.8715324E+07   1.8715315E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.8715302E+07   1.8715302E+07   2.4923433E+07   1.2512339E+04   2.4782961E+07   1.8715310E+07   1.8715302E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.8715285E+07   1.8715285E+07   2.4915570E+07   1.2509797E+04   2.4780621E+07   1.8715293E+07   1.8715285E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.8715265E+07   1.8715265E+07   2.4905675E+07   1.2506598E+04   2.4777676E+07   1.8715272E+07   1.8715265E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.8715238E+07   1.8715238E+07   2.4893222E+07   1.2502573E+04   2.4773972E+07   1.8715244E+07   1.8715238E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.8715205E+07   1.8715205E+07   2.4877554E+07   1.2497506E+04   2.4769312E+07   1.8715210E+07   1.8715205E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.8715164E+07   1.8715164E+07   2.4857842E+07   1.2491132E+04   2.4763451E+07   1.8715167E+07   1.8715164E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
