#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.7410782E+07   1.7410782E+07   2.3204111E+07   1.2049832E+04   1.7758937E+07   1.7410799E+07   1.7410782E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.7410776E+07   1.7410776E+07   2.3201446E+07   1.2048941E+04   1.7758376E+07   1.7410793E+07   1.7410776E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.7410768E+07   1.7410768E+07   2.3198092E+07   1.2047818E+04   1.7757670E+07   1.7410785E+07   1.7410768E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.7410759E+07   1.7410759E+07   2.3193869E+07   1.2046406E+04   1.7756781E+07   1.7410775E+07   1.7410759E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.7410747E+07   1.7410747E+07   2.3188554E+07   1.2044628E+04   1.7755662E+07   1.7410762E+07   1.7410747E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.7410731E+07   1.7410731E+07   2.3181865E+07   1.2042389E+04   1.7754254E+07   1.7410747E+07   1.7410731E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.7410712E+07   1.7410712E+07   2.3173446E+07   1.2039572E+04   1.7752483E+07   1.7410727E+07   1.7410712E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.7410689E+07   1.7410689E+07   2.3162851E+07   1.2036027E+04   1.7750254E+07   1.7410702E+07   1.7410689E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.7410658E+07   1.7410658E+07   2.3149520E+07   1.2031565E+04   1.7747450E+07   1.7410670E+07   1.7410658E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.7410620E+07   1.7410620E+07   2.3132747E+07   1.2025951E+04   1.7743923E+07   1.7410631E+07   1.7410620E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.7410573E+07   1.7410573E+07   2.3111647E+07   1.2018887E+04   1.7739488E+07   1.7410581E+07   1.7410573E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.7410513E+07   1.7410513E+07   2.3085109E+07   1.2010001E+04   1.7733912E+07   1.7410518E+07   1.7410513E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.7410437E+07   1.7410437E+07   2.3051740E+07   1.1998824E+04   1.7726906E+07   1.7410439E+07   1.7410437E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.7410342E+07   1.7410342E+07   2.3009795E+07   1.1984770E+04   1.7718106E+07   1.7410340E+07   1.7410342E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.7410222E+07   1.7410222E+07   2.2957092E+07   1.1967103E+04   1.7707059E+07   1.7410215E+07   1.7410222E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   1.7410071E+07   1.7410071E+07   2.2890902E+07   1.1944902E+04   1.7693202E+07   1.7410058E+07   1.7410071E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   1.7409881E+07   1.7409881E+07   2.2807827E+07   1.1917020E+04   1.7675836E+07   1.7409860E+07   1.7409881E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   1.7409643E+07   1.7409643E+07   2.2703643E+07   1.1882021E+04   1.7654100E+07   1.7409611E+07   1.7409643E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   1.7409342E+07   1.7409342E+07   2.2573115E+07   1.1838124E+04   1.7626933E+07   1.7409298E+07   1.7409342E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   1.7408965E+07   1.7408965E+07   2.2409788E+07   1.1783119E+04   1.7593043E+07   1.7408905E+07   1.7408965E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   1.7408490E+07   1.7408490E+07   2.2205743E+07   1.1714279E+04   1.7550867E+07   1.7408410E+07   1.7408490E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   1.7407893E+07   1.7407893E+07   2.1951337E+07   1.1628256E+04   1.7498538E+07   1.7407787E+07   1.7407893E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   1.7407144E+07   1.7407144E+07   2.1634938E+07   1.1520969E+04   1.7433859E+07   1.7407006E+07   1.7407144E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   1.7406203E+07   1.7406203E+07   2.1242691E+07   1.1387486E+04   1.7354300E+07   1.7406025E+07   1.7406203E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   1.7405022E+07   1.7405022E+07   2.0758365E+07   1.1221918E+04   1.7257039E+07   1.7404793E+07   1.7405022E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-04   1.7403542E+07   1.7403542E+07   2.0163378E+07   1.1017349E+04   1.7139062E+07   1.7403250E+07   1.7403542E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-04   1.7401689E+07   1.7401689E+07   1.9437138E+07   1.0765820E+04   1.6997378E+07   1.7401317E+07   1.7401689E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-04   1.7399370E+07   1.7399370E+07   1.8557910E+07   1.0458454E+04   1.6829382E+07   1.7398899E+07   1.7399370E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-04   1.7396475E+07   1.7396475E+07   1.7504468E+07   1.0085770E+04   1.6633435E+07   1.7395879E+07   1.7396475E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-04   1.7392867E+07   1.7392867E+07   1.6258904E+07   9.6383204E+03   1.6409699E+07   1.7392115E+07   1.7392867E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-04   1.7388380E+07   1.7388380E+07   1.4810927E+07   9.1077723E+03   1.6161229E+07   1.7387434E+07   1.7388380E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-04   1.7382816E+07   1.7382816E+07   1.3163902E+07   8.4885746E+03   1.5895213E+07   1.7381628E+07   1.7382816E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-04   1.7375939E+07   1.7375939E+07   1.1342464E+07   7.7803010E+03   1.5624014E+07   1.7374452E+07   1.7375939E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
