#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   2.0404958E+06   2.0404958E+06   2.7205337E+06   1.2772603E+04   1.0532161E+04   2.0408763E+06   2.0404958E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   2.0404954E+06   2.0404954E+06   2.7205001E+06   1.2772504E+04   1.0531982E+04   2.0408758E+06   2.0404954E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   2.0404948E+06   2.0404948E+06   2.7204579E+06   1.2772380E+04   1.0531758E+04   2.0408751E+06   2.0404948E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   2.0404941E+06   2.0404941E+06   2.7204047E+06   1.2772223E+04   1.0531476E+04   2.0408744E+06   2.0404941E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   2.0404932E+06   2.0404932E+06   2.7203377E+06   1.2772026E+04   1.0531121E+04   2.0408734E+06   2.0404932E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   2.0404921E+06   2.0404921E+06   2.7202534E+06   1.2771778E+04   1.0530674E+04   2.0408721E+06   2.0404921E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   2.0404907E+06   2.0404907E+06   2.7201472E+06   1.2771465E+04   1.0530110E+04   2.0408705E+06   2.0404907E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   2.0404889E+06   2.0404889E+06   2.7200136E+06   1.2771072E+04   1.0529402E+04   2.0408686E+06   2.0404889E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   2.0404867E+06   2.0404867E+06   2.7198454E+06   1.2770577E+04   1.0528510E+04   2.0408661E+06   2.0404867E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   2.0404839E+06   2.0404839E+06   2.7196336E+06   1.2769953E+04   1.0527386E+04   2.0408629E+06   2.0404839E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   2.0404803E+06   2.0404803E+06   2.7193670E+06   1.2769169E+04   1.0525973E+04   2.0408590E+06   2.0404803E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   2.0404759E+06   2.0404759E+06   2.7190315E+06   1.2768181E+04   1.0524193E+04   2.0408540E+06   2.0404759E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   2.0404703E+06   2.0404703E+06   2.7186091E+06   1.2766938E+04   1.0521954E+04   2.0408478E+06   2.0404703E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   2.0404632E+06   2.0404632E+06   2.7180775E+06   1.2765372E+04   1.0519135E+04   2.0408399E+06   2.0404632E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   2.0404544E+06   2.0404544E+06   2.7174083E+06   1.2763402E+04   1.0515589E+04   2.0408299E+06   2.0404544E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   2.0404432E+06   2.0404432E+06   2.7165660E+06   1.2760922E+04   1.0511125E+04   2.0408175E+06   2.0404432E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   2.0404291E+06   2.0404291E+06   2.7155061E+06   1.2757801E+04   1.0505510E+04   2.0408017E+06   2.0404291E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   2.0404114E+06   2.0404114E+06   2.7141722E+06   1.2753873E+04   1.0498446E+04   2.0407819E+06   2.0404114E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   2.0403891E+06   2.0403891E+06   2.7124938E+06   1.2748929E+04   1.0489562E+04   2.0407570E+06   2.0403891E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   2.0403611E+06   2.0403611E+06   2.7103822E+06   1.2742708E+04   1.0478392E+04   2.0407257E+06   2.0403611E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   2.0403258E+06   2.0403258E+06   2.7077260E+06   1.2734882E+04   1.0464351E+04   2.0406862E+06   2.0403258E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   2.0402814E+06   2.0402814E+06   2.7043854E+06   1.2725035E+04   1.0446708E+04   2.0406366E+06   2.0402814E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   2.0402254E+06   2.0402254E+06   2.7001854E+06   1.2712652E+04   1.0424552E+04   2.0405741E+06   2.0402254E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   2.0401551E+06   2.0401551E+06   2.6949064E+06   1.2697080E+04   1.0396745E+04   2.0404954E+06   2.0401551E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   2.0400666E+06   2.0400666E+06   2.6882741E+06   1.2677504E+04   1.0361874E+04   2.0403965E+06   2.0400666E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-04   2.0399552E+06   2.0399552E+06   2.6799461E+06   1.2652907E+04   1.0318190E+04   2.0402720E+06   2.0399552E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-04   2.0398151E+06   2.0398151E+06   2.6694956E+06   1.2622013E+04   1.0263533E+04   2.0401155E+06   2.0398151E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-04   2.0396389E+06   2.0396389E+06   2.6563930E+06   1.2583234E+04   1.0195260E+04   2.0399187E+06   2.0396389E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-04   2.0394175E+06   2.0394175E+06   2.6399823E+06   1.2534596E+04   1.0110153E+04   2.0396714E+06   2.0394175E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-04   2.0391392E+06   2.0391392E+06   2.6194561E+06   1.2473650E+04   1.0004334E+04   2.0393606E+06   2.0391392E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-04   2.0387896E+06   2.0387896E+06   2.5938255E+06   1.2397375E+04   9.8731964E+03   2.0389704E+06   2.0387896E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-04   2.0383507E+06   2.0383507E+06   2.5618890E+06   1.2302062E+04   9.7113597E+03   2.0384806E+06   2.0383507E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-04   2.0378001E+06   2.0378001E+06   2.5222022E+06   1.2183187E+04   9.5126984E+03   2.0378666E+06   2.0378001E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-04   2.0371101E+06   2.0371101E+06   2.4730514E+06   1.2035287E+04   9.2704887E+03   2.0370975E+06   2.0371101E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-04   2.0362461E+06   2.0362461E+06   2.4124404E+06   1.1851837E+04   8.9777566E+03   2.0361353E+06   2.0362461E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-04   2.0351659E+06   2.0351659E+06   2.3381027E+06   1.1625172E+04   8.6279408E+03   2.0349336E+06   2.0351659E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-04   2.0338177E+06   2.0338177E+06   2.2475560E+06   1.1346474E+04   8.2160198E+03   2.0334356E+06   2.0338177E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-04   2.0321388E+06   2.0321388E+06   2.1382281E+06   1.1005906E+04   7.7402821E+03   2.0315730E+06   2.0321388E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-04   2.0300534E+06   2.0300534E+06   2.0076887E+06   1.0592962E+04   7.2049026E+03   2.0292641E+06   2.0300534E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-04   2.0274717E+06   2.0274717E+06   1.8540303E+06   1.0097173E+04   6.6233851E+03   2.0264127E+06   2.0274717E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
