#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   5.4069369E+06   5.4069369E+06   7.2083315E+06   1.1364947E+04   3.0444825E+05   5.4070906E+06   5.4069369E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   5.4069354E+06   5.4069354E+06   7.2080920E+06   1.1364714E+04   3.0444385E+05   5.4070890E+06   5.4069354E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   5.4069336E+06   5.4069336E+06   7.2077904E+06   1.1364420E+04   3.0443831E+05   5.4070870E+06   5.4069336E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   5.4069312E+06   5.4069312E+06   7.2074108E+06   1.1364050E+04   3.0443134E+05   5.4070845E+06   5.4069312E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   5.4069283E+06   5.4069283E+06   7.2069328E+06   1.1363584E+04   3.0442256E+05   5.4070813E+06   5.4069283E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   5.4069246E+06   5.4069246E+06   7.2063312E+06   1.1362998E+04   3.0441151E+05   5.4070773E+06   5.4069246E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   5.4069199E+06   5.4069199E+06   7.2055739E+06   1.1362261E+04   3.0439761E+05   5.4070722E+06   5.4069199E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   5.4069140E+06   5.4069140E+06   7.2046206E+06   1.1361332E+04   3.0438010E+05   5.4070658E+06   5.4069140E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   5.4069066E+06   5.4069066E+06   7.2034206E+06   1.1360163E+04   3.0435807E+05   5.4070578E+06   5.4069066E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   5.4068973E+06   5.4068973E+06   7.2019101E+06   1.1358692E+04   3.0433034E+05   5.4070477E+06   5.4068973E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   5.4068855E+06   5.4068855E+06   7.2000091E+06   1.1356840E+04   3.0429544E+05   5.4070349E+06   5.4068855E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   5.4068708E+06   5.4068708E+06   7.1976164E+06   1.1354509E+04   3.0425153E+05   5.4070189E+06   5.4068708E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   5.4068522E+06   5.4068522E+06   7.1946053E+06   1.1351575E+04   3.0419629E+05   5.4069987E+06   5.4068522E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   5.4068288E+06   5.4068288E+06   7.1908163E+06   1.1347882E+04   3.0412679E+05   5.4069734E+06   5.4068288E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   5.4067993E+06   5.4067993E+06   7.1860489E+06   1.1343236E+04   3.0403939E+05   5.4069414E+06   5.4067993E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   5.4067622E+06   5.4067622E+06   7.1800514E+06   1.1337389E+04   3.0392948E+05   5.4069012E+06   5.4067622E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
