#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.6172696E+06   1.6172696E+06   2.1562808E+06   1.3037272E+04   4.5365647E+03   1.6177233E+06   1.6172696E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.6172693E+06   1.6172693E+06   2.1562600E+06   1.3037192E+04   4.5364841E+03   1.6177230E+06   1.6172693E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.6172689E+06   1.6172689E+06   2.1562338E+06   1.3037091E+04   4.5363826E+03   1.6177225E+06   1.6172689E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.6172683E+06   1.6172683E+06   2.1562009E+06   1.3036964E+04   4.5362549E+03   1.6177219E+06   1.6172683E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.6172677E+06   1.6172677E+06   2.1561594E+06   1.3036804E+04   4.5360941E+03   1.6177212E+06   1.6172677E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.6172668E+06   1.6172668E+06   2.1561071E+06   1.3036602E+04   4.5358916E+03   1.6177202E+06   1.6172668E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.6172658E+06   1.6172658E+06   2.1560413E+06   1.3036348E+04   4.5356368E+03   1.6177190E+06   1.6172658E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.6172645E+06   1.6172645E+06   2.1559585E+06   1.3036028E+04   4.5353160E+03   1.6177176E+06   1.6172645E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.6172628E+06   1.6172628E+06   2.1558543E+06   1.3035626E+04   4.5349121E+03   1.6177157E+06   1.6172628E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.6172607E+06   1.6172607E+06   2.1557230E+06   1.3035120E+04   4.5344038E+03   1.6177133E+06   1.6172607E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.6172581E+06   1.6172581E+06   2.1555578E+06   1.3034482E+04   4.5337639E+03   1.6177104E+06   1.6172581E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.6172548E+06   1.6172548E+06   2.1553499E+06   1.3033679E+04   4.5329584E+03   1.6177067E+06   1.6172548E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.6172506E+06   1.6172506E+06   2.1550881E+06   1.3032669E+04   4.5319446E+03   1.6177020E+06   1.6172506E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
