#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.2777007E+07   1.2777007E+07   1.7030713E+07   1.1063475E+04   5.3495324E+06   1.2777055E+07   1.2777007E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.2777003E+07   1.2777003E+07   1.7029336E+07   1.1062903E+04   5.3494289E+06   1.2777050E+07   1.2777003E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.2776998E+07   1.2776998E+07   1.7027603E+07   1.1062183E+04   5.3492986E+06   1.2777045E+07   1.2776998E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.2776991E+07   1.2776991E+07   1.7025422E+07   1.1061277E+04   5.3491345E+06   1.2777038E+07   1.2776991E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.2776983E+07   1.2776983E+07   1.7022676E+07   1.1060136E+04   5.3489281E+06   1.2777029E+07   1.2776983E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.2776973E+07   1.2776973E+07   1.7019219E+07   1.1058701E+04   5.3486683E+06   1.2777018E+07   1.2776973E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.2776960E+07   1.2776960E+07   1.7014869E+07   1.1056893E+04   5.3483413E+06   1.2777004E+07   1.2776960E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.2776943E+07   1.2776943E+07   1.7009393E+07   1.1054619E+04   5.3479298E+06   1.2776987E+07   1.2776943E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.2776923E+07   1.2776923E+07   1.7002502E+07   1.1051756E+04   5.3474120E+06   1.2776965E+07   1.2776923E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.2776896E+07   1.2776896E+07   1.6993831E+07   1.1048153E+04   5.3467607E+06   1.2776938E+07   1.2776896E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.2776864E+07   1.2776864E+07   1.6982921E+07   1.1043619E+04   5.3459414E+06   1.2776903E+07   1.2776864E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.2776822E+07   1.2776822E+07   1.6969195E+07   1.1037914E+04   5.3449111E+06   1.2776860E+07   1.2776822E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.2776770E+07   1.2776770E+07   1.6951930E+07   1.1030736E+04   5.3436159E+06   1.2776805E+07   1.2776770E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.2776705E+07   1.2776705E+07   1.6930218E+07   1.1021708E+04   5.3419881E+06   1.2776736E+07   1.2776705E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
