#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.9837325E+07   1.9837325E+07   2.6435966E+07   1.3004619E+04   3.3334708E+07   1.9837329E+07   1.9837325E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.9837318E+07   1.9837318E+07   2.6432384E+07   1.3003486E+04   3.3333229E+07   1.9837322E+07   1.9837318E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.9837309E+07   1.9837309E+07   2.6427876E+07   1.3002060E+04   3.3331368E+07   1.9837313E+07   1.9837309E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.9837298E+07   1.9837298E+07   2.6422201E+07   1.3000265E+04   3.3329025E+07   1.9837301E+07   1.9837298E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.9837284E+07   1.9837284E+07   2.6415059E+07   1.2998006E+04   3.3326077E+07   1.9837286E+07   1.9837284E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.9837266E+07   1.9837266E+07   2.6406070E+07   1.2995162E+04   3.3322367E+07   1.9837268E+07   1.9837266E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.9837243E+07   1.9837243E+07   2.6394757E+07   1.2991583E+04   3.3317699E+07   1.9837245E+07   1.9837243E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.9837215E+07   1.9837215E+07   2.6380521E+07   1.2987078E+04   3.3311826E+07   1.9837215E+07   1.9837215E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.9837180E+07   1.9837180E+07   2.6362610E+07   1.2981410E+04   3.3304438E+07   1.9837179E+07   1.9837180E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.9837135E+07   1.9837135E+07   2.6340076E+07   1.2974278E+04   3.3295147E+07   1.9837132E+07   1.9837135E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.9837079E+07   1.9837079E+07   2.6311734E+07   1.2965306E+04   3.3283465E+07   1.9837074E+07   1.9837079E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.9837008E+07   1.9837008E+07   2.6276093E+07   1.2954020E+04   3.3268782E+07   1.9837000E+07   1.9837008E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.9836919E+07   1.9836919E+07   2.6231286E+07   1.2939827E+04   3.3250335E+07   1.9836908E+07   1.9836919E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.9836807E+07   1.9836807E+07   2.6174978E+07   1.2921984E+04   3.3227170E+07   1.9836792E+07   1.9836807E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.9836666E+07   1.9836666E+07   2.6104249E+07   1.2899560E+04   3.3198102E+07   1.9836645E+07   1.9836666E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   1.9836489E+07   1.9836489E+07   2.6015456E+07   1.2871390E+04   3.3161655E+07   1.9836461E+07   1.9836489E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   1.9836266E+07   1.9836266E+07   2.5904068E+07   1.2836023E+04   3.3116006E+07   1.9836229E+07   1.9836266E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   1.9835985E+07   1.9835985E+07   2.5764464E+07   1.2791652E+04   3.3058906E+07   1.9835938E+07   1.9835985E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   1.9835632E+07   1.9835632E+07   2.5589698E+07   1.2736034E+04   3.2987603E+07   1.9835571E+07   1.9835632E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   1.9835188E+07   1.9835188E+07   2.5371234E+07   1.2666396E+04   3.2898754E+07   1.9835110E+07   1.9835188E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   1.9834631E+07   1.9834631E+07   2.5098650E+07   1.2579326E+04   3.2788335E+07   1.9834531E+07   1.9834631E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   1.9833930E+07   1.9833930E+07   2.4759328E+07   1.2470657E+04   3.2651577E+07   1.9833803E+07   1.9833930E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   1.9833049E+07   1.9833049E+07   2.4338166E+07   1.2335335E+04   3.2482921E+07   1.9832889E+07   1.9833049E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   1.9831945E+07   1.9831945E+07   2.3817363E+07   1.2167299E+04   3.2276056E+07   1.9831741E+07   1.9831945E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   1.9830560E+07   1.9830560E+07   2.3176358E+07   1.1959385E+04   3.2024077E+07   1.9830302E+07   1.9830560E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-04   1.9828825E+07   1.9828825E+07   2.2392084E+07   1.1703288E+04   3.1719839E+07   1.9828500E+07   1.9828825E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-04   1.9826653E+07   1.9826653E+07   2.1439717E+07   1.1389636E+04   3.1356622E+07   1.9826244E+07   1.9826653E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-04   1.9823940E+07   1.9823940E+07   2.0294248E+07   1.1008247E+04   3.0929228E+07   1.9823425E+07   1.9823940E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-04   1.9820557E+07   1.9820557E+07   1.8933217E+07   1.0548700E+04   3.0435634E+07   1.9819909E+07   1.9820557E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-04   1.9816347E+07   1.9816347E+07   1.7341053E+07   1.0001325E+04   2.9879292E+07   1.9815533E+07   1.9816347E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-04   1.9811120E+07   1.9811120E+07   1.5515369E+07   9.3588011E+03   2.9271968E+07   1.9810100E+07   1.9811120E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-04   1.9804654E+07   1.9804654E+07   1.3475217E+07   8.6184646E+03   2.8636667E+07   1.9803377E+07   1.9804654E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
