#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.1111785E+07   1.1111785E+07   1.4811748E+07   1.0927835E+04   3.2949293E+06   1.1111846E+07   1.1111785E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.1111781E+07   1.1111781E+07   1.4810717E+07   1.0927352E+04   3.2948728E+06   1.1111842E+07   1.1111781E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.1111777E+07   1.1111777E+07   1.4809419E+07   1.0926743E+04   3.2948017E+06   1.1111838E+07   1.1111777E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.1111771E+07   1.1111771E+07   1.4807785E+07   1.0925977E+04   3.2947121E+06   1.1111832E+07   1.1111771E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.1111764E+07   1.1111764E+07   1.4805728E+07   1.0925012E+04   3.2945995E+06   1.1111824E+07   1.1111764E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.1111755E+07   1.1111755E+07   1.4803139E+07   1.0923798E+04   3.2944576E+06   1.1111815E+07   1.1111755E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.1111744E+07   1.1111744E+07   1.4799880E+07   1.0922269E+04   3.2942791E+06   1.1111803E+07   1.1111744E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.1111730E+07   1.1111730E+07   1.4795779E+07   1.0920345E+04   3.2940545E+06   1.1111788E+07   1.1111730E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.1111713E+07   1.1111713E+07   1.4790617E+07   1.0917924E+04   3.2937718E+06   1.1111770E+07   1.1111713E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.1111691E+07   1.1111691E+07   1.4784120E+07   1.0914876E+04   3.2934161E+06   1.1111747E+07   1.1111691E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.1111663E+07   1.1111663E+07   1.4775946E+07   1.0911040E+04   3.2929688E+06   1.1111717E+07   1.1111663E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.1111628E+07   1.1111628E+07   1.4765661E+07   1.0906214E+04   3.2924061E+06   1.1111680E+07   1.1111628E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.1111584E+07   1.1111584E+07   1.4752723E+07   1.0900141E+04   3.2916986E+06   1.1111633E+07   1.1111584E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.1111528E+07   1.1111528E+07   1.4736451E+07   1.0892502E+04   3.2908092E+06   1.1111575E+07   1.1111528E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.1111459E+07   1.1111459E+07   1.4715989E+07   1.0882893E+04   3.2896918E+06   1.1111501E+07   1.1111459E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
