#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.2393778E+07   1.2393778E+07   1.6520067E+07   1.1022695E+04   4.8046778E+06   1.2393828E+07   1.2393778E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.2393774E+07   1.2393774E+07   1.6518774E+07   1.1022144E+04   4.8045876E+06   1.2393824E+07   1.2393774E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.2393769E+07   1.2393769E+07   1.6517148E+07   1.1021451E+04   4.8044741E+06   1.2393819E+07   1.2393769E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.2393763E+07   1.2393763E+07   1.6515100E+07   1.1020578E+04   4.8043312E+06   1.2393812E+07   1.2393763E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.2393755E+07   1.2393755E+07   1.6512522E+07   1.1019480E+04   4.8041514E+06   1.2393804E+07   1.2393755E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.2393745E+07   1.2393745E+07   1.6509278E+07   1.1018097E+04   4.8039250E+06   1.2393793E+07   1.2393745E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.2393732E+07   1.2393732E+07   1.6505195E+07   1.1016357E+04   4.8036402E+06   1.2393780E+07   1.2393732E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.2393716E+07   1.2393716E+07   1.6500055E+07   1.1014167E+04   4.8032817E+06   1.2393763E+07   1.2393716E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.2393696E+07   1.2393696E+07   1.6493587E+07   1.1011410E+04   4.8028307E+06   1.2393742E+07   1.2393696E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.2393671E+07   1.2393671E+07   1.6485447E+07   1.1007940E+04   4.8022633E+06   1.2393716E+07   1.2393671E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.2393640E+07   1.2393640E+07   1.6475206E+07   1.1003574E+04   4.8015496E+06   1.2393682E+07   1.2393640E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.2393600E+07   1.2393600E+07   1.6462321E+07   1.0998080E+04   4.8006520E+06   1.2393640E+07   1.2393600E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.2393549E+07   1.2393549E+07   1.6446114E+07   1.0991168E+04   4.7995236E+06   1.2393587E+07   1.2393549E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.2393486E+07   1.2393486E+07   1.6425732E+07   1.0982474E+04   4.7981054E+06   1.2393521E+07   1.2393486E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.2393407E+07   1.2393407E+07   1.6400106E+07   1.0971539E+04   4.7963237E+06   1.2393437E+07   1.2393407E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   1.2393307E+07   1.2393307E+07   1.6367900E+07   1.0957791E+04   4.7940868E+06   1.2393331E+07   1.2393307E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   1.2393181E+07   1.2393181E+07   1.6327439E+07   1.0940511E+04   4.7912803E+06   1.2393199E+07   1.2393181E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   1.2393022E+07   1.2393022E+07   1.6276638E+07   1.0918800E+04   4.7877620E+06   1.2393032E+07   1.2393022E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   1.2392823E+07   1.2392823E+07   1.6212897E+07   1.0891539E+04   4.7833566E+06   1.2392821E+07   1.2392823E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   1.2392572E+07   1.2392572E+07   1.6132989E+07   1.0857329E+04   4.7778479E+06   1.2392557E+07   1.2392572E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   1.2392256E+07   1.2392256E+07   1.6032924E+07   1.0814436E+04   4.7709719E+06   1.2392224E+07   1.2392256E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   1.2391859E+07   1.2391859E+07   1.5907790E+07   1.0760712E+04   4.7624082E+06   1.2391806E+07   1.2391859E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   1.2391361E+07   1.2391361E+07   1.5751578E+07   1.0693512E+04   4.7517726E+06   1.2391281E+07   1.2391361E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   1.2390734E+07   1.2390734E+07   1.5556997E+07   1.0609595E+04   4.7386109E+06   1.2390620E+07   1.2390734E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   1.2389947E+07   1.2389947E+07   1.5315294E+07   1.0505025E+04   4.7223962E+06   1.2389791E+07   1.2389947E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
