#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   5.8236668E+06   5.8236668E+06   7.7638233E+06   1.1272429E+04   3.8899956E+05   5.8238087E+06   5.8236668E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   5.8236652E+06   5.8236652E+06   7.7635452E+06   1.1272179E+04   3.8899394E+05   5.8238070E+06   5.8236652E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   5.8236631E+06   5.8236631E+06   7.7631952E+06   1.1271864E+04   3.8898686E+05   5.8238048E+06   5.8236631E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   5.8236606E+06   5.8236606E+06   7.7627545E+06   1.1271468E+04   3.8897795E+05   5.8238020E+06   5.8236606E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   5.8236573E+06   5.8236573E+06   7.7621998E+06   1.1270970E+04   3.8896673E+05   5.8237985E+06   5.8236573E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   5.8236533E+06   5.8236533E+06   7.7615014E+06   1.1270342E+04   3.8895261E+05   5.8237941E+06   5.8236533E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   5.8236482E+06   5.8236482E+06   7.7606224E+06   1.1269552E+04   3.8893483E+05   5.8237886E+06   5.8236482E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   5.8236417E+06   5.8236417E+06   7.7595158E+06   1.1268557E+04   3.8891246E+05   5.8237816E+06   5.8236417E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   5.8236336E+06   5.8236336E+06   7.7581230E+06   1.1267305E+04   3.8888430E+05   5.8237729E+06   5.8236336E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   5.8236234E+06   5.8236234E+06   7.7563698E+06   1.1265729E+04   3.8884886E+05   5.8237618E+06   5.8236234E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   5.8236106E+06   5.8236106E+06   7.7541633E+06   1.1263745E+04   3.8880427E+05   5.8237479E+06   5.8236106E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   5.8235944E+06   5.8235944E+06   7.7513863E+06   1.1261248E+04   3.8874815E+05   5.8237305E+06   5.8235944E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
