#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   7.8535013E+06   7.8535013E+06   1.0469384E+07   1.0982105E+04   1.0383002E+06   7.8536017E+06   7.8535013E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   7.8534990E+06   7.8534990E+06   1.0468876E+07   1.0981771E+04   1.0382847E+06   7.8535992E+06   7.8534990E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   7.8534961E+06   7.8534961E+06   1.0468236E+07   1.0981351E+04   1.0382653E+06   7.8535961E+06   7.8534961E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   7.8534924E+06   7.8534924E+06   1.0467431E+07   1.0980822E+04   1.0382408E+06   7.8535922E+06   7.8534924E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   7.8534878E+06   7.8534878E+06   1.0466417E+07   1.0980157E+04   1.0382100E+06   7.8535872E+06   7.8534878E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   7.8534820E+06   7.8534820E+06   1.0465141E+07   1.0979319E+04   1.0381712E+06   7.8535810E+06   7.8534820E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   7.8534746E+06   7.8534746E+06   1.0463535E+07   1.0978264E+04   1.0381224E+06   7.8535732E+06   7.8534746E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   7.8534654E+06   7.8534654E+06   1.0461513E+07   1.0976936E+04   1.0380610E+06   7.8535633E+06   7.8534654E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   7.8534538E+06   7.8534538E+06   1.0458969E+07   1.0975265E+04   1.0379837E+06   7.8535509E+06   7.8534538E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   7.8534392E+06   7.8534392E+06   1.0455766E+07   1.0973161E+04   1.0378865E+06   7.8535352E+06   7.8534392E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   7.8534208E+06   7.8534208E+06   1.0451735E+07   1.0970514E+04   1.0377641E+06   7.8535156E+06   7.8534208E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   7.8533977E+06   7.8533977E+06   1.0446663E+07   1.0967182E+04   1.0376101E+06   7.8534908E+06   7.8533977E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   7.8533686E+06   7.8533686E+06   1.0440280E+07   1.0962989E+04   1.0374165E+06   7.8534596E+06   7.8533686E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   7.8533319E+06   7.8533319E+06   1.0432251E+07   1.0957713E+04   1.0371729E+06   7.8534204E+06   7.8533319E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   7.8532857E+06   7.8532857E+06   1.0422150E+07   1.0951074E+04   1.0368668E+06   7.8533710E+06   7.8532857E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   7.8532276E+06   7.8532276E+06   1.0409448E+07   1.0942724E+04   1.0364820E+06   7.8533088E+06   7.8532276E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   7.8531545E+06   7.8531545E+06   1.0393478E+07   1.0932222E+04   1.0359987E+06   7.8532305E+06   7.8531545E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   7.8530625E+06   7.8530625E+06   1.0373406E+07   1.0919017E+04   1.0353919E+06   7.8531321E+06   7.8530625E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   7.8529467E+06   7.8529467E+06   1.0348190E+07   1.0902419E+04   1.0346306E+06   7.8530081E+06   7.8529467E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   7.8528010E+06   7.8528010E+06   1.0316528E+07   1.0881565E+04   1.0336764E+06   7.8528522E+06   7.8528010E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   7.8526177E+06   7.8526177E+06   1.0276799E+07   1.0855377E+04   1.0324818E+06   7.8526560E+06   7.8526177E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   7.8523871E+06   7.8523871E+06   1.0226992E+07   1.0822511E+04   1.0309882E+06   7.8524092E+06   7.8523871E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   7.8520971E+06   7.8520971E+06   1.0164618E+07   1.0781298E+04   1.0291244E+06   7.8520989E+06   7.8520971E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   7.8517325E+06   7.8517325E+06   1.0086610E+07   1.0729672E+04   1.0268038E+06   7.8517088E+06   7.8517325E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   7.8512742E+06   7.8512742E+06   9.9892203E+06   1.0665085E+04   1.0239228E+06   7.8512184E+06   7.8512742E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-04   7.8506985E+06   7.8506985E+06   9.8678955E+06   1.0584413E+04   1.0203592E+06   7.8506024E+06   7.8506985E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
